dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2,capped_base_stock,basestock,constant
zinb_pi0p7_r20_p0p4_L6_c1_2_train,906.3400004,906.3400004,906.34,906.34,906.34,906.34
zinb_pi0p7_r20_p0p4_L6_c1_2_test,894.7260004,894.7260004,894.726,894.73,894.73,894.73
zinb_pi0p7_r20_p0p3_L6_c1_2_train,1374.52,1374.52,1374.52,1374.52,1374.52,1374.52
zinb_pi0p7_r20_p0p3_L6_c1_2_test,1397.448,1397.448,1397.448,1397.45,1397.45,1397.45
zinb_pi0p7_r20_p0p2_L6_c1_2_train,2377.52,2377.52001,2377.52,2377.52,2377.52,2377.52
zinb_pi0p7_r20_p0p2_L6_c1_2_test,2423.474,2423.474019,2423.474,2423.47,2423.47,2423.47
zinb_pi0p7_r20_p0p1_L6_c1_2_train,5584.66,5584.66,5584.66,5584.66,5756.6,5584.66
zinb_pi0p7_r20_p0p1_L6_c1_2_test,5425.112,5425.112,5425.112,5425.11,5548.33,5425.11
zinb_pi0p7_r2_p0p8_L6_c1_2_train,15.20000549,15.20000582,15.2,15.2,15.2,15.2
zinb_pi0p7_r2_p0p8_L6_c1_2_test,15.42200572,15.42200607,15.422,15.42,15.42,15.42
zinb_pi0p7_r2_p0p6_L6_c1_2_train,40.22000245,40.2200026,40.22,40.22,40.22,40.22
zinb_pi0p7_r2_p0p6_L6_c1_2_test,39.71400225,39.71400239,39.714,39.71,39.71,39.71
zinb_pi0p7_r2_p0p4_L6_c1_2_train,87.40000109,87.40000115,87.4,87.4,87.4,87.4
zinb_pi0p7_r2_p0p4_L6_c1_2_test,89.2940011,89.29400116,89.294,89.29,89.29,89.29
zinb_pi0p7_r2_p0p3_L6_c1_2_train,134.0200009,134.020001,134.02,134.02,134.02,134.02
zinb_pi0p7_r2_p0p3_L6_c1_2_test,141.2400006,141.2400006,141.24,141.24,141.24,141.24
zinb_pi0p7_r2_p0p2_L6_c1_2_train,244.4400004,244.4400005,244.44,244.44,244.44,244.44
zinb_pi0p7_r2_p0p2_L6_c1_2_test,236.4120006,236.4120006,236.412,236.41,236.41,236.41
zinb_pi0p7_r2_p0p1_L6_c1_2_train,565.8800003,565.8800003,565.88,565.88,565.88,565.88
zinb_pi0p7_r2_p0p1_L6_c1_2_test,542.4900003,542.4900004,542.49,542.49,542.49,542.49
zinb_pi0p7_r10_p0p8_L6_c1_2_train,74.90000084,74.90000089,74.9,74.9,74.9,74.9
zinb_pi0p7_r10_p0p8_L6_c1_2_test,74.66000071,74.66000075,74.66,74.66,74.66,74.66
zinb_pi0p7_r10_p0p6_L6_c1_2_train,202.2600004,202.2600004,202.26,202.26,202.26,202.26
zinb_pi0p7_r10_p0p6_L6_c1_2_test,199.7820004,199.7820004,199.782,199.78,199.78,199.78
zinb_pi0p7_r10_p0p4_L6_c1_2_train,431.7800005,431.7800005,431.78,431.78,431.78,431.78
zinb_pi0p7_r10_p0p4_L6_c1_2_test,448.0080004,448.0080004,448.008,448.01,448.01,448.01
zinb_pi0p7_r10_p0p3_L6_c1_2_train,704.4200004,704.4200004,704.42,704.42,704.42,704.42
zinb_pi0p7_r10_p0p3_L6_c1_2_test,706.9580003,706.9580004,706.958,706.96,706.96,706.96
zinb_pi0p7_r10_p0p2_L6_c1_2_train,1199.66,1199.66,1199.66,1199.66,1199.66,1199.66
zinb_pi0p7_r10_p0p2_L6_c1_2_test,1186.438,1186.438,1186.438,1186.44,1186.44,1186.44
zinb_pi0p7_r10_p0p1_L6_c1_2_train,2611.640001,2611.640001,2611.64,2611.64,2611.64,2611.64
zinb_pi0p7_r10_p0p1_L6_c1_2_test,2702.458,2702.458,2702.458,2702.46,2702.46,2702.46
zinb_pi0p5_r5_p0p8_L6_c1_2_train,59.68000005,59.68000006,59.68000003,59.68,59.68,59.68
zinb_pi0p5_r5_p0p8_L6_c1_2_test,62.56200001,62.56200001,62.56200001,62.56,62.47,62.56
zinb_pi0p5_r5_p0p6_L6_c1_2_train,146.6386149,146.6532835,146.6403997,152.3,151.39,160.46
zinb_pi0p5_r5_p0p6_L6_c1_2_test,151.0823079,151.0751206,151.0857532,158.12,157.47,165.84
zinb_pi0p5_r5_p0p4_L6_c1_2_train,328.8248242,329.0394141,327.9664409,337.75,343.15,333.41
zinb_pi0p5_r5_p0p4_L6_c1_2_test,324.7701882,325.7277175,324.2039237,338.69,343.6,331.51
zinb_pi0p5_r5_p0p3_L6_c1_2_train,484.6816891,484.805504,484.8041978,499.3,522.13,488.33
zinb_pi0p5_r5_p0p3_L6_c1_2_test,499.4813076,499.46632,499.3072034,513.41,533.16,502.47
zinb_pi0p5_r5_p0p2_L6_c1_2_train,842.3438019,844.09106,841.5647898,844.25,901.12,844.16
zinb_pi0p5_r5_p0p2_L6_c1_2_test,852.8509017,853.1378703,852.0586667,854.89,910.66,854.2
zinb_pi0p5_r5_p0p1_L6_c1_2_train,1893.408629,1894.246263,1886.354196,1891.62,2018.93,1898.11
zinb_pi0p5_r5_p0p1_L6_c1_2_test,1888.338451,1891.914273,1888.72728,1887.14,2024.39,1887.64
zinb_pi0p5_r40_p0p8_L6_c1_2_train,411.2651511,411.2522316,410.67367,431.14,454.46,416.89
zinb_pi0p5_r40_p0p8_L6_c1_2_test,414.8440538,414.2932877,413.1141971,426.53,446.1,417.84
zinb_pi0p5_r40_p0p6_L6_c1_2_train,1063.707635,1064.688371,1063.120994,1087.85,1165.93,1070.12
zinb_pi0p5_r40_p0p6_L6_c1_2_test,1072.451864,1073.774124,1069.249061,1088.59,1165.1,1078.69
zinb_pi0p5_r40_p0p4_L6_c1_2_train,2420.144927,2422.786421,2415.277128,2428.3,2652.02,2427.88
zinb_pi0p5_r40_p0p4_L6_c1_2_test,2420.430931,2419.058765,2415.208501,2420.73,2635.75,2425.87
zinb_pi0p5_r40_p0p3_L6_c1_2_train,3685.919444,3686.193229,3666.332513,3685.19,4028.3,3701.15
zinb_pi0p5_r40_p0p3_L6_c1_2_test,3726.991028,3724.785111,3714.375111,3735.84,4068.26,3735.17
zinb_pi0p5_r40_p0p2_L6_c1_2_train,6392.426018,6392.042651,6381.747394,6394.1,7126.89,6391.93
zinb_pi0p5_r40_p0p2_L6_c1_2_test,6410.950946,6403.262529,6382.156739,6368.33,6938.87,6389.62
zinb_pi0p5_r40_p0p1_L6_c1_2_train,14485.87895,14490.79688,14485.02802,14485.8,17415.87,14540.96
zinb_pi0p5_r40_p0p1_L6_c1_2_test,14355.64138,14352.1958,14360.15044,14351.1,17336.41,14384.77
zinb_pi0p5_r20_p0p8_L6_c1_2_train,217.1769598,217.2316414,216.5497435,229.63,231.06,217.84
zinb_pi0p5_r20_p0p8_L6_c1_2_test,214.4463066,214.5571064,213.868975,226.94,228.31,214.48
zinb_pi0p5_r20_p0p6_L6_c1_2_train,548.5906668,548.7985572,544.5876934,553.84,589.86,549.75
zinb_pi0p5_r20_p0p6_L6_c1_2_test,556.1957207,556.1357485,554.6272522,562.5,599.63,557.53
zinb_pi0p5_r20_p0p4_L6_c1_2_train,1210.465067,1210.137301,1209.217625,1233.05,1311.56,1213.92
zinb_pi0p5_r20_p0p4_L6_c1_2_test,1222.040623,1222.311535,1221.261525,1230.58,1325.61,1227.19
