dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2,capped_base_stock,basestock,constant
pareto_a4_xm50_L6_c1_2_test,1142.885598,1155.761279,1142.652045,1166.34,2369.91,1142.68
pareto_a4_xm5_L6_c1_2_train,121.7862174,122.5696042,122.0749584,164.04,241.39,129.35
pareto_a4_xm5_L6_c1_2_test,120.6983162,121.7719737,121.1398488,163.45,241.07,129.03
pareto_a4_xm20_L6_c1_2_train,457.8296287,456.937965,456.1438709,475.17,942.3,456.73
pareto_a4_xm20_L6_c1_2_test,460.2920553,459.6993757,458.9080739,482.02,947.5,459.33
pareto_a4_xm100_L6_c1_2_train,2288.159821,2285.741613,2292.76161,2286.97,4721.86,2286.42
pareto_a4_xm100_L6_c1_2_test,2292.758634,2285.754986,2294.98833,2289.11,4722.52,2285.89
pareto_a4_xm10_L6_c1_2_train,231.3563798,231.3041826,231.3238676,290,475.51,245.44
pareto_a4_xm10_L6_c1_2_test,231.7429439,232.8998751,233.0096893,289.29,474.5,247.35
pareto_a4_xm1_L6_c1_2_train,23.24046128,23.2291044,23.68109144,50.98,43.98,22.98
pareto_a4_xm1_L6_c1_2_test,24.03326704,24.07654657,24.40077015,50.83,44.83,23.84
pareto_a3_xm50_L6_c1_2_train,1869.340192,1878.757983,1874.266791,1877.45,3135.25,1873.77
pareto_a3_xm50_L6_c1_2_test,1802.773047,1807.893106,1810.863378,1811.39,3089.69,1801.98
pareto_a3_xm5_L6_c1_2_train,176.8848346,177.1711205,176.9387069,236.23,308.46,176.88
pareto_a3_xm5_L6_c1_2_test,180.43575,180.904174,180.5221081,237.44,309.83,180.43
pareto_a3_xm20_L6_c1_2_train,729.4276757,729.5485291,729.343375,732.68,1239.56,731.09
pareto_a3_xm20_L6_c1_2_test,717.2720296,717.4424637,717.8288338,720.03,1232.9,721.11
pareto_a3_xm100_L6_c1_2_train,3539.771816,3535.497105,3535.531475,3537.36,6169.35,3535.71
pareto_a3_xm100_L6_c1_2_test,3579.195297,3566.939134,3566.619086,3581.1,6137.17,3560.28
pareto_a3_xm10_L6_c1_2_train,349.9691794,349.9634897,350.7575372,394.34,604.34,349.94
pareto_a3_xm10_L6_c1_2_test,355.7979174,356.8106277,356.8410876,398.76,612.92,356.78
pareto_a3_xm1_L6_c1_2_train,44.54447998,44.36847776,44.25647456,64.89,65.17,44.2
pareto_a3_xm1_L6_c1_2_test,42.30047998,42.11281813,42.00572806,62.23,62.89,41.96
pareto_a2_xm50_L6_c1_2_train,3905.067644,3905.097689,3903.697904,3926.56,5314.02,3905.46
pareto_a2_xm50_L6_c1_2_test,3851.170445,3851.69728,3853.540049,3861.38,5289.95,3849.83
pareto_a2_xm5_L6_c1_2_train,355.4788255,356.2060278,354.3075374,403.73,499.17,357.67
pareto_a2_xm5_L6_c1_2_test,390.9255169,392.7604827,390.5353908,437.56,534.86,392.12
pareto_a2_xm20_L6_c1_2_train,1552.041884,1553.085811,1552.270382,1588.83,2132.18,1552.02
pareto_a2_xm20_L6_c1_2_test,1526.531474,1525.78862,1526.228342,1553.16,2104.18,1526.61
pareto_a2_xm100_L6_c1_2_train,7458.363665,7472.059871,7472.733222,7458.22,11224.16,7472.14
pareto_a2_xm100_L6_c1_2_test,7649.551017,7639.471087,7644.493316,7638.41,11568.47,7634.96
pareto_a2_xm10_L6_c1_2_train,747.0098551,747.2588445,746.9859225,764.41,1036.44,749.67
pareto_a2_xm10_L6_c1_2_test,765.854336,765.8315388,765.8764167,779.25,1052.51,771.42
pareto_a2_xm1_L6_c1_2_train,91.28528953,91.28306919,91.28162618,110.38,113.46,96.44
pareto_a2_xm1_L6_c1_2_test,88.56337265,88.53598996,88.38791525,108.18,111.24,95.13
pareto_a1p5_xm50_L6_c1_2_train,8664.143111,8663.749783,8657.99228,8676.85,12802.12,8663.67
pareto_a1p5_xm50_L6_c1_2_test,7870.438487,7872.655286,7872.656526,7871.91,11253.56,7869.01
pareto_a1p5_xm5_L6_c1_2_train,779.046121,778.8718059,778.6581502,808.66,935.56,784.88
pareto_a1p5_xm5_L6_c1_2_test,812.2455571,811.9987328,811.8181483,842.94,972.17,816.05
pareto_a1p5_xm20_L6_c1_2_train,2866.405374,2866.115147,2864.752169,2866.62,3515.16,2868.56
pareto_a1p5_xm20_L6_c1_2_test,3141.800364,3140.804137,3139.83988,3145.34,3793.33,3139.48
pareto_a1p5_xm100_L6_c1_2_train,14984.1099,14973.0011,14982.64847,14980.95,27159.62,14980.95
pareto_a1p5_xm100_L6_c1_2_test,15990.43687,15988.28344,15991.02641,15996.08,29684.33,15990.19
pareto_a1p5_xm10_L6_c1_2_train,1637.046977,1637.358404,1638.235791,1638.94,1963.26,1639.57
pareto_a1p5_xm10_L6_c1_2_test,1689.875185,1691.391254,1690.126928,1690.83,2012.32,1690.85
pareto_a1p5_xm1_L6_c1_2_train,169.5682954,169.5532874,169.5400719,193.44,197.93,187.6
pareto_a1p5_xm1_L6_c1_2_test,167.2291381,167.1643859,167.1777385,189.93,195.35,186.24
pareto_a1p3_xm50_L6_c1_2_train,10969.80145,10966.37747,10963.943,10969.43,18035.49,10964.47
pareto_a1p3_xm50_L6_c1_2_test,13355.16682,13353.87914,13355.29541,13366.63,24770.63,13353.78
pareto_a1p3_xm5_L6_c1_2_train,32300.53256,32303.26329,32300.60446,32432.76,125617.65,32300.51
pareto_a1p3_xm5_L6_c1_2_test,1286.476394,1289.036629,1286.530358,1307.79,1456.33,1286.46
pareto_a1p3_xm20_L6_c1_2_train,5619.900943,5620.322088,5620.020562,5640.94,6755.21,5620.18
pareto_a1p3_xm20_L6_c1_2_test,5582.845186,5585.11559,5581.576917,5604.17,6685.52,5581.03
pareto_a1p3_xm100_L6_c1_2_train,27119.16374,27115.93431,27122.5161,27116.76,62224.65,27114.44
pareto_a1p3_xm100_L6_c1_2_test,28514.20955,28514.65362,28507.6841,28514.27,65335.63,28514.27
pareto_a1p3_xm10_L6_c1_2_train,3049.888974,3050.061272,3049.837487,3072.28,3389.76,3051.33
pareto_a1p3_xm10_L6_c1_2_test,2599.903465,2599.580341,2599.693207,2624.54,2945.52,2601.58
pareto_a1p3_xm1_L6_c1_2_train,281.0388179,281.4229589,281.2861078,306.37,312.13,304.93
pareto_a1p3_xm1_L6_c1_2_test,287.4139986,287.6456543,287.5136247,313.23,318.69,314.27
normal_mu80_sd8_L6_c1_2_train,634.3286116,635.1484996,640.9883146,655.01,2246.32,634.53
normal_mu80_sd8_L6_c1_2_test,626.4191174,616.4582073,626.9115081,644.85,2236.47,614.42
normal_mu80_sd24_L6_c1_2_train,1790.722297,1797.779859,1788.25963,1791.03,3335.97,1798.71
normal_mu80_sd24_L6_c1_2_test,1811.16058,1829.988882,1819.977951,1808.73,3321.81,1830.09
normal_mu80_sd20_L6_c1_2_train,1520.923338,1522.378187,1518.576464,1532.24,3083.56,1520.98
normal_mu80_sd20_L6_c1_2_test,1496.867746,1517.540281,1505.415008,1515.69,3062.34,1515.19
normal_mu80_sd16_L6_c1_2_train,1203.934067,1211.03884,1209.470268,1212.68,2778.32,1206.14
normal_mu80_sd16_L6_c1_2_test,1213.299508,1233.8915,1221.175669,1218.56,2783.37,1222.32
normal_mu80_sd12_L6_c1_2_train,903.9516688,918.2154729,941.587053,903.94,2497.52,921.79
normal_mu80_sd12_L6_c1_2_test,895.2091575,910.4005846,924.7336919,895.21,2499.85,910.31
normal_mu50_sd8_L6_c1_2_train,593.0488075,591.3914846,585.9632952,635.61,1591.54,594.55
normal_mu50_sd8_L6_c1_2_test,603.633727,602.9888201,600.6881077,643.63,1596,607.14
normal_mu50_sd5_L6_c1_2_train,397.3416188,399.6747338,396.8463102,413.44,1408.46,402.23
normal_mu50_sd5_L6_c1_2_test,379.0391941,378.9983522,378.5041466,406.43,1394.01,380.98
normal_mu50_sd15_L6_c1_2_train,1140.617956,1128.795895,1122.834056,1132.63,2057.85,1144.56
normal_mu50_sd15_L6_c1_2_test,1143.169076,1117.342176,1116.030376,1123.36,2080.15,1127.31
normal_mu50_sd12_L6_c1_2_train,899.3567385,899.0286836,885.9216146,886.79,1857.23,901.94
normal_mu50_sd12_L6_c1_2_test,921.0148558,923.3844097,908.0771481,909.22,1880.94,925.11
normal_mu50_sd10_L6_c1_2_train,763.3898345,775.0750505,754.8679063,763.83,1735.8,775.09
normal_mu50_sd10_L6_c1_2_test,758.9652082,762.4132561,750.704272,758.56,1736.28,762.98
normal_mu300_sd90_L6_c1_2_train,6658.397198,6697.951762,6662.518809,6656.76,12372.45,6696.66
normal_mu300_sd90_L6_c1_2_test,6766.04038,6835.321515,6773.147014,6762.14,12541.71,6834.58
normal_mu300_sd75_L6_c1_2_train,5538.11708,5547.402179,5530.995437,5537.77,11154.68,5617.73
normal_mu300_sd75_L6_c1_2_test,5686.803477,5698.200101,5685.252029,5641.95,11452.32,5728.76
normal_mu300_sd60_L6_c1_2_train,4414.121357,4431.361776,4422.926859,4390.44,10321.79,4423.68
normal_mu300_sd60_L6_c1_2_test,4623.951523,4595.070601,4656.195419,4538.27,10452.5,4587.93
normal_mu300_sd45_L6_c1_2_train,3461.362909,3358.514261,3385.739889,3358.9,9428.71,3359.45
normal_mu300_sd45_L6_c1_2_test,3511.370001,3466.011441,3460.446789,3449.99,9416.21,3455.23
normal_mu300_sd30_L6_c1_2_train,2262.436321,2266.843619,2274.257109,2259.2,8402.28,2266.88
normal_mu300_sd30_L6_c1_2_test,2288.872265,2313.081817,2301.58305,2281.84,8390.39,2292.5
normal_mu200_sd60_L6_c1_2_train,4501.677911,4599.144695,4499.590647,4503.89,8445.3,4596.71
normal_mu200_sd60_L6_c1_2_test,4518.294332,4557.746523,4498.776093,4494.95,8330.75,4549.11
normal_mu200_sd50_L6_c1_2_train,3806.613916,3860.147973,3802.404734,3803.23,7669.18,3857.13
normal_mu200_sd50_L6_c1_2_test,3790.49863,3835.912373,3784.523187,3784.5,7647.98,3834.52
normal_mu200_sd40_L6_c1_2_train,3012.587709,3036.286132,3011.71615,3009.37,6995.56,3051.21
normal_mu200_sd40_L6_c1_2_test,3038.634521,3042.484098,3027.240784,3026.69,6961.62,3058.68
normal_mu200_sd30_L6_c1_2_train,2188.226567,2178.524209,2173.708465,2201.86,6205.76,2173.3
normal_mu200_sd30_L6_c1_2_test,2302.420231,2272.703274,2283.505325,2266.86,6258.34,2274.19
normal_mu200_sd20_L6_c1_2_train,1541.823491,1530.726304,1501.547302,1524.46,5584.63,1528.05
normal_mu200_sd20_L6_c1_2_test,1530.273148,1515.278604,1497.038112,1514.46,5579.21,1507.99
normal_mu20_sd6_L6_c1_2_train,446.9783643,445.748407,444.2768855,487.81,843.74,450.54
normal_mu20_sd6_L6_c1_2_test,454.9540877,451.5307991,450.5644664,488.06,832.02,458.35
normal_mu20_sd5_L6_c1_2_train,380.0971253,381.1200011,376.9941031,414.21,774.85,383.03
normal_mu20_sd5_L6_c1_2_test,379.3515431,379.6221853,376.230145,406.01,764.37,381.47
normal_mu20_sd4_L6_c1_2_train,298.902061,296.4528801,296.5184507,327.35,693.58,297.67
normal_mu20_sd4_L6_c1_2_test,304.253423,302.5326938,302.4392772,325.21,694.9,303.14
normal_mu20_sd3_L6_c1_2_train,231.7978698,231.5982221,230.007053,247.01,627.95,240.55
normal_mu20_sd3_L6_c1_2_test,227.5846086,227.4017693,225.4368533,243.28,626.09,236.71
normal_mu20_sd2_L6_c1_2_train,150.7704948,155.4477322,152.5091062,164.57,556.58,150.77
normal_mu20_sd2_L6_c1_2_test,151.9699891,156.8546233,152.6013005,162.67,558.25,151.97
normal_mu150_sd45_L6_c1_2_train,3307.830651,3314.395795,3309.743128,3339.51,6241.56,3332.69
normal_mu150_sd45_L6_c1_2_test,3367.808752,3379.241253,3361.739435,3375.42,6253.85,3408.82
normal_mu150_sd38_L6_c1_2_train,2957.817556,2936.043715,2903.461146,2906.81,5771.96,2979.01
normal_mu150_sd38_L6_c1_2_test,2887.808521,2884.396155,2851.333426,2850,5747.09,2884.66
normal_mu150_sd30_L6_c1_2_train,2309.371459,2301.664962,2300.181077,2297.36,5257.33,2369.92
normal_mu150_sd30_L6_c1_2_test,2260.611008,2252.772206,2235.704153,2243.16,5193.78,2244.06
normal_mu150_sd22_L6_c1_2_train,1619.476846,1620.592326,1636.960212,1616.63,4627.39,1621.71
normal_mu150_sd22_L6_c1_2_test,1669.012227,1683.914718,1686.466677,1668.13,4671.08,1681.36
normal_mu150_sd15_L6_c1_2_train,1173.922398,1133.073112,1348.032379,1121.13,4153.13,1127.8
normal_mu150_sd15_L6_c1_2_test,1178.233185,1136.767325,1355.426957,1127.86,4188.71,1130.19
normal_mu100_sd25_L6_c1_2_train,1930.668499,1943.261376,1923.025765,1928.72,3892.48,1942.31
normal_mu100_sd25_L6_c1_2_test,1867.713217,1871.649933,1860.496552,1859.9,3802.5,1871.34
normal_mu100_sd20_L6_c1_2_train,1503.488399,1510.1844,1502.695699,1516.16,3483.03,1508.83
normal_mu100_sd20_L6_c1_2_test,1508.861332,1526.919449,1514.158812,1522.69,3475.59,1525.28
normal_mu100_sd15_L6_c1_2_train,1162.934009,1179.377122,1159.690097,1168.25,3151.41,1175.76
normal_mu100_sd15_L6_c1_2_test,1122.678007,1145.209802,1122.815709,1124.77,3132,1130.93
negbin_r5_p0p8_L6_c1_2_train,85.8555133,85.85417122,85.52723236,99.57,99.57,106.52
negbin_r5_p0p8_L6_c1_2_test,85.18331537,85.19085972,84.85431421,99.34,99.34,108.59
negbin_r5_p0p6_L6_c1_2_train,162.7314619,162.9384146,162.4588238,193.55,212.61,168.07
negbin_r5_p0p6_L6_c1_2_test,163.8650318,163.660542,162.9233423,195.57,214.69,168.53
negbin_r5_p0p4_L6_c1_2_train,295.0922024,295.4862171,294.4799589,314.71,426,299.7
negbin_r5_p0p4_L6_c1_2_test,302.5830848,302.5934355,301.856998,315.95,425.38,313.6
negbin_r5_p0p3_L6_c1_2_train,442.8058957,444.3407731,440.6496747,457.15,635.67,445.67
negbin_r5_p0p3_L6_c1_2_test,438.9355161,436.9454622,436.2271145,444.73,634.11,435.83
negbin_r5_p0p2_L6_c1_2_train,700.4810067,701.5111479,696.69034,708.12,1060.85,702.25
negbin_r5_p0p2_L6_c1_2_test,700.4109554,698.8120507,695.4894358,702.1,1040.47,703.03
negbin_r5_p0p1_L6_c1_2_train,1480.812018,1479.971309,1484.498195,1483.38,2266.79,1493.18
negbin_r5_p0p1_L6_c1_2_test,1490.968698,1490.405262,1492.240151,1493.37,2276.52,1495.26
negbin_r40_p0p8_L6_c1_2_train,261.7498589,263.9068789,261.9818589,277.1,441.78,269.68
negbin_r40_p0p8_L6_c1_2_test,258.5551366,260.6278348,257.6991141,280.15,443.88,267.12
negbin_r40_p0p6_L6_c1_2_train,483.2882228,483.105844,483.6074451,501.28,1004.44,484.08
negbin_r40_p0p6_L6_c1_2_test,488.0629755,488.4395028,488.2105056,497.06,1004.17,490.43
negbin_r40_p0p4_L6_c1_2_train,890.301254,890.3765492,893.9871464,892.03,2071.8,892.6
negbin_r40_p0p4_L6_c1_2_test,896.465889,900.1524189,909.6629643,895.99,2078.49,903.82
negbin_r40_p0p3_L6_c1_2_train,1259.554435,1264.47644,1249.500117,1256.63,3106.07,1264.39
negbin_r40_p0p3_L6_c1_2_test,1281.897306,1298.050759,1280.093086,1293.46,3141.4,1297.86
negbin_r40_p0p2_L6_c1_2_train,2065.570385,2069.095065,2077.449022,2064.1,5231.95,2064.57
negbin_r40_p0p2_L6_c1_2_test,2088.366708,2096.179003,2107.765595,2086.95,5263.16,2095.61
negbin_r40_p0p1_L6_c1_2_train,4473.11587,4494.299417,4466.312432,4430.52,11532.31,4494.2
negbin_r40_p0p1_L6_c1_2_test,4481.589225,4455.756695,4438.875207,4405.12,11564.66,4443.72
negbin_r20_p0p8_L6_c1_2_train,176.1623895,176.0226969,176.2475747,192.71,268.68,176.2
negbin_r20_p0p8_L6_c1_2_test,180.0419769,179.2824479,181.2947457,195.89,266.55,180.42
negbin_r20_p0p6_L6_c1_2_train,340.6306255,340.6098436,340.0751209,388.23,591.24,342.78
negbin_r20_p0p6_L6_c1_2_test,345.0282255,344.0449328,341.8970769,387.92,589.03,345.34
negbin_r20_p0p4_L6_c1_2_train,628.804228,632.3930374,629.5894162,649.64,1191.06,630.63
negbin_r20_p0p4_L6_c1_2_test,627.7236995,632.3629261,628.6321272,652.47,1197.03,629.66
negbin_r20_p0p3_L6_c1_2_train,901.4192764,900.8687687,900.8090862,916.21,1796.88,905.17
negbin_r20_p0p3_L6_c1_2_test,912.5179673,911.7713858,911.2917493,929.68,1807.92,913.28
negbin_r20_p0p2_L6_c1_2_train,1464.396879,1480.09795,1464.503664,1474.74,3005.05,1481.08
negbin_r20_p0p2_L6_c1_2_test,1453.140477,1467.312158,1456.217253,1469.27,2997.63,1461.28
negbin_r20_p0p1_L6_c1_2_train,3094.420685,3094.369802,3084.969053,3100.43,6574.57,3095.1
negbin_r20_p0p1_L6_c1_2_test,3084.455913,3083.579567,3068.737168,3084.43,6550.38,3081.76
negbin_r2_p0p8_L6_c1_2_train,48.97185905,48.99296691,48.96615782,50.9,48.96,50.9
negbin_r2_p0p8_L6_c1_2_test,48.36265588,48.37724166,48.35849457,49.77,48.35,49.77
negbin_r2_p0p6_L6_c1_2_train,96.88435847,96.88684497,96.74887763,110.99,110.99,116.77
negbin_r2_p0p6_L6_c1_2_test,97.92829906,97.94329383,97.32164937,110.27,110.27,122.54
negbin_r2_p0p4_L6_c1_2_train,180.0993771,180.3431643,179.9550816,212.96,222.69,183.18
negbin_r2_p0p4_L6_c1_2_test,180.4729505,180.4268053,180.0764968,210.51,220.64,184.3
negbin_r2_p0p3_L6_c1_2_train,264.9205039,264.5757143,263.9251052,289.88,329,266.24
negbin_r2_p0p3_L6_c1_2_test,259.2688626,260.0209046,258.5937093,285.85,325.56,259.67
negbin_r2_p0p2_L6_c1_2_train,410.4050476,410.6434316,408.716051,415.71,533.04,416.33
negbin_r2_p0p2_L6_c1_2_test,420.7704615,421.4902477,420.6838334,422.1,539.12,422.69
negbin_r2_p0p1_L6_c1_2_train,868.4773318,871.9146948,869.8004866,901.09,1157.12,874.16
negbin_r2_p0p1_L6_c1_2_test,887.0191652,902.2662379,896.9269998,918.57,1152.77,888.46
negbin_r10_p0p8_L6_c1_2_train,125.4510156,125.1642575,125.2614397,154.95,163.67,137.91
negbin_r10_p0p8_L6_c1_2_test,124.5970747,124.2738217,124.2765504,153.99,162.43,138.28
negbin_r10_p0p6_L6_c1_2_train,239.0488643,238.7544764,238.7410833,240.62,355.36,240.98
negbin_r10_p0p6_L6_c1_2_test,237.6268372,237.6987,237.022599,238.58,353.24,238.8
negbin_r10_p0p4_L6_c1_2_train,425.8001764,425.8845037,424.1579908,472.74,706.23,427.44
negbin_r10_p0p4_L6_c1_2_test,439.884214,441.5274439,438.6626258,478.2,712.76,442.86
negbin_r10_p0p3_L6_c1_2_train,627.3997735,630.632929,627.9766634,630.95,1062.05,635.01
negbin_r10_p0p3_L6_c1_2_test,636.711661,640.3018322,636.9227394,639.09,1061.27,641.23
negbin_r10_p0p2_L6_c1_2_train,1027.612301,1028.073246,1025.655311,1030.49,1760.11,1035.89
negbin_r10_p0p2_L6_c1_2_test,1006.269869,1006.801635,1004.552358,1008.04,1751.96,1009.64
negbin_r10_p0p1_L6_c1_2_train,2151.621211,2158.308553,2151.27334,2172.52,3881.07,2158.26
negbin_r10_p0p1_L6_c1_2_test,2155.089239,2167.455668,2153.113531,2180.85,3833.16,2167.53
logn_mlog4_s1p3_L6_c1_2_train,9852.993871,9857.838435,9829.281756,9878.1,13404.07,9891.6
logn_mlog4_s1p3_L6_c1_2_test,9378.775282,9387.76032,9397.689351,9381.49,12511.97,9380.3
logn_mlog4_s1_L6_c1_2_train,5521.882841,5522.866006,5512.268309,5528.47,6562.23,5524.46
logn_mlog4_s1_L6_c1_2_test,5644.037363,5642.726377,5631.813623,5648.14,6688.31,5637.95
logn_mlog4_s0p7_L6_c1_2_train,3144.791508,3144.623173,3149.568021,3150.83,4213.16,3151.98
logn_mlog4_s0p7_L6_c1_2_test,3223.443539,3223.263162,3216.02029,3232.9,4264.64,3218.99
logn_mlog4_s0p5_L6_c1_2_train,2149.738487,2149.546249,2145.33021,2154.9,3192.64,2149.78
logn_mlog4_s0p5_L6_c1_2_test,2138.870097,2138.444599,2138.833858,2149.63,3188.02,2145.08
logn_mlog4_s0p3_L6_c1_2_train,1221.253573,1213.763838,1211.373273,1213.52,2288.48,1219.19
logn_mlog4_s0p3_L6_c1_2_test,1225.642411,1222.350643,1218.547364,1219.16,2291.52,1226.55
logn_mlog3p5_s1p3_L6_c1_2_train,6076.443824,6066.977228,6071.776608,6074.74,7002.73,6111.59
logn_mlog3p5_s1p3_L6_c1_2_test,5773.971615,5768.904576,5772.886744,5769.56,6538.46,5769.42
logn_mlog3p5_s1_L6_c1_2_train,3569.240159,3569.259451,3569.312399,3568.74,4194.91,3569.66
logn_mlog3p5_s1_L6_c1_2_test,3387.782832,3388.401741,3388.563879,3386.6,4022.4,3386.66
logn_mlog3p5_s0p7_L6_c1_2_train,1958.080752,1957.22295,1957.283583,1964.4,2602.97,1957.48
logn_mlog3p5_s0p7_L6_c1_2_test,1960.194871,1962.244196,1963.849561,1968.12,2586.12,1962.61
logn_mlog3p5_s0p5_L6_c1_2_train,1315.904573,1317.613659,1316.720828,1325.29,1935.96,1319.28
logn_mlog3p5_s0p5_L6_c1_2_test,1287.187075,1286.257202,1287.313824,1288.75,1919.18,1286.46
logn_mlog3p5_s0p3_L6_c1_2_train,739.1171172,746.608718,738.9561112,738.86,1389.28,748.19
logn_mlog3p5_s0p3_L6_c1_2_test,734.1038184,737.9136326,733.4490816,733.52,1389.08,737.36
logn_mlog3_s1p3_L6_c1_2_train,3504.257956,3504.236125,3505.402596,3519.04,3903.88,3504.26
logn_mlog3_s1p3_L6_c1_2_test,3505.742831,3505.954758,3505.243692,3519.02,3879.94,3505.72
logn_mlog3_s1_L6_c1_2_train,1982.782322,1982.996051,1976.496168,2011.83,2351.32,1982.71
logn_mlog3_s1_L6_c1_2_test,2036.344553,2037.284274,2040.780477,2065.33,2424.03,2035.93
logn_mlog3_s0p7_L6_c1_2_train,1183.515298,1183.786751,1183.118255,1220.27,1559.18,1183.05
logn_mlog3_s0p7_L6_c1_2_test,1191.998096,1195.600462,1193.670403,1221.77,1571.48,1193.87
logn_mlog3_s0p5_L6_c1_2_train,781.6565534,781.6015148,780.1005931,797.88,1152.25,788.19
logn_mlog3_s0p5_L6_c1_2_test,785.1635543,782.6576468,780.6610467,807.55,1163.65,787.35
logn_mlog3_s0p3_L6_c1_2_train,457.472855,457.6937173,457.4408162,480.41,847.04,457.51
logn_mlog3_s0p3_L6_c1_2_test,449.7880904,451.4209666,451.6666086,471.32,846.23,452.09
logn_mlog2p5_s1p3_L6_c1_2_train,2127.481342,2128.000065,2126.840836,2141.17,2366.87,2127.73
logn_mlog2p5_s1p3_L6_c1_2_test,2116.462629,2115.508541,2114.400818,2122.11,2348.87,2115.55
logn_mlog2p5_s1_L6_c1_2_train,1166.428114,1166.5175,1166.455145,1166.54,1396.5,1166.78
logn_mlog2p5_s1_L6_c1_2_test,1250.896615,1253.373654,1253.905276,1255.84,1484.02,1253.12
logn_mlog2p5_s0p7_L6_c1_2_train,719.4810063,721.1830942,721.0783335,723.35,954.95,723.35
logn_mlog2p5_s0p7_L6_c1_2_test,727.0399952,728.1780628,728.8323123,731.42,955.26,731.42
logn_mlog2p5_s0p5_L6_c1_2_train,479.8231426,479.9360551,479.9239788,489.11,713.37,483.89
logn_mlog2p5_s0p5_L6_c1_2_test,481.1590984,481.388149,481.3643365,492.43,716.64,484.7
logn_mlog2p5_s0p3_L6_c1_2_train,271.1568848,270.6327439,270.62755,311.59,513.63,270.35
logn_mlog2p5_s0p3_L6_c1_2_test,273.2703534,272.6355472,272.4581651,311.74,512.52,272.28
logn_mlog2_s1p3_L6_c1_2_train,1248.28837,1249.806674,1247.879083,1274.93,1372.72,1250.49
logn_mlog2_s1p3_L6_c1_2_test,1295.758291,1292.867353,1292.672502,1330.57,1436.62,1293.68
logn_mlog2_s1_L6_c1_2_train,751.6036808,752.1534551,747.2725878,786.61,888.02,754.2
logn_mlog2_s1_L6_c1_2_test,748.7937722,748.3006919,752.3455518,788.84,891.36,752.66
logn_mlog2_s0p7_L6_c1_2_train,431.3780975,431.3468315,430.4254061,477.86,573.56,438.37
logn_mlog2_s0p7_L6_c1_2_test,435.8676325,436.1822903,435.0976138,481.8,576.54,437.85
logn_mlog2_s0p5_L6_c1_2_train,283.5625319,283.2912413,283.0201057,340.71,430.08,294.69
logn_mlog2_s0p5_L6_c1_2_test,287.4239574,287.2423966,287.6199277,340.71,428.89,295.11
logn_mlog2_s0p3_L6_c1_2_train,173.584958,174.4977857,172.5771653,226.85,312.69,192.57
logn_mlog2_s0p3_L6_c1_2_test,168.7150692,166.381501,166.5287415,221.21,311.14,176.11
logn_mlog1p5_s1p3_L6_c1_2_train,728.595248,727.8808026,727.624907,739.44,814.13,727.83
logn_mlog1p5_s1p3_L6_c1_2_test,778.5542151,777.7705424,778.0468214,788.49,865.05,777.72
logn_mlog1p5_s1_L6_c1_2_train,475.777914,475.6951158,474.8581124,486.72,558.33,477.64
logn_mlog1p5_s1_L6_c1_2_test,464.8541898,465.190474,464.5111582,477.09,550.55,464.28
logn_mlog1p5_s0p7_L6_c1_2_train,262.4751423,262.7964764,262.6884292,279.5,348.89,266.36
logn_mlog1p5_s0p7_L6_c1_2_test,268.0141561,268.1084807,268.0515483,282.02,352.49,269.47
logn_mlog1p5_s0p5_L6_c1_2_train,174.5264851,173.7285184,173.7939735,191.58,264.02,174.65
logn_mlog1p5_s0p5_L6_c1_2_test,176.3904462,176.0519006,176.0901436,192.25,261.74,177.77
logn_mlog1p5_s0p3_L6_c1_2_train,101.780999,101.9256698,101.7642887,115.78,189.9,101.59
logn_mlog1p5_s0p3_L6_c1_2_test,100.9763463,101.2399006,100.8678968,116.57,189.28,100.63
geom_p0p8_L6_c1_2_train,25.50000191,25.50000203,25.5,25.5,25.5,25.5
geom_p0p8_L6_c1_2_test,24.94800208,24.9480022,24.948,24.95,24.95,24.95
geom_p0p6_L6_c1_2_train,63.22144046,63.20309448,63.2173246,66.56,64.04,66.56
geom_p0p6_L6_c1_2_test,62.84636791,62.82724474,62.80380125,66.2,63.28,66.3
geom_p0p4_L6_c1_2_train,117.0558942,116.9086186,116.9598142,128.9,128.9,137.74
geom_p0p4_L6_c1_2_test,118.9392034,118.902368,118.6908924,131,131,138.38
geom_p0p3_L6_c1_2_train,173.2407458,173.2675479,173.3075041,192.19,194.32,173.37
geom_p0p3_L6_c1_2_test,169.0269453,169.1402282,168.9991393,190.63,192.85,169.16
geom_p0p2_L6_c1_2_train,266.3928664,266.7554653,265.4971131,291.67,309.2,267.99
geom_p0p2_L6_c1_2_test,275.0757386,274.1900032,274.5946412,303.62,319.26,274.2
geom_p0p15_L6_c1_2_train,368.0230149,367.9700943,367.919364,388.48,434.45,368.61
geom_p0p15_L6_c1_2_test,375.7501909,375.6166634,375.3733945,397.75,439.09,375.36
geom_p0p1_L6_c1_2_train,591.2251989,591.2723322,590.0824645,591.14,696.49,591.24
geom_p0p1_L6_c1_2_test,579.7633942,580.8568462,578.7567272,579.35,689.13,580.86
geom_p0p08_L6_c1_2_train,721.2888618,721.7308739,721.7233768,748.36,861.69,722.1
geom_p0p08_L6_c1_2_test,736.2039832,736.2202732,737.693638,761.74,869.7,736.61
geom_p0p05_L6_c1_2_train,1190.16041,1190.469462,1190.355222,1206.33,1428.38,1194.42
