policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,exponential_75_L8_p6,test,9596.504,9441.824274999999,9749.105775,ok_expanded,9541.09,"{""base_stock"": 1.2191075158288045, ""safety_stock"": 1.7356927116772416e-05, ""pipeline_weight"": 0.38631401119640224, ""smoothing_factor"": 0.10288500599403157, ""lost_sales_weight"": 1.0509035324184504, ""demand_buffer"": 603.9393295347212, ""min_order_threshold"": 1.0469570465852291}",
normal_std30_L6_c1_2,exponential_75_L8_p6,train,9510.93,9008.203,9950.145,ok_expanded,9510.93,"{""base_stock"": 1026.1446139807317, ""safety_stock"": 7.671929751139143e-05, ""pipeline_weight"": 0.949419572041635, ""demand_forecast"": 27.106765894611822, ""smoothing_factor"": 0.08121018175346732, ""forecast_weight"": 0.27629131134060536, ""adjustment_factor"": 2.2806208320600865e-141, ""pipeline_discount"": 0.978456572433252, ""min_order"": 9.428793066368668e-06}",
normal_std30_L6_c1_2,exponential_75_L8_p6,test,9535.911,9381.482275,9688.153175,ok_expanded,9510.93,"{""base_stock"": 1026.1446139807317, ""safety_stock"": 7.671929751139143e-05, ""pipeline_weight"": 0.949419572041635, ""demand_forecast"": 27.106765894611822, ""smoothing_factor"": 0.08121018175346732, ""forecast_weight"": 0.27629131134060536, ""adjustment_factor"": 2.2806208320600865e-141, ""pipeline_discount"": 0.978456572433252, ""min_order"": 9.428793066368668e-06}",
poisson_L6_c1_2,exponential_75_L8_p6,train,9620.54,9132.90525,10035.748999999998,ok_expanded,9620.54,"{""safety_stock"": 0.7317309748187028, ""demand_estimate"": 93.3497694639284, ""max_order"": 60.36371059118236}",
poisson_L6_c1_2,exponential_75_L8_p6,test,9563.685,9417.2641,9717.617225,ok_expanded,9620.54,"{""safety_stock"": 0.7317309748187028, ""demand_estimate"": 93.3497694639284, ""max_order"": 60.36371059118236}",
exponential_L6_c1_2,normal_std100_100_L8_p6,train,11951.5,11340.3245,12745.490749999999,ok_expanded,11951.5,"{""base_stock"": 12.206371385275464, ""safety_stock"": 49.453434476792324, ""pipeline_weight"": 1.0, ""smoothing_factor"": 0.008135748105101457, ""lost_sales_weight"": 1.2731345161859595, ""demand_buffer"": 761.5935319958741, ""min_order_threshold"": 0.00011759548138590461}",
exponential_L6_c1_2,normal_std100_100_L8_p6,test,12160.334,11946.74145,12360.876400000001,ok_expanded,11951.5,"{""base_stock"": 12.206371385275464, ""safety_stock"": 49.453434476792324, ""pipeline_weight"": 1.0, ""smoothing_factor"": 0.008135748105101457, ""lost_sales_weight"": 1.2731345161859595, ""demand_buffer"": 761.5935319958741, ""min_order_threshold"": 0.00011759548138590461}",
normal_std30_L6_c1_2,normal_std100_100_L8_p6,train,11802.9,11340.54175,12365.830249999999,ok_expanded,11802.9,"{""base_stock"": 1070.0904495851867, ""safety_stock"": 109.14208973408726, ""pipeline_weight"": 0.7669312389912363, ""demand_forecast"": 139.7715865830159, ""smoothing_factor"": 0.049248895218919835, ""forecast_weight"": 0.33760852017321225, ""adjustment_factor"": 0.25640265586395034, ""pipeline_discount"": 0.9643154475908454, ""min_order"": 4.8810683561082575}",
normal_std30_L6_c1_2,normal_std100_100_L8_p6,test,11908.574,11731.09515,12063.246299999999,ok_expanded,11802.9,"{""base_stock"": 1070.0904495851867, ""safety_stock"": 109.14208973408726, ""pipeline_weight"": 0.7669312389912363, ""demand_forecast"": 139.7715865830159, ""smoothing_factor"": 0.049248895218919835, ""forecast_weight"": 0.33760852017321225, ""adjustment_factor"": 0.25640265586395034, ""pipeline_discount"": 0.9643154475908454, ""min_order"": 4.8810683561082575}",
poisson_L6_c1_2,normal_std100_100_L8_p6,train,11706.96,11316.14875,12200.6755,ok_expanded,11706.96,"{""safety_stock"": 0.5081521865389269, ""demand_estimate"": 152.55492132088065, ""max_order"": 95.51027621394108}",
