dataset,exponential_L6_c1_2,poisson_L6_c1_2,normal_std10_L6_c1_2,normal_std30_L6_c1_2,normal_std50_L6_c1_2,capped_base_stock,basestock,constant
tri_a0_c50_b250_L6_c1_2_train,3834.61,3831.37,3831.09,3835.98,3867.51,3838.57,5536,3841.06
tri_a0_c50_b250_L6_c1_2_test,3929.8,3930.32,3931.96,3932.54,3952.86,3943.03,5650.57,3946.07
tri_a0_c50_b120_L6_c1_2_train,1834.86,1830.74,1832.09,1829.04,1845.49,1846.46,2891.37,1861.11
tri_a0_c50_b120_L6_c1_2_test,1835.26,1851.1,1853.49,1838.31,1852.25,1837.82,2849.23,1843.95
tri_a0_c200_b800_L6_c1_2_train,12385.29,12339.61,12336.47,12369.12,12441.15,12329.88,19196.27,12421.74
tri_a0_c200_b800_L6_c1_2_test,12398.14,12411.12,12405.19,12381.68,12478.96,12394.99,19292.67,12473.04
tri_a0_c200_b500_L6_c1_2_train,7595.4,7588.45,7574.61,7593.03,7665.32,7562.55,12223.82,7655.39
tri_a0_c200_b500_L6_c1_2_test,7678.15,7725.05,7700.73,7662.73,7743.08,7650.79,11914.93,7703.22
tri_a0_c200_b250_L6_c1_2_train,4262.97,4248.98,4248.09,4271.31,4316.89,4252.71,7050.19,4300.19
tri_a0_c200_b250_L6_c1_2_test,4287.13,4274.58,4272.73,4297.79,4341.98,4280.44,7090.28,4326.46
tri_a0_c20_b800_L6_c1_2_train,13534.21,13514.97,13518.74,13518.36,13554.84,13514.36,19380.01,13570.28
tri_a0_c20_b800_L6_c1_2_test,13615.24,13629.2,13608.15,13623.93,13691.59,13601.83,19335.32,13657.99
tri_a0_c20_b60_L6_c1_2_train,885.68,891.09,888.79,885.32,895.76,915.8,1376.8,891.7
tri_a0_c20_b60_L6_c1_2_test,923.83,926.35,926.41,924.21,929.96,936.93,1393.79,921.88
tri_a0_c20_b500_L6_c1_2_train,8117.29,8135.52,8135.18,8113.78,8210.04,8135,11106.68,8151.89
tri_a0_c20_b500_L6_c1_2_test,8401.08,8411.17,8402.41,8403.83,8462.95,8398.56,11428.08,8431.55
tri_a0_c20_b250_L6_c1_2_train,4116.9,4113.31,4111.12,4115.33,4141.53,4111.17,5625.84,4126.1
tri_a0_c20_b250_L6_c1_2_test,4088.76,4100.66,4096.67,4095.78,4156.89,4094.45,5501.8,4110.42
tri_a0_c20_b120_L6_c1_2_train,1924.15,1927.07,1925.85,1929.01,1934.05,1927.01,2695.78,1944.64
tri_a0_c20_b120_L6_c1_2_test,1912.72,1907.12,1911.56,1918.69,1919.27,1906.07,2682.89,1916.99
tri_a0_c100_b800_L6_c1_2_train,12975.49,12939.13,12935.96,12966.35,13038.02,12932.2,19346.34,12978.62
tri_a0_c100_b800_L6_c1_2_test,13111.95,13061.17,13055.04,13083.67,13154.55,13019.54,19347.28,13076
tri_a0_c100_b500_L6_c1_2_train,7780.16,7791.37,7792.2,7781.1,7881.1,7784.12,11318.77,7795.62
tri_a0_c100_b500_L6_c1_2_test,7878.83,7907.49,7910.05,7893.64,7928.93,7870.49,11401.55,7916.34
tri_a0_c100_b250_L6_c1_2_train,3838.97,3833.73,3833.86,3838.09,3883.82,3833.71,5860.91,3859.28
tri_a0_c100_b250_L6_c1_2_test,3833.83,3818.64,3818.38,3830.28,3870.64,3818.32,5927.16,3857.56
tri_a0_c100_b120_L6_c1_2_train,2057.91,2059.19,2059.29,2042.16,2076.44,2061.95,3433.05,2069.39
tri_a0_c100_b120_L6_c1_2_test,2083.34,2073.41,2072.95,2074.68,2124.58,2082.52,3442.26,2090.57
pareto_a6_xm50_L6_c1_2_train,647.71,643.1,643.4,643.1,680.96,643.1,1811.63,643.1
pareto_a6_xm50_L6_c1_2_test,656,653.36,653.44,653.36,689.41,653.31,1815.53,653.36
pareto_a6_xm5_L6_c1_2_train,83.21,83.1,76.02,84.03,91.65,95.26,187.66,95.26
pareto_a6_xm5_L6_c1_2_test,81.19,81.19,75.97,81.65,89.4,95.7,187.77,95.7
pareto_a6_xm20_L6_c1_2_train,257.86,257.86,264.2,256.47,274.1,308.23,719.88,257.86
pareto_a6_xm20_L6_c1_2_test,267.69,267.69,273.03,267.25,279.14,318.78,732.7,267.69
pareto_a6_xm100_L6_c1_2_train,1356.76,1307.33,1310.55,1303.96,1441.36,1306.77,3620.35,1307.33
pareto_a6_xm100_L6_c1_2_test,1375.96,1326.2,1329.63,1324.73,1459.07,1325.94,3647.22,1326.2
pareto_a6_xm10_L6_c1_2_train,137.69,137.39,137.84,137.27,141.95,200.34,369.12,137.69
pareto_a6_xm10_L6_c1_2_test,133.4,133.67,134.01,133.41,138.35,196.9,367.44,133.4
pareto_a6_xm1_L6_c1_2_train,9.36,9.36,9.36,9.36,9.36,37.36,30.36,9.36
pareto_a6_xm1_L6_c1_2_test,9.07,9.07,9.07,9.07,9.07,37.07,30.07,9.07
pareto_a4_xm50_L6_c1_2_train,1100.95,1101.29,1099.72,1101.29,1133.79,1119.77,2314.58,1101.29
pareto_a4_xm50_L6_c1_2_test,1142.03,1142.68,1143.63,1142.68,1169.65,1166.34,2369.91,1142.68
pareto_a4_xm5_L6_c1_2_train,122.07,122.06,121.76,124.91,128.41,164.04,241.39,129.35
pareto_a4_xm5_L6_c1_2_test,121.14,121.1,120.7,122.82,126.26,163.45,241.07,129.03
pareto_a4_xm20_L6_c1_2_train,455.07,456.73,456.17,455.27,467.9,475.17,942.3,456.73
pareto_a4_xm20_L6_c1_2_test,458.45,459.33,458.93,458.79,469.2,482.02,947.5,459.33
pareto_a4_xm100_L6_c1_2_train,2285.64,2286.42,2286.2,2285.99,2344.03,2286.97,4721.86,2286.42
pareto_a4_xm100_L6_c1_2_test,2282.64,2285.89,2286.81,2283.27,2339.8,2289.11,4722.52,2285.89
pareto_a4_xm10_L6_c1_2_train,233.98,234.66,230.93,234.14,242.97,290,475.51,245.44
pareto_a4_xm10_L6_c1_2_test,233.27,235.3,231.56,234.01,245.35,289.29,474.5,247.35
pareto_a4_xm1_L6_c1_2_train,22.98,22.98,22.98,22.98,22.98,50.98,43.98,22.98
pareto_a4_xm1_L6_c1_2_test,23.84,23.84,23.84,23.84,23.84,50.83,44.83,23.84
pareto_a3_xm50_L6_c1_2_train,1873.59,1867.38,1870.52,1873.77,1895.61,1877.45,3135.25,1873.77
pareto_a3_xm50_L6_c1_2_test,1801.51,1801.56,1804.24,1801.98,1829.35,1811.39,3089.69,1801.98
pareto_a3_xm5_L6_c1_2_train,176.88,176.88,176.9,176.53,177.32,236.23,308.46,176.88
pareto_a3_xm5_L6_c1_2_test,180.41,180.43,180.47,180.02,181.23,237.44,309.83,180.43
pareto_a3_xm20_L6_c1_2_train,729.84,731.09,729.52,729.56,738.73,732.68,1239.56,731.09
pareto_a3_xm20_L6_c1_2_test,719.79,721.11,718.54,719.34,723.88,720.03,1232.9,721.11
pareto_a3_xm100_L6_c1_2_train,3533.18,3557.66,3551.48,3531.43,3569.87,3537.36,6169.35,3535.71
pareto_a3_xm100_L6_c1_2_test,3567.63,3565.2,3621.73,3570.12,3605.56,3581.1,6137.17,3560.28
pareto_a3_xm10_L6_c1_2_train,349.83,349.94,349.69,349.94,357.48,394.34,604.34,349.94
pareto_a3_xm10_L6_c1_2_test,356.2,356.78,355.91,356.78,360.13,398.76,612.92,356.78
pareto_a3_xm1_L6_c1_2_train,44.2,44.2,44.5,44.2,44.2,64.89,65.17,44.2
pareto_a3_xm1_L6_c1_2_test,41.96,41.96,42.22,41.96,41.96,62.23,62.89,41.96
pareto_a2_xm50_L6_c1_2_train,3906.96,3904.3,3907.43,3905.99,3935.77,3926.56,5314.02,3905.46
pareto_a2_xm50_L6_c1_2_test,3856.54,3849.49,3849.75,3846.57,3880.34,3861.38,5289.95,3849.83
pareto_a2_xm5_L6_c1_2_train,355.14,355.42,354.98,354.56,355.02,403.73,499.17,357.67
pareto_a2_xm5_L6_c1_2_test,390.19,390.73,390.63,390.78,392.58,437.56,534.86,392.12
pareto_a2_xm20_L6_c1_2_train,1551.18,1552.02,1552.66,1550.46,1562.05,1588.83,2132.18,1552.02
pareto_a2_xm20_L6_c1_2_test,1524.8,1526.61,1527.47,1524.5,1534.98,1553.16,2104.18,1526.61
pareto_a2_xm100_L6_c1_2_train,7463.37,7459.81,7460.12,7467.85,7522.12,7458.22,11224.16,7472.14
pareto_a2_xm100_L6_c1_2_test,7659.9,7642.8,7647.22,7642.25,7710.47,7638.41,11568.47,7634.96
pareto_a2_xm10_L6_c1_2_train,749.67,749.27,749.66,746.63,749.75,764.41,1036.44,749.67
pareto_a2_xm10_L6_c1_2_test,771.42,767.62,771.4,766.23,770.28,779.25,1052.51,771.42
pareto_a2_xm1_L6_c1_2_train,95.27,96.44,91.28,95.94,95.73,110.38,113.46,96.44
pareto_a2_xm1_L6_c1_2_test,92.72,95.13,88.44,94.36,94.46,108.18,111.24,95.13
pareto_a1p5_xm50_L6_c1_2_train,8660.06,8661.09,8662.78,8658.35,8669.1,8676.85,12802.12,8663.67
pareto_a1p5_xm50_L6_c1_2_test,7865.77,7869.3,7868.9,7870.36,7886.19,7871.91,11253.56,7869.01
pareto_a1p5_xm5_L6_c1_2_train,778.25,781.2,778.98,777.97,781.58,808.66,935.56,784.88
pareto_a1p5_xm5_L6_c1_2_test,812.49,814.43,811.64,812.01,815.26,842.94,972.17,816.05
pareto_a1p5_xm20_L6_c1_2_train,2859.99,2868.56,2867.93,2862.68,2867.26,2866.62,3515.16,2868.56
pareto_a1p5_xm20_L6_c1_2_test,3140.32,3145.71,3142.1,3141.71,3150.55,3145.34,3793.33,3139.48
pareto_a1p5_xm100_L6_c1_2_train,14979.65,14968.71,14968.81,14976.61,15021.1,14980.95,27159.62,14980.95
pareto_a1p5_xm100_L6_c1_2_test,15992.85,15991.24,15993.22,15999.97,16064.63,15996.08,29684.33,15990.19
pareto_a1p5_xm10_L6_c1_2_train,1638.81,1639.19,1637.51,1637.13,1641.26,1638.94,1963.26,1639.57
pareto_a1p5_xm10_L6_c1_2_test,1690.32,1690.84,1690.08,1690.7,1695.74,1690.83,2012.32,1690.85
pareto_a1p5_xm1_L6_c1_2_train,173.95,174.78,169.54,187.6,177.68,193.44,197.93,187.6
pareto_a1p5_xm1_L6_c1_2_test,170.62,171.37,167.18,186.24,176.11,189.93,195.35,186.24
pareto_a1p3_xm50_L6_c1_2_train,10961.41,10969.43,10969.49,10961.66,11002.53,10969.43,18035.49,10964.47
pareto_a1p3_xm50_L6_c1_2_test,13349.94,13366.63,13366.73,13349.76,13383.12,13366.63,24770.63,13353.78
pareto_a1p3_xm5_L6_c1_2_train,32300.29,32300.51,32301.5,32300.51,32303.96,32432.76,125617.65,32300.51
pareto_a1p3_xm5_L6_c1_2_test,1285.82,1286.46,1287.37,1286.46,1289.3,1307.79,1456.33,1286.46
pareto_a1p3_xm20_L6_c1_2_train,5618.52,5620.18,5619.95,5618.23,5627.86,5640.94,6755.21,5620.18
pareto_a1p3_xm20_L6_c1_2_test,5582.72,5584.67,5581.86,5580.82,5598.31,5604.17,6685.52,5581.03
pareto_a1p3_xm100_L6_c1_2_train,27113.67,27121.91,27122.2,27112.04,27184.62,27116.76,62224.65,27114.44
pareto_a1p3_xm100_L6_c1_2_test,28514.46,28514.73,28514.83,28511.29,28613.9,28514.27,65335.63,28514.27
pareto_a1p3_xm10_L6_c1_2_train,3049.61,3051.33,3050.11,3048.74,3056.96,3072.28,3389.76,3051.33
pareto_a1p3_xm10_L6_c1_2_test,2598.28,2601.58,2600.2,2598.74,2602.67,2624.54,2945.52,2601.58
pareto_a1p3_xm1_L6_c1_2_train,283.61,283.3,280.98,283.72,286.79,306.37,312.13,304.93
pareto_a1p3_xm1_L6_c1_2_test,291.51,290.78,287.69,291.53,293.73,313.23,318.69,314.27
normal_mu80_sd8_L6_c1_2_train,631.76,629.21,631.63,632.95,668.71,655.01,2246.32,634.53
normal_mu80_sd8_L6_c1_2_test,614.11,613.12,616.48,618.25,669.99,644.85,2236.47,614.42
normal_mu80_sd24_L6_c1_2_train,1783.5,1791.17,1793.1,1781,1815.72,1791.03,3335.97,1798.71
normal_mu80_sd24_L6_c1_2_test,1821.09,1810.38,1816.07,1817.67,1846.2,1808.73,3321.81,1830.09
normal_mu80_sd20_L6_c1_2_train,1518.39,1520.98,1521.13,1518.56,1567.22,1532.24,3083.56,1520.98
normal_mu80_sd20_L6_c1_2_test,1505.89,1515.19,1515.61,1506.74,1537.17,1515.69,3062.34,1515.19
normal_mu80_sd16_L6_c1_2_train,1205.11,1206.14,1205.88,1204.21,1255.97,1212.68,2778.32,1206.14
normal_mu80_sd16_L6_c1_2_test,1211.82,1222.32,1224.9,1216.05,1254.85,1218.56,2783.37,1222.32
normal_mu80_sd12_L6_c1_2_train,921.79,904.59,905.52,915.4,956.82,903.94,2497.52,921.79
normal_mu80_sd12_L6_c1_2_test,910.31,895.58,896.92,901.98,943.54,895.21,2499.85,910.31
normal_mu50_sd8_L6_c1_2_train,590.21,590.69,591.22,587.44,631.46,635.61,1591.54,594.55
normal_mu50_sd8_L6_c1_2_test,603.5,601.21,603.19,600.87,649.3,643.63,1596,607.14
normal_mu50_sd5_L6_c1_2_train,392.04,398.72,391.29,392.61,424.13,413.44,1408.46,402.23
normal_mu50_sd5_L6_c1_2_test,374.07,388.48,373.4,374.77,412.75,406.43,1394.01,380.98
normal_mu50_sd15_L6_c1_2_train,1128.03,1131.24,1127.55,1125.85,1138.92,1132.63,2057.85,1144.56
normal_mu50_sd15_L6_c1_2_test,1122,1129.63,1128.27,1121.95,1131.99,1123.36,2080.15,1127.31
normal_mu50_sd12_L6_c1_2_train,894.76,886.79,886.95,892.83,902.08,886.79,1857.23,901.94
normal_mu50_sd12_L6_c1_2_test,917.37,909.23,909.35,917.88,927.82,909.22,1880.94,925.11
normal_mu50_sd10_L6_c1_2_train,766.93,752.64,756.93,767.75,777.65,763.83,1735.8,775.09
normal_mu50_sd10_L6_c1_2_test,758.62,748.56,753.37,761.97,777.07,758.56,1736.28,762.98
normal_mu300_sd90_L6_c1_2_train,6699.06,6690.87,6673.16,6678.22,6838.59,6656.76,12372.45,6696.66
normal_mu300_sd90_L6_c1_2_test,6834.58,6786.06,6783.76,6794.24,6962.17,6762.14,12541.71,6834.58
normal_mu300_sd75_L6_c1_2_train,5576.41,5543.54,5549.41,5562.16,5720.88,5537.77,11154.68,5617.73
normal_mu300_sd75_L6_c1_2_test,5698.14,5654.73,5647.66,5707.94,5795.18,5641.95,11452.32,5728.76
normal_mu300_sd60_L6_c1_2_train,4410.41,4423.19,4417.92,4406.34,4602.77,4390.44,10321.79,4423.68
normal_mu300_sd60_L6_c1_2_test,4587.44,4665.01,4637.61,4593.23,4730.83,4538.27,10452.5,4587.93
normal_mu300_sd45_L6_c1_2_train,3352.51,3359.45,3358.83,3356.89,3572.65,3358.9,9428.71,3359.45
normal_mu300_sd45_L6_c1_2_test,3452.34,3457.69,3458.64,3446.01,3595.57,3449.99,9416.21,3455.23
normal_mu300_sd30_L6_c1_2_train,2253.18,2259.21,2270.31,2260,2479.02,2259.2,8402.28,2266.88
normal_mu300_sd30_L6_c1_2_test,2296.37,2275.36,2272.9,2295.76,2479.22,2281.84,8390.39,2292.5
normal_mu200_sd60_L6_c1_2_train,4547.93,4522.64,4513.43,4528.48,4564.85,4503.89,8445.3,4596.71
normal_mu200_sd60_L6_c1_2_test,4528.38,4516.59,4544.61,4520.46,4592.27,4494.95,8330.75,4549.11
normal_mu200_sd50_L6_c1_2_train,3855.98,3805.2,3810.1,3832.15,3908.73,3803.23,7669.18,3857.13
normal_mu200_sd50_L6_c1_2_test,3833.03,3787.18,3788.52,3805.58,3887.47,3784.5,7647.98,3834.52
normal_mu200_sd40_L6_c1_2_train,3039.4,3022.93,3012.51,3040.01,3148.42,3009.37,6995.56,3051.21
normal_mu200_sd40_L6_c1_2_test,3044.88,3060.37,3040.02,3048.63,3137.15,3026.69,6961.62,3058.68
normal_mu200_sd30_L6_c1_2_train,2165.32,2179.72,2184.71,2166.31,2304.51,2201.86,6205.76,2173.3
normal_mu200_sd30_L6_c1_2_test,2267.77,2263.79,2274.53,2270.78,2386.18,2266.86,6258.34,2274.19
normal_mu200_sd20_L6_c1_2_train,1567.67,1500.4,1501.78,1521.47,1710.24,1524.46,5584.63,1528.05
normal_mu200_sd20_L6_c1_2_test,1545.97,1493.92,1494.26,1502.14,1707.19,1514.46,5579.21,1507.99
normal_mu20_sd6_L6_c1_2_train,448.46,449.64,445.5,447.81,454.72,487.81,843.74,450.54
normal_mu20_sd6_L6_c1_2_test,455.08,456.06,453.28,454.05,458.24,488.06,832.02,458.35
normal_mu20_sd5_L6_c1_2_train,379.49,398.47,384.76,378.11,388.15,414.21,774.85,383.03
normal_mu20_sd5_L6_c1_2_test,378.13,398.14,384.27,377.01,384.94,406.01,764.37,381.47
normal_mu20_sd4_L6_c1_2_train,297.67,343.21,311.64,297.04,307.52,327.35,693.58,297.67
normal_mu20_sd4_L6_c1_2_test,303.14,347.64,311.01,302.27,314.34,325.21,694.9,303.14
normal_mu20_sd3_L6_c1_2_train,229.35,233.13,230.12,231.12,240.83,247.01,627.95,240.55
normal_mu20_sd3_L6_c1_2_test,225.18,228.17,226.28,226.46,234.62,243.28,626.09,236.71
normal_mu20_sd2_L6_c1_2_train,149.36,150.77,150.97,149.36,174.62,164.57,556.58,150.77
normal_mu20_sd2_L6_c1_2_test,150.97,151.97,151.05,150.97,174.14,162.67,558.25,151.97
normal_mu150_sd45_L6_c1_2_train,3312.32,3315.54,3311.65,3315.44,3424.85,3339.51,6241.56,3332.69
normal_mu150_sd45_L6_c1_2_test,3391.66,3396.23,3392.65,3391.12,3480.86,3375.42,6253.85,3408.82
normal_mu150_sd38_L6_c1_2_train,2957.26,2907.84,2905.11,2922.41,2973.53,2906.81,5771.96,2979.01
normal_mu150_sd38_L6_c1_2_test,2873.45,2850.17,2850.12,2865.17,2914.74,2850,5747.09,2884.66
normal_mu150_sd30_L6_c1_2_train,2346.7,2313.61,2323.91,2334.6,2402.76,2297.36,5257.33,2369.92
normal_mu150_sd30_L6_c1_2_test,2238.69,2244.47,2253.33,2249.63,2328.09,2243.16,5193.78,2244.06
normal_mu150_sd22_L6_c1_2_train,1620.24,1706.91,1702.71,1609.4,1719.92,1616.63,4627.39,1621.71
normal_mu150_sd22_L6_c1_2_test,1681.01,1748.65,1743.74,1675.92,1769.44,1668.13,4671.08,1681.36
normal_mu150_sd15_L6_c1_2_train,1127.8,1117.88,1120.11,1129.82,1222.52,1121.13,4153.13,1127.8
normal_mu150_sd15_L6_c1_2_test,1130.19,1125.08,1127.51,1130.86,1224.92,1127.86,4188.71,1130.19
normal_mu100_sd25_L6_c1_2_train,1934.67,1954.21,1948.38,1932.59,1962.84,1928.72,3892.48,1942.31
normal_mu100_sd25_L6_c1_2_test,1862.04,1885.49,1878.32,1864.48,1912.56,1859.9,3802.5,1871.34
normal_mu100_sd20_L6_c1_2_train,1498.66,1518.16,1526.49,1496.5,1561.61,1516.16,3483.03,1508.83
normal_mu100_sd20_L6_c1_2_test,1513.67,1529.63,1535.64,1510.59,1565.06,1522.69,3475.59,1525.28
normal_mu100_sd15_L6_c1_2_train,1165.46,1166.63,1172.5,1166.69,1237.68,1168.25,3151.41,1175.76
normal_mu100_sd15_L6_c1_2_test,1125.57,1126.78,1135.85,1136.04,1209.71,1124.77,3132,1130.93
negbin_r5_p0p8_L6_c1_2_train,86.73,86.92,85.86,85.04,92.9,99.57,99.57,106.52
negbin_r5_p0p8_L6_c1_2_test,86.29,86.08,85.17,84.75,90.93,99.34,99.34,108.59
negbin_r5_p0p6_L6_c1_2_train,164.25,168.07,162.44,163.96,165.93,193.55,212.61,168.07
negbin_r5_p0p6_L6_c1_2_test,164.87,168.53,163.35,164.89,165.52,195.57,214.69,168.53
negbin_r5_p0p4_L6_c1_2_train,293.98,296.18,295.35,294.03,295,314.71,426,299.7
negbin_r5_p0p4_L6_c1_2_test,301.93,303.8,302.68,302.49,303.6,315.95,425.38,313.6
negbin_r5_p0p3_L6_c1_2_train,441.82,440.81,441.53,440.45,445.92,457.15,635.67,445.67
negbin_r5_p0p3_L6_c1_2_test,433.42,433.72,436.28,433.27,436.61,444.73,634.11,435.83
negbin_r5_p0p2_L6_c1_2_train,696.12,697.27,697.31,695.79,704.6,708.12,1060.85,702.25
negbin_r5_p0p2_L6_c1_2_test,694.65,697.1,696.4,694.57,698.87,702.1,1040.47,703.03
negbin_r5_p0p1_L6_c1_2_train,1482.64,1482.66,1485.93,1484.21,1497.01,1483.38,2266.79,1493.18
negbin_r5_p0p1_L6_c1_2_test,1489.46,1489.39,1496.27,1492.4,1504.04,1493.37,2276.52,1495.26
negbin_r40_p0p8_L6_c1_2_train,261.27,265.51,262.5,261.59,269.6,277.1,441.78,269.68
negbin_r40_p0p8_L6_c1_2_test,258.21,263.73,258.61,258.25,265.66,280.15,443.88,267.12
negbin_r40_p0p6_L6_c1_2_train,483.27,484.08,483.11,483.09,501.08,501.28,1004.44,484.08
negbin_r40_p0p6_L6_c1_2_test,484.91,490.43,488.46,485.87,495.9,497.06,1004.17,490.43
negbin_r40_p0p4_L6_c1_2_train,884.43,918.07,912.51,884.34,921.84,892.03,2071.8,892.6
negbin_r40_p0p4_L6_c1_2_test,901.29,928.98,923.56,897.99,930.74,895.99,2078.49,903.82
negbin_r40_p0p3_L6_c1_2_train,1256.46,1259.04,1253.55,1262.57,1282.73,1256.63,3106.07,1264.39
negbin_r40_p0p3_L6_c1_2_test,1291.85,1285.01,1281.59,1292.57,1326.39,1293.46,3141.4,1297.86
negbin_r40_p0p2_L6_c1_2_train,2053.79,2057.6,2057.74,2054.47,2131.52,2064.1,5231.95,2064.57
negbin_r40_p0p2_L6_c1_2_test,2085.43,2079.28,2080.26,2085.1,2158.29,2086.95,5263.16,2095.61
negbin_r40_p0p1_L6_c1_2_train,4482.76,4494.2,4494.13,4473.71,4607.81,4430.52,11532.31,4494.2
negbin_r40_p0p1_L6_c1_2_test,4450.21,4456.22,4457.53,4432.61,4618.21,4405.12,11564.66,4443.72
negbin_r20_p0p8_L6_c1_2_train,175.14,175.67,175.87,175.25,176.74,192.71,268.68,176.2
negbin_r20_p0p8_L6_c1_2_test,178.65,178.79,178.86,178.58,179.58,195.89,266.55,180.42
negbin_r20_p0p6_L6_c1_2_train,342.34,342.78,340.59,342.28,350.03,388.23,591.24,342.78
negbin_r20_p0p6_L6_c1_2_test,343.59,345.34,344.58,343.74,350.17,387.92,589.03,345.34
negbin_r20_p0p4_L6_c1_2_train,627.78,630.63,630.8,628.94,644.04,649.64,1191.06,630.63
negbin_r20_p0p4_L6_c1_2_test,627.61,629.66,630.21,628.31,641.04,652.47,1197.03,629.66
negbin_r20_p0p3_L6_c1_2_train,902.47,917.03,900.53,900.76,918.2,916.21,1796.88,905.17
negbin_r20_p0p3_L6_c1_2_test,909.41,929.81,910.45,911.49,928.03,929.68,1807.92,913.28
negbin_r20_p0p2_L6_c1_2_train,1475.01,1475.27,1482.15,1475.38,1509.83,1474.74,3005.05,1481.08
negbin_r20_p0p2_L6_c1_2_test,1456.49,1473.16,1471.3,1456.05,1482.12,1469.27,2997.63,1461.28
negbin_r20_p0p1_L6_c1_2_train,3101.61,3092.01,3090.61,3095.1,3182.65,3100.43,6574.57,3095.1
negbin_r20_p0p1_L6_c1_2_test,3073.34,3075.08,3075.14,3086.46,3166.83,3084.43,6550.38,3081.76
negbin_r2_p0p8_L6_c1_2_train,48.96,48.96,48.96,48.96,48.96,50.9,48.96,50.9
negbin_r2_p0p8_L6_c1_2_test,48.35,48.35,48.36,48.35,48.35,49.77,48.35,49.77
negbin_r2_p0p6_L6_c1_2_train,98.75,98.75,96.89,98.75,104.23,110.99,110.99,116.77
negbin_r2_p0p6_L6_c1_2_test,98.66,98.66,97.97,98.66,104.3,110.27,110.27,122.54
negbin_r2_p0p4_L6_c1_2_train,179.42,180.01,180.39,180.25,183.18,212.96,222.69,183.18
negbin_r2_p0p4_L6_c1_2_test,179.75,180.5,180.41,180.78,184.3,210.51,220.64,184.3
negbin_r2_p0p3_L6_c1_2_train,263.56,264,265.47,263.32,264.84,289.88,329,266.24
negbin_r2_p0p3_L6_c1_2_test,258.93,259.29,260.31,258.81,260.83,285.85,325.56,259.67
negbin_r2_p0p2_L6_c1_2_train,409.63,414.18,411.17,409.47,413.57,415.71,533.04,416.33
negbin_r2_p0p2_L6_c1_2_test,422.41,428.15,420.56,421.46,424.09,422.1,539.12,422.69
negbin_r2_p0p1_L6_c1_2_train,867.92,867.77,867.4,866.07,866.6,901.09,1157.12,874.16
negbin_r2_p0p1_L6_c1_2_test,888.72,892.24,890.5,887.02,890.5,918.57,1152.77,888.46
negbin_r10_p0p8_L6_c1_2_train,125.98,126.59,125.19,126.01,129.75,154.95,163.67,137.91
negbin_r10_p0p8_L6_c1_2_test,124.92,125.91,124.18,125.11,127.28,153.99,162.43,138.28
negbin_r10_p0p6_L6_c1_2_train,239.14,240.57,239.07,239.02,241.17,240.62,355.36,240.98
negbin_r10_p0p6_L6_c1_2_test,237.71,238.59,238.13,238,238.52,238.58,353.24,238.8
negbin_r10_p0p4_L6_c1_2_train,423.77,427.44,424.97,424.41,428.1,472.74,706.23,427.44
negbin_r10_p0p4_L6_c1_2_test,440.18,442.86,439.21,440.27,444.48,478.2,712.76,442.86
negbin_r10_p0p3_L6_c1_2_train,630,630.95,630.5,628.9,637.21,630.95,1062.05,635.01
negbin_r10_p0p3_L6_c1_2_test,638.49,639.6,639.57,637.73,647.03,639.09,1061.27,641.23
negbin_r10_p0p2_L6_c1_2_train,1025,1024.03,1024.46,1023.97,1043.1,1030.49,1760.11,1035.89
negbin_r10_p0p2_L6_c1_2_test,1005.18,1001.96,1002.62,1002.29,1021.66,1008.04,1751.96,1009.64
negbin_r10_p0p1_L6_c1_2_train,2154.79,2151.71,2151.89,2154.18,2203.87,2172.52,3881.07,2158.26
negbin_r10_p0p1_L6_c1_2_test,2160.22,2153.83,2155.36,2156.74,2178.21,2180.85,3833.16,2167.53
logn_mlog4_s1p3_L6_c1_2_train,9828.24,9856.07,9852.09,9830.94,9840.65,9878.1,13404.07,9891.6
logn_mlog4_s1p3_L6_c1_2_test,9397.57,9385.42,9377.72,9411.7,9411.08,9381.49,12511.97,9380.3
logn_mlog4_s1_L6_c1_2_train,5513.16,5517.67,5518.21,5513.58,5518.59,5528.47,6562.23,5524.46
logn_mlog4_s1_L6_c1_2_test,5632.15,5639.14,5639.5,5634.17,5648.96,5648.14,6688.31,5637.95
logn_mlog4_s0p7_L6_c1_2_train,3148.13,3143.53,3152.93,3146.58,3159.91,3150.83,4213.16,3151.98
logn_mlog4_s0p7_L6_c1_2_test,3216.11,3220.48,3219.05,3213.75,3229.91,3232.9,4264.64,3218.99
logn_mlog4_s0p5_L6_c1_2_train,2149.39,2150.22,2149.42,2147.15,2178.96,2154.9,3192.64,2149.78
logn_mlog4_s0p5_L6_c1_2_test,2144.26,2140.12,2138.45,2138.97,2189.43,2149.63,3188.02,2145.08
logn_mlog4_s0p3_L6_c1_2_train,1215.01,1213,1212.29,1213.84,1233.65,1213.52,2288.48,1219.19
logn_mlog4_s0p3_L6_c1_2_test,1223.06,1224.03,1221.79,1225.32,1245.08,1219.16,2291.52,1226.55
logn_mlog3p5_s1p3_L6_c1_2_train,6077.85,6075.67,6073.88,6073.3,6081.85,6074.74,7002.73,6111.59
logn_mlog3p5_s1p3_L6_c1_2_test,5762.97,5775.29,5776.56,5765.19,5776.28,5769.56,6538.46,5769.42
logn_mlog3p5_s1_L6_c1_2_train,3563.31,3568.73,3569.08,3562.05,3577.56,3568.74,4194.91,3569.66
