dataset,exponential_L6_c1_2,poisson_L6_c1_2,normal_std10_L6_c1_2,normal_std30_L6_c1_2,normal_std50_L6_c1_2,capped_base_stock,basestock,constant
zinb_pi0p7_r40_p0p8_L6_c1_2_test,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14
zinb_pi0p7_r40_p0p6_L6_c1_2_train,807.64,807.64,807.64,807.64,807.25,807.64,807.64,807.64
zinb_pi0p7_r40_p0p6_L6_c1_2_test,794.88,794.88,794.88,794.88,800.79,794.88,794.88,794.88
zinb_pi0p7_r40_p0p4_L6_c1_2_train,1859.16,1859.16,1859.16,1859.16,1859.16,1859.16,1859.16,1859.16
zinb_pi0p7_r40_p0p4_L6_c1_2_test,1795.19,1795.19,1795.19,1795.19,1795.19,1795.19,1795.19,1795.19
zinb_pi0p7_r40_p0p3_L6_c1_2_train,2752.18,2752.18,2752.18,2752.18,2752.18,2752.18,2752.18,2752.18
zinb_pi0p7_r40_p0p3_L6_c1_2_test,2826.31,2826.31,2826.31,2826.31,2826.31,2826.31,2826.31,2826.31
zinb_pi0p7_r40_p0p2_L6_c1_2_train,4839.7,4839.7,4839.7,4839.7,4839.7,4839.7,4917.98,4839.7
zinb_pi0p7_r40_p0p2_L6_c1_2_test,4758.6,4758.6,4758.6,4758.6,4758.6,4758.6,4817.84,4758.6
zinb_pi0p7_r40_p0p1_L6_c1_2_train,10677.38,10677.38,10677.38,10677.38,10677.38,10677.38,12798.3,10677.38
zinb_pi0p7_r40_p0p1_L6_c1_2_test,10851.14,10851.14,10851.14,10851.14,10851.14,10851.14,12801.8,10851.14
zinb_pi0p7_r20_p0p8_L6_c1_2_train,147,147,147,147,147,147,147,147
zinb_pi0p7_r20_p0p8_L6_c1_2_test,148.81,148.81,148.81,148.81,148.81,148.81,148.81,148.81
zinb_pi0p7_r20_p0p6_L6_c1_2_train,402.32,402.32,402.32,402.32,402.32,402.32,402.32,402.32
zinb_pi0p7_r20_p0p6_L6_c1_2_test,400.77,400.77,400.77,400.77,400.77,400.77,400.77,400.77
zinb_pi0p7_r20_p0p4_L6_c1_2_train,906.34,906.34,906.34,906.34,906.34,906.34,906.34,906.34
zinb_pi0p7_r20_p0p4_L6_c1_2_test,894.73,894.73,894.73,894.73,894.73,894.73,894.73,894.73
zinb_pi0p7_r20_p0p3_L6_c1_2_train,1374.52,1374.52,1374.52,1374.52,1374.52,1374.52,1374.52,1374.52
zinb_pi0p7_r20_p0p3_L6_c1_2_test,1397.45,1397.45,1397.45,1397.45,1397.45,1397.45,1397.45,1397.45
zinb_pi0p7_r20_p0p2_L6_c1_2_train,2377.52,2377.52,2377.52,2377.52,2377.52,2377.52,2377.52,2377.52
zinb_pi0p7_r20_p0p2_L6_c1_2_test,2423.47,2423.47,2423.47,2423.47,2423.47,2423.47,2423.47,2423.47
zinb_pi0p7_r20_p0p1_L6_c1_2_train,5584.66,5584.66,5584.66,5584.66,5584.66,5584.66,5756.6,5584.66
zinb_pi0p7_r20_p0p1_L6_c1_2_test,5425.11,5425.11,5425.11,5425.11,5425.11,5425.11,5548.33,5425.11
zinb_pi0p7_r2_p0p8_L6_c1_2_train,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2
zinb_pi0p7_r2_p0p8_L6_c1_2_test,15.42,15.42,15.42,15.42,15.42,15.42,15.42,15.42
zinb_pi0p7_r2_p0p6_L6_c1_2_train,40.22,40.22,40.22,40.22,40.22,40.22,40.22,40.22
zinb_pi0p7_r2_p0p6_L6_c1_2_test,39.71,39.71,39.71,39.71,39.71,39.71,39.71,39.71
zinb_pi0p7_r2_p0p4_L6_c1_2_train,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4
zinb_pi0p7_r2_p0p4_L6_c1_2_test,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29
zinb_pi0p7_r2_p0p3_L6_c1_2_train,134.02,134.02,134.02,134.02,134.02,134.02,134.02,134.02
zinb_pi0p7_r2_p0p3_L6_c1_2_test,141.24,141.24,141.24,141.24,141.24,141.24,141.24,141.24
zinb_pi0p7_r2_p0p2_L6_c1_2_train,244.44,244.44,244.44,244.44,244.44,244.44,244.44,244.44
zinb_pi0p7_r2_p0p2_L6_c1_2_test,236.41,236.41,236.41,236.41,236.41,236.41,236.41,236.41
zinb_pi0p7_r2_p0p1_L6_c1_2_train,565.88,565.88,565.88,565.88,565.88,565.88,565.88,565.88
zinb_pi0p7_r2_p0p1_L6_c1_2_test,542.49,542.49,542.49,542.49,542.49,542.49,542.49,542.49
zinb_pi0p7_r10_p0p8_L6_c1_2_train,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9
zinb_pi0p7_r10_p0p8_L6_c1_2_test,74.66,74.66,74.66,74.66,74.66,74.66,74.66,74.66
zinb_pi0p7_r10_p0p6_L6_c1_2_train,202.26,202.26,202.26,202.26,202.26,202.26,202.26,202.26
zinb_pi0p7_r10_p0p6_L6_c1_2_test,199.78,199.78,199.78,199.78,199.78,199.78,199.78,199.78
zinb_pi0p7_r10_p0p4_L6_c1_2_train,431.78,431.78,431.78,431.78,431.78,431.78,431.78,431.78
zinb_pi0p7_r10_p0p4_L6_c1_2_test,448.01,448.01,448.01,448.01,448.01,448.01,448.01,448.01
zinb_pi0p7_r10_p0p3_L6_c1_2_train,704.42,704.42,704.42,704.42,704.42,704.42,704.42,704.42
zinb_pi0p7_r10_p0p3_L6_c1_2_test,706.96,706.96,706.96,706.96,706.96,706.96,706.96,706.96
zinb_pi0p7_r10_p0p2_L6_c1_2_train,1199.66,1199.66,1199.66,1199.66,1199.66,1199.66,1199.66,1199.66
zinb_pi0p7_r10_p0p2_L6_c1_2_test,1186.44,1186.44,1186.44,1186.44,1186.44,1186.44,1186.44,1186.44
zinb_pi0p7_r10_p0p1_L6_c1_2_train,2611.64,2611.64,2611.64,2611.64,2611.64,2611.64,2611.64,2611.64
zinb_pi0p7_r10_p0p1_L6_c1_2_test,2702.46,2702.46,2702.46,2702.46,2702.46,2702.46,2702.46,2702.46
zinb_pi0p5_r5_p0p8_L6_c1_2_train,59.68,59.68,59.68,59.68,59.68,59.68,59.68,59.68
zinb_pi0p5_r5_p0p8_L6_c1_2_test,62.56,62.56,62.56,62.56,62.56,62.56,62.47,62.56
zinb_pi0p5_r5_p0p6_L6_c1_2_train,148.91,149.21,146.69,146.08,149.43,152.3,151.39,160.46
zinb_pi0p5_r5_p0p6_L6_c1_2_test,153.14,153.38,151.17,151.76,154.06,158.12,157.47,165.84
zinb_pi0p5_r5_p0p4_L6_c1_2_train,327.52,330.14,328.89,326.94,327.55,337.75,343.15,333.41
zinb_pi0p5_r5_p0p4_L6_c1_2_test,324.85,327.75,325.23,323.88,324.86,338.69,343.6,331.51
zinb_pi0p5_r5_p0p3_L6_c1_2_train,484.44,488.19,484.8,484.6,485.48,499.3,522.13,488.33
zinb_pi0p5_r5_p0p3_L6_c1_2_test,498.58,501.8,499.31,498.5,499.39,513.41,533.16,502.47
zinb_pi0p5_r5_p0p2_L6_c1_2_train,840.53,843.91,842.24,841.21,842.14,844.25,901.12,844.16
zinb_pi0p5_r5_p0p2_L6_c1_2_test,851.5,853.62,852.87,852.38,853.54,854.89,910.66,854.2
zinb_pi0p5_r5_p0p1_L6_c1_2_train,1883.51,1891.64,1891.74,1883.7,1890.26,1891.62,2018.93,1898.11
zinb_pi0p5_r5_p0p1_L6_c1_2_test,1884.07,1887.15,1887.77,1885.59,1888.48,1887.14,2024.39,1887.64
zinb_pi0p5_r40_p0p8_L6_c1_2_train,411.66,416.89,411.26,410.71,410.92,431.14,454.46,416.89
zinb_pi0p5_r40_p0p8_L6_c1_2_test,413.75,417.75,414.73,413.72,414.91,426.53,446.1,417.84
zinb_pi0p5_r40_p0p6_L6_c1_2_train,1061.79,1064.02,1063.49,1061.89,1062.86,1087.85,1165.93,1070.12
zinb_pi0p5_r40_p0p6_L6_c1_2_test,1069.72,1071.91,1071.88,1070.18,1074.1,1088.59,1165.1,1078.69
zinb_pi0p5_r40_p0p4_L6_c1_2_train,2413.31,2419.39,2419.77,2413.26,2414.02,2428.3,2652.02,2427.88
zinb_pi0p5_r40_p0p4_L6_c1_2_test,2413.82,2419.22,2419.89,2414.97,2421.58,2420.73,2635.75,2425.87
zinb_pi0p5_r40_p0p3_L6_c1_2_train,3669.07,3688.65,3688.53,3669.06,3681.7,3685.19,4028.3,3701.15
zinb_pi0p5_r40_p0p3_L6_c1_2_test,3713.57,3733.27,3722.85,3713.73,3723.7,3735.84,4068.26,3735.17
zinb_pi0p5_r40_p0p2_L6_c1_2_train,6381.52,6391.93,6391.81,6370.02,6423.69,6394.1,7126.89,6391.93
zinb_pi0p5_r40_p0p2_L6_c1_2_test,6355.85,6407.66,6405.62,6363.77,6377.55,6368.33,6938.87,6389.62
zinb_pi0p5_r40_p0p1_L6_c1_2_train,14519.01,14485.88,14486.45,14507.89,14525.46,14485.8,17415.87,14540.96
zinb_pi0p5_r40_p0p1_L6_c1_2_test,14343.66,14366.24,14364.85,14338.04,14390.22,14351.1,17336.41,14384.77
zinb_pi0p5_r20_p0p8_L6_c1_2_train,216.42,217.34,217.27,217.03,217.03,229.63,231.06,217.84
zinb_pi0p5_r20_p0p8_L6_c1_2_test,213.7,214.27,215.06,213.95,213.95,226.94,228.31,214.48
zinb_pi0p5_r20_p0p6_L6_c1_2_train,545.45,549.69,548.47,544.92,544.9,553.84,589.86,549.75
zinb_pi0p5_r20_p0p6_L6_c1_2_test,555.28,557.52,555.61,556.93,556.41,562.5,599.63,557.53
zinb_pi0p5_r20_p0p4_L6_c1_2_train,1209.69,1212.15,1209.94,1209.42,1213.83,1233.05,1311.56,1213.92
zinb_pi0p5_r20_p0p4_L6_c1_2_test,1221.59,1223.77,1222.46,1221.61,1224.05,1230.58,1325.61,1227.19
zinb_pi0p5_r20_p0p3_L6_c1_2_train,1875.17,1883.2,1883.7,1876.86,1884.47,1902.64,2054.05,1893.99
zinb_pi0p5_r20_p0p3_L6_c1_2_test,1887.07,1885.19,1885.18,1884.79,1893.1,1903.08,2049.81,1894.15
zinb_pi0p5_r20_p0p2_L6_c1_2_train,3241.01,3251.16,3250.73,3239.72,3246.85,3252.91,3509.34,3251.16
zinb_pi0p5_r20_p0p2_L6_c1_2_test,3231.44,3255.68,3253.42,3229.75,3243.5,3236.16,3505.65,3252.63
zinb_pi0p5_r20_p0p1_L6_c1_2_train,7301.42,7334.13,7334,7273.59,7318.32,7336.08,8112.54,7348.09
zinb_pi0p5_r20_p0p1_L6_c1_2_test,7301.26,7307.76,7309.41,7302.72,7330.32,7303.66,7958.04,7341.98
zinb_pi0p5_r2_p0p8_L6_c1_2_train,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
zinb_pi0p5_r2_p0p8_L6_c1_2_test,24.41,24.41,24.41,24.41,24.41,24.41,24.41,24.41
zinb_pi0p5_r2_p0p6_L6_c1_2_train,68.6,68.7,68.6,68.6,68.7,68.7,68.6,68.7
zinb_pi0p5_r2_p0p6_L6_c1_2_test,67.8,67.33,67.76,67.8,67.33,67.33,67.33,67.33
zinb_pi0p5_r2_p0p4_L6_c1_2_train,143.22,143.22,141.89,140.98,148.48,144.57,144.57,148.48
zinb_pi0p5_r2_p0p4_L6_c1_2_test,142.97,142.97,141.66,141.62,149.1,144.36,144.36,149.1
zinb_pi0p5_r2_p0p3_L6_c1_2_train,215.45,215.76,213.99,215.46,216.83,222.21,222.03,222.91
zinb_pi0p5_r2_p0p3_L6_c1_2_test,218.25,217.72,217.05,218.72,219.84,223.9,223.69,224.65
zinb_pi0p5_r2_p0p2_L6_c1_2_train,361.14,363.12,361.22,361.03,361.28,374.85,378.45,363.12
zinb_pi0p5_r2_p0p2_L6_c1_2_test,363.25,365.41,363.74,363.13,363.59,375.5,378.95,365.41
zinb_pi0p5_r2_p0p1_L6_c1_2_train,817.02,817.48,817.21,816.76,818.63,826.82,857.11,820.37
zinb_pi0p5_r2_p0p1_L6_c1_2_test,815.61,816.87,816.98,815.99,816.96,825.55,855.36,817.34
zinb_pi0p5_r10_p0p8_L6_c1_2_train,114.46,114.46,111.11,111.08,114.7,116.86,116.86,123.58
zinb_pi0p5_r10_p0p8_L6_c1_2_test,116.76,116.76,115.86,116.41,116.9,118.67,118.67,124.98
zinb_pi0p5_r10_p0p6_L6_c1_2_train,287.34,290.18,287.03,286.84,288.58,303.22,306.81,292.23
zinb_pi0p5_r10_p0p6_L6_c1_2_test,287.33,289.17,287.13,286.7,287.89,301.95,305.79,292.95
zinb_pi0p5_r10_p0p4_L6_c1_2_train,637.29,639.82,639.02,636.6,637.8,645.48,672.98,640.19
zinb_pi0p5_r10_p0p4_L6_c1_2_test,621.78,624.38,621.34,620.84,621.9,626.26,668.52,624.42
zinb_pi0p5_r10_p0p3_L6_c1_2_train,961.4,964.97,965.03,961.07,963.64,970.89,1036.64,966.6
zinb_pi0p5_r10_p0p3_L6_c1_2_test,962.93,965.01,966.2,963.35,965.98,968.8,1041.88,969.85
zinb_pi0p5_r10_p0p2_L6_c1_2_train,1657.91,1656.9,1658.5,1657.68,1660.95,1658.37,1838.09,1658.54
zinb_pi0p5_r10_p0p2_L6_c1_2_test,1652.29,1652.66,1653.43,1652.17,1656.41,1651.25,1793.16,1653.56
zinb_pi0p5_r10_p0p1_L6_c1_2_train,3689.88,3678.68,3678.42,3691.21,3688.37,3680.12,3944.1,3727.89
zinb_pi0p5_r10_p0p1_L6_c1_2_test,3670.63,3678.45,3680.28,3685.98,3682.48,3672.21,3977.38,3677.97
zinb_pi0p3_r5_p0p8_L6_c1_2_train,79.47,79.47,77.05,76.08,79.47,80.59,80.59,87.72
zinb_pi0p3_r5_p0p8_L6_c1_2_test,79.49,79.49,77.42,77.1,79.49,80.97,80.97,87.76
zinb_pi0p3_r5_p0p6_L6_c1_2_train,172.71,173.75,171.59,172.22,173.14,194.28,196.03,173.94
zinb_pi0p3_r5_p0p6_L6_c1_2_test,172.36,174.26,171.94,171.55,173.02,192.66,195.41,173.71
zinb_pi0p3_r5_p0p4_L6_c1_2_train,355.45,357.38,356.31,356.1,356.8,372.55,417.22,357.82
zinb_pi0p3_r5_p0p4_L6_c1_2_test,356.95,356.43,358.41,356.7,357.31,377.52,419.59,356.53
zinb_pi0p3_r5_p0p3_L6_c1_2_train,533.38,534.91,534.82,533.6,536.93,534.91,631.88,543.48
zinb_pi0p3_r5_p0p3_L6_c1_2_test,535.23,535.55,536.26,535.3,537.05,535.55,633.67,542.04
zinb_pi0p3_r5_p0p2_L6_c1_2_train,922.87,929.83,929.86,922.71,926.05,938.22,1110.96,942.18
zinb_pi0p3_r5_p0p2_L6_c1_2_test,900.45,900.1,899.65,900.28,906.11,910.14,1083.35,907.58
zinb_pi0p3_r5_p0p1_L6_c1_2_train,1956.17,1962.34,1962.16,1955.43,1972,1962.34,2428.98,1962.34
zinb_pi0p3_r5_p0p1_L6_c1_2_test,1983.46,1995.38,1999.91,1981.16,1990.92,1982.11,2409.44,1991.45
zinb_pi0p3_r40_p0p8_L6_c1_2_train,416.88,420.58,418.86,416.35,420.05,420.58,515.3,427.4
zinb_pi0p3_r40_p0p8_L6_c1_2_test,426.44,427.37,426.62,425.14,427.31,427.11,524.19,435.24
zinb_pi0p3_r40_p0p6_L6_c1_2_train,1077.17,1077.7,1078.16,1080.6,1082.62,1093.96,1338.37,1101.04
zinb_pi0p3_r40_p0p6_L6_c1_2_test,1065.81,1068.54,1069.83,1066.28,1075.34,1076.39,1331.48,1078
zinb_pi0p3_r40_p0p4_L6_c1_2_train,2393.61,2392.23,2389.9,2394.47,2412.85,2388.66,3025.46,2421.88
zinb_pi0p3_r40_p0p4_L6_c1_2_test,2376.87,2382.44,2380.54,2379.09,2392.88,2377.08,2981.97,2409.25
zinb_pi0p3_r40_p0p3_L6_c1_2_train,3561.75,3570.08,3568.43,3559.41,3582.27,3578.19,4571.7,3585.16
zinb_pi0p3_r40_p0p3_L6_c1_2_test,3629.28,3631.78,3637.28,3626.08,3654.9,3639.74,4576.48,3651.38
