"LLM","problem","n_train","n_horizon","order_option","external_opt","iter_opt","param_loc","n_pop","mode","data_summary","algo_performance","demand_mean","dist","n_node","option","repeat_9","repeat_10","repeat_1","repeat_2","repeat_3","repeat_4","repeat_5","repeat_6","repeat_7","repeat_8"
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"train","plain","processed",80,"cost2_4_lt1_0","","","","","5766.20","5766.20","5766.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"test","plain","processed",80,"cost2_4_lt1_0","","","","","5769.16","5769.16","5769.16","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"train","plain","no",80,"cost2_4_lt2_0","","","","","10605.28","9923.28","13568.40","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"test","plain","no",80,"cost2_4_lt2_0","","","","","10606.08","9924.12","13568.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"train","plain","no",80,"cost2_4_lt2_0","","","","","9799.28","8931.40","10605.28","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"test","plain","no",80,"cost2_4_lt2_0","","","","","9800.12","8932.31","10606.08","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"train","plain","no",80,"cost2_4_lt2_0","","","","","8129.08","8931.40","9365.28","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"test","plain","no",80,"cost2_4_lt2_0","","","","","8129.72","8932.31","9366.16","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"train","plain","no",80,"cost2_4_lt2_0","","","","","7219.76","8931.40","8129.08","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"test","plain","no",80,"cost2_4_lt2_0","","","","","7221.83","8932.31","8129.72","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"train","plain","no",80,"cost2_4_lt2_0","","","","","4822.08","8931.40","6919.64","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"test","plain","no",80,"cost2_4_lt2_0","","","","","4823.71","8932.31","6921.76","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"train","plain","processed",80,"cost2_4_lt2_0","","","","","3664.68","14720.40","14720.40","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"test","plain","processed",80,"cost2_4_lt2_0","","","","","3676.18","14720.20","14720.20","","","","",""
