policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,beta_a0p921875_b2p76562_M500_L4_p10,train,15894.52,15256.151,16519.9445,ok_expanded,15894.52,"{""base_stock"": 0.2843132040793292, ""safety_stock"": 0.07379694873342613, ""pipeline_weight"": 1.0, ""smoothing_factor"": 0.2235934925721279, ""lost_sales_weight"": 4.688026757993129, ""demand_buffer"": 856.8779901249322, ""min_order_threshold"": 29.090625686837907}",
exponential_L6_c1_2,beta_a0p921875_b2p76562_M500_L4_p10,test,16349.058,16132.991250000001,16548.785875,ok_expanded,15894.52,"{""base_stock"": 0.2843132040793292, ""safety_stock"": 0.07379694873342613, ""pipeline_weight"": 1.0, ""smoothing_factor"": 0.2235934925721279, ""lost_sales_weight"": 4.688026757993129, ""demand_buffer"": 856.8779901249322, ""min_order_threshold"": 29.090625686837907}",
normal_std30_L6_c1_2,beta_a0p921875_b2p76562_M500_L4_p10,train,15873.55,15227.108,16522.08025,ok_expanded,15873.55,"{""base_stock"": 1193.2508376463477, ""safety_stock"": 0.0035144496663151105, ""pipeline_weight"": 0.9110757799396889, ""demand_forecast"": 6.390062388401015e-05, ""smoothing_factor"": 0.17647788728219752, ""forecast_weight"": 0.7267620564366193, ""adjustment_factor"": 0.1258247219584874, ""pipeline_discount"": 0.7222385721147999, ""min_order"": 4.991034242115392}",
normal_std30_L6_c1_2,beta_a0p921875_b2p76562_M500_L4_p10,test,16356.713,16134.6112,16559.1883,ok_expanded,15873.55,"{""base_stock"": 1193.2508376463477, ""safety_stock"": 0.0035144496663151105, ""pipeline_weight"": 0.9110757799396889, ""demand_forecast"": 6.390062388401015e-05, ""smoothing_factor"": 0.17647788728219752, ""forecast_weight"": 0.7267620564366193, ""adjustment_factor"": 0.1258247219584874, ""pipeline_discount"": 0.7222385721147999, ""min_order"": 4.991034242115392}",
poisson_L6_c1_2,beta_a0p921875_b2p76562_M500_L4_p10,train,15803.86,15113.87975,16436.99525,ok_expanded,15803.86,"{""safety_stock"": 5.487774375391123e-06, ""demand_estimate"": 278.79696402118526, ""max_order"": 134.80148516969436}",
poisson_L6_c1_2,beta_a0p921875_b2p76562_M500_L4_p10,test,16398.763,16166.412625,16590.25055,ok_expanded,15803.86,"{""safety_stock"": 5.487774375391123e-06, ""demand_estimate"": 278.79696402118526, ""max_order"": 134.80148516969436}",
exponential_L6_c1_2,beta_a116p938_b350p812_M500_L4_p10,train,1781.03,1678.40875,1869.69875,ok_expanded,1781.03,"{""base_stock"": 3468.8516137382812, ""safety_stock"": 181.69315580615114, ""pipeline_weight"": 0.6084223869760361, ""smoothing_factor"": 0.03784269991928102, ""lost_sales_weight"": 5.13607819022573, ""demand_buffer"": 0.1939938129858698, ""min_order_threshold"": 154.69288008514724}",
exponential_L6_c1_2,beta_a116p938_b350p812_M500_L4_p10,test,1794.686,1769.674,1820.2426500000001,ok_expanded,1781.03,"{""base_stock"": 3468.8516137382812, ""safety_stock"": 181.69315580615114, ""pipeline_weight"": 0.6084223869760361, ""smoothing_factor"": 0.03784269991928102, ""lost_sales_weight"": 5.13607819022573, ""demand_buffer"": 0.1939938129858698, ""min_order_threshold"": 154.69288008514724}",
normal_std30_L6_c1_2,beta_a116p938_b350p812_M500_L4_p10,train,1710.57,1628.93325,1781.4185,ok_expanded,1710.57,"{""base_stock"": 949.6109348847949, ""safety_stock"": 0.0004227021286670952, ""pipeline_weight"": 0.37672494398100115, ""demand_forecast"": 72.8929462984997, ""smoothing_factor"": 0.07234495612038001, ""forecast_weight"": 0.9127625603897747, ""adjustment_factor"": 0.3877292452172485, ""pipeline_discount"": 0.9, ""min_order"": 0.0008920837838286746}",
normal_std30_L6_c1_2,beta_a116p938_b350p812_M500_L4_p10,test,1709.166,1688.3355,1730.80905,ok_expanded,1710.57,"{""base_stock"": 949.6109348847949, ""safety_stock"": 0.0004227021286670952, ""pipeline_weight"": 0.37672494398100115, ""demand_forecast"": 72.8929462984997, ""smoothing_factor"": 0.07234495612038001, ""forecast_weight"": 0.9127625603897747, ""adjustment_factor"": 0.3877292452172485, ""pipeline_discount"": 0.9, ""min_order"": 0.0008920837838286746}",
