dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a8p68889_b34p7556_M500_L6_p6_train.json,beta_a8p68889_b34p7556_M500_L6_c1_2_train.json,6,1,6.0,100,50,99.6358,690,6205.53,92,4233.8
beta_a8p68889_b34p7556_M500_L6_p6_test.json,beta_a8p68889_b34p7556_M500_L6_c1_2_test.json,6,1,6.0,1000,50,99.9929,690,6233.84,92,4294.782
binom_n1000000_p6_L6_p6_train.json,binom_n1000000_p0p0001_L6_c1_2_train.json,6,1,6.0,100,50,100.2514,700,3478.92,98,1432.94
binom_n1000000_p6_L6_p6_test.json,binom_n1000000_p0p0001_L6_c1_2_test.json,6,1,6.0,1000,50,99.9682,700,3476.166,98,1431.473
binom_n1250000_p6_L6_p6_train.json,binom_n1250000_p0p0001_L6_c1_2_train.json,6,1,6.0,100,50,124.8618,872,4175.86,122,1610.13
binom_n1250000_p6_L6_p6_test.json,binom_n1250000_p0p0001_L6_c1_2_test.json,6,1,6.0,1000,50,125.0043,872,4167.725,122,1611.453
binom_n1500000_p6_L6_p6_train.json,binom_n1500000_p0p0001_L6_c1_2_train.json,6,1,6.0,100,50,149.849,1049,4805.82,147,1667.2
binom_n1500000_p6_L6_p6_test.json,binom_n1500000_p0p0001_L6_c1_2_test.json,6,1,6.0,1000,50,150.10878,1049,4840.923,147,1745.669
binom_n450_p6_L6_p6_train.json,binom_n450_p0p333333_L6_c1_2_train.json,6,1,6.0,100,50,149.9906,1049,4511.1,148,1445.2
binom_n450_p6_L6_p6_test.json,binom_n450_p0p333333_L6_c1_2_test.json,6,1,6.0,1000,50,149.97174,1049,4527.148,148,1425.213
binom_n500000_p6_L6_p6_train.json,binom_n500000_p0p0001_L6_c1_2_train.json,6,1,6.0,100,50,50.1034,351,2008.98,49,1027.17
binom_n500000_p6_L6_p6_test.json,binom_n500000_p0p0001_L6_c1_2_test.json,6,1,6.0,1000,50,50.08018,351,2027.86,49,1028.205
binom_n625_p6_L6_p6_train.json,binom_n625_p0p2_L6_c1_2_train.json,6,1,6.0,100,50,124.9616,875,4044.18,123,1469.35
binom_n625_p6_L6_p6_test.json,binom_n625_p0p2_L6_c1_2_test.json,6,1,6.0,1000,50,124.91102,875,4003.068,123,1454.095
binom_n750000_p6_L6_p6_train.json,binom_n750000_p0p0001_L6_c1_2_train.json,6,1,6.0,100,50,74.9924,523,2761.94,73,1188.55
binom_n750000_p6_L6_p6_test.json,binom_n750000_p0p0001_L6_c1_2_test.json,6,1,6.0,1000,50,75.0028,523,2768.405,73,1237.842
cunif_a0_b100_L6_p6_train.json,cunif_a0_b100_L6_c1_2_train.json,6,1,6.0,100,50,49.4352,347,5028.13,43,4084.83
cunif_a0_b100_L6_p6_test.json,cunif_a0_b100_L6_c1_2_test.json,6,1,6.0,1000,50,49.94864,347,5093.67,43,4194.153
cunif_a0_b150_L6_p6_train.json,cunif_a0_b150_L6_c1_2_train.json,6,1,6.0,100,50,76.1294,531,7638.84,66,6332.2
cunif_a0_b150_L6_p6_test.json,cunif_a0_b150_L6_c1_2_test.json,6,1,6.0,1000,50,74.99802,531,7690.901,66,6414.11
cunif_a0_b200_L6_p6_train.json,cunif_a0_b200_L6_c1_2_train.json,6,1,6.0,100,50,99.721,695,10270.67,86,8666.78
cunif_a0_b200_L6_p6_test.json,cunif_a0_b200_L6_c1_2_test.json,6,1,6.0,1000,50,100.08482,695,10239.65,86,8446.556
cunif_a0_b250_L6_p6_train.json,cunif_a0_b250_L6_c1_2_train.json,6,1,6.0,100,50,125.1056,870,12736.89,108,10260.28
cunif_a0_b250_L6_p6_test.json,cunif_a0_b250_L6_c1_2_test.json,6,1,6.0,1000,50,124.55894,870,12820.564,108,10447.973
cunif_a0_b300_L6_p6_train.json,cunif_a0_b300_L6_c1_2_train.json,6,1,6.0,100,50,150.349,1051,15283.35,132,12334.96
cunif_a0_b300_L6_p6_test.json,cunif_a0_b300_L6_c1_2_test.json,6,1,6.0,1000,50,149.80342,1051,15350.675,132,12799.725
cunif_a107p679_b142p321_L6_p6_train.json,cunif_a107p679_b142p321_L6_c1_2_train.json,6,1,6.0,100,50,125.1956,877,4027.52,123,1442.71
cunif_a107p679_b142p321_L6_p6_test.json,cunif_a107p679_b142p321_L6_c1_2_test.json,6,1,6.0,1000,50,124.9973,877,4035.159,123,1476.281
cunif_a115p359_b184p641_L6_p6_train.json,cunif_a115p359_b184p641_L6_c1_2_train.json,6,1,6.0,100,50,150.0418,1050,5949.2,145,2930.23
cunif_a115p359_b184p641_L6_p6_test.json,cunif_a115p359_b184p641_L6_c1_2_test.json,6,1,6.0,1000,50,150.0693,1050,5969.981,145,2937.875
cunif_a132p679_b167p321_L6_p6_train.json,cunif_a132p679_b167p321_L6_c1_2_train.json,6,1,6.0,100,50,150.22,1050,4574.89,148,1474.34
cunif_a132p679_b167p321_L6_p6_test.json,cunif_a132p679_b167p321_L6_c1_2_test.json,6,1,6.0,1000,50,150.02196,1050,4564.491,148,1477.96
cunif_a13p3975_b186p603_L6_p6_train.json,cunif_a13p3975_b186p603_L6_c1_2_train.json,6,1,6.0,100,50,99.999,690,9209.12,89,7379.71
cunif_a13p3975_b186p603_L6_p6_test.json,cunif_a13p3975_b186p603_L6_c1_2_test.json,6,1,6.0,1000,50,99.73206,690,9096.397,89,7346.209
cunif_a15p359_b84p641_L6_p6_train.json,cunif_a15p359_b84p641_L6_c1_2_train.json,6,1,6.0,100,50,50.0148,348,3810.22,46,2899.43
cunif_a15p359_b84p641_L6_p6_test.json,cunif_a15p359_b84p641_L6_c1_2_test.json,6,1,6.0,1000,50,49.87772,348,3854.936,46,2965.158
cunif_a23p0385_b126p962_L6_p6_train.json,cunif_a23p0385_b126p962_L6_c1_2_train.json,6,1,6.0,100,50,74.0932,515,5783.8,67,4363.28
cunif_a23p0385_b126p962_L6_p6_test.json,cunif_a23p0385_b126p962_L6_c1_2_test.json,6,1,6.0,1000,50,74.90414,515,5763.163,67,4372.395
cunif_a32p6795_b67p3205_L6_p6_train.json,cunif_a32p6795_b67p3205_L6_c1_2_train.json,6,1,6.0,100,50,50.1584,351,2457.71,48,1454.43
cunif_a32p6795_b67p3205_L6_p6_test.json,cunif_a32p6795_b67p3205_L6_c1_2_test.json,6,1,6.0,1000,50,50.0261,351,2448.836,48,1465.83
cunif_a38p3975_b211p603_L6_p6_train.json,cunif_a38p3975_b211p603_L6_c1_2_train.json,6,1,6.0,100,50,124.42,871,9520.53,113,7081.55
cunif_a38p3975_b211p603_L6_p6_test.json,cunif_a38p3975_b211p603_L6_c1_2_test.json,6,1,6.0,1000,50,124.9336,871,9613.015,113,7371.776
cunif_a40p359_b109p641_L6_p6_train.json,cunif_a40p359_b109p641_L6_c1_2_train.json,6,1,6.0,100,50,75.3066,528,4438.71,71,2993.72
cunif_a40p359_b109p641_L6_p6_test.json,cunif_a40p359_b109p641_L6_c1_2_test.json,6,1,6.0,1000,50,75.21752,528,4392.526,71,2954.929
cunif_a48p0385_b151p962_L6_p6_train.json,cunif_a48p0385_b151p962_L6_c1_2_train.json,6,1,6.0,100,50,100.0364,701,6260.56,93,4297.7
cunif_a48p0385_b151p962_L6_p6_test.json,cunif_a48p0385_b151p962_L6_c1_2_test.json,6,1,6.0,1000,50,99.95324,701,6315.563,93,4364.444
cunif_a57p6795_b92p3205_L6_p6_train.json,cunif_a57p6795_b92p3205_L6_c1_2_train.json,6,1,6.0,100,50,74.9206,524,3001.21,72,1483.92
cunif_a57p6795_b92p3205_L6_p6_test.json,cunif_a57p6795_b92p3205_L6_c1_2_test.json,6,1,6.0,1000,50,74.9954,524,2975.903,72,1483.66
cunif_a63p3975_b236p603_L6_p6_train.json,cunif_a63p3975_b236p603_L6_c1_2_train.json,6,1,6.0,100,50,149.4066,1036,10073.55,138,7219.14
cunif_a63p3975_b236p603_L6_p6_test.json,cunif_a63p3975_b236p603_L6_c1_2_test.json,6,1,6.0,1000,50,150.15398,1036,10124.57,138,7242.619
cunif_a65p359_b134p641_L6_p6_train.json,cunif_a65p359_b134p641_L6_c1_2_train.json,6,1,6.0,100,50,100.0478,696,4964.54,95,2959.26
cunif_a65p359_b134p641_L6_p6_test.json,cunif_a65p359_b134p641_L6_c1_2_test.json,6,1,6.0,1000,50,100.0045,696,4925.009,95,2926.543
