dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
gamma_k6p25_th8_L6_p2_train,1391.17,1387.12,1385.88
gamma_k6p25_th8_L6_p2_test,1419.082,1419.774,1417.161
gamma_k9_th16p6667_L6_p2_train,3516.11,3510.83,3521.71
gamma_k9_th16p6667_L6_p2_test,3590.527,3593.232,3596.571
geom_p0p00662252_L6_p2_train,9120.22,9117.65,9124.09
geom_p0p00662252_L6_p2_test,9209.364,9207.926,9218.146
geom_p0p00793651_L6_p2_train,7403.02,7407.78,7427.91
geom_p0p00793651_L6_p2_test,7719.44,7729.257,7742.736
geom_p0p00990099_L6_p2_train,6278.48,6287.62,6320.27
geom_p0p00990099_L6_p2_test,6238.07,6228.186,6237.934
geom_p0p0131579_L6_p2_train,4555.02,4538.49,4563.13
geom_p0p0131579_L6_p2_test,4601.448,4599.231,4614.248
geom_p0p0196078_L6_p2_train,3029.93,3023.55,3031.22
geom_p0p0196078_L6_p2_test,3111.956,3104.518,3112.764
logn_mlog3p1073_s1p26864_L6_p2_train,3679.03,3675.75,3673.58
logn_mlog3p1073_s1p26864_L6_p2_test,3733.88,3733.659,3737.665
logn_mlog3p56545_s0p832555_L6_p2_train,2657.84,2655.12,2672.42
logn_mlog3p56545_s0p832555_L6_p2_test,2693.799,2695.204,2692.957
logn_mlog3p75828_s0p554513_L6_p2_train,1899.91,1898.55,1903.03
logn_mlog3p75828_s0p554513_L6_p2_test,1886.502,1887.798,1891.213
logn_mlog3p80666_s1p01077_L6_p2_train,4869.56,4860.88,4882.58
logn_mlog3p80666_s1p01077_L6_p2_test,4704.745,4709.736,4714.248
logn_mlog3p83781_s0p385253_L6_p2_train,1356.57,1353.26,1350.97
logn_mlog3p83781_s0p385253_L6_p2_test,1352.656,1344.582,1346.57
logn_mlog3p89241_s0p198042_L6_p2_train,714.49,715.48,715.91
logn_mlog3p89241_s0p198042_L6_p2_test,719.644,719.647,724.861
logn_mlog4p13363_s0p606403_L6_p2_train,3151.25,3148.47,3168.8
logn_mlog4p13363_s0p606403_L6_p2_test,3028.967,3037.134,3027.878
logn_mlog4p24328_s0p385253_L6_p2_train,2011.05,2011.29,2014.19
logn_mlog4p24328_s0p385253_L6_p2_test,2020.037,2022.245,2015.82
logn_mlog4p2586_s0p832555_L6_p2_train,5565.16,5550.97,5564.54
logn_mlog4p2586_s0p832555_L6_p2_test,5361.212,5356.502,5362.301
logn_mlog4p28314_s0p2621_L6_p2_train,1423.83,1424.34,1424.37
logn_mlog4p28314_s0p2621_L6_p2_test,1407.958,1408.354,1410.167
logn_mlog4p30868_s0p132746_L6_p2_train,714.31,714.88,717.18
logn_mlog4p30868_s0p132746_L6_p2_test,734.429,733.177,741.364
logn_mlog4p4936_s0p472381_L6_p2_train,3226.37,3225.51,3221.09
logn_mlog4p4936_s0p472381_L6_p2_test,3235.355,3240.52,3240.074
logn_mlog4p56208_s0p29356_L6_p2_train,2099.58,2100.55,2106.44
logn_mlog4p56208_s0p29356_L6_p2_test,2101.369,2102.287,2103.764
logn_mlog4p58097_s0p703346_L6_p2_train,5808.52,5767.42,5779.88
logn_mlog4p58097_s0p703346_L6_p2_test,5821.016,5831.006,5862.967
logn_mlog4p58556_s0p198042_L6_p2_train,1480.71,1478.43,1505.82
logn_mlog4p58556_s0p198042_L6_p2_test,1440.886,1443.773,1448.822
logn_mlog4p6002_s0p0997513_L6_p2_train,726.3,726.46,724.92
logn_mlog4p6002_s0p0997513_L6_p2_test,736.296,737.836,731.18
logn_mlog4p7541_s0p385253_L6_p2_train,3419.99,3423.59,3425.94
logn_mlog4p7541_s0p385253_L6_p2_test,3400.668,3404.834,3410.916
logn_mlog4p80031_s0p236648_L6_p2_train,2114.14,2113.22,2113.13
logn_mlog4p80031_s0p236648_L6_p2_test,2154.482,2147.511,2138.792
logn_mlog4p81567_s0p15899_L6_p2_train,1495.59,1480.82,1492.2
