dataset,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p5_b2_M500_L2_c1_2_train.json,2,1,2,100,50,98.1354,186,7316.02,50,6930.0
beta_a0p5_b2_M50_L2_c1_2_train.json,2,1,2,100,50,10.2636,21,741.4,5,726.26
beta_a0p5_b5_M100_L2_c1_2_train.json,2,1,2,100,50,8.8364,15,690.59,4,664.55
beta_a0p5_b5_M200_L2_c1_2_train.json,2,1,2,100,50,18.2574,31,1417.44,8,1368.64
beta_a0p5_b5_M20_L2_c1_2_train.json,2,1,2,100,50,1.812,3,143.92,1,146.04
beta_a0p5_b5_M500_L2_c1_2_train.json,2,1,2,100,50,45.5204,77,3473.13,20,3413.58
beta_a0p5_b5_M50_L2_c1_2_train.json,2,1,2,100,50,4.474,8,353.04,2,338.39
beta_a10_b0p5_M100_L2_c1_2_train.json,2,1,2,100,50,95.1946,287,730.33,92,552.13
beta_a10_b0p5_M200_L2_c1_2_train.json,2,1,2,100,50,190.532,575,1451.34,185,1076.38
beta_a10_b0p5_M20_L2_c1_2_train.json,2,1,2,100,50,19.1162,58,147.18,18,133.6
beta_a10_b0p5_M500_L2_c1_2_train.json,2,1,2,100,50,475.961,1437,3697.15,462,2757.82
beta_a10_b0p5_M50_L2_c1_2_train.json,2,1,2,100,50,47.6254,144,365.23,46,274.01
beta_a10_b10_M100_L2_c1_2_train.json,2,1,2,100,50,49.8922,144,966.71,45,834.22
beta_a10_b10_M200_L2_c1_2_train.json,2,1,2,100,50,99.778,289,1905.32,90,1679.67
beta_a10_b10_M20_L2_c1_2_train.json,2,1,2,100,50,9.9636,29,195.57,9,170.0
beta_a10_b10_M500_L2_c1_2_train.json,2,1,2,100,50,249.632,725,4760.07,225,4126.97
beta_a10_b10_M50_L2_c1_2_train.json,2,1,2,100,50,25.1338,73,477.94,23,408.68
beta_a10_b1_M100_L2_c1_2_train.json,2,1,2,100,50,91.1946,274,882.28,88,684.04
beta_a10_b1_M200_L2_c1_2_train.json,2,1,2,100,50,181.7454,546,1756.96,174,1356.24
beta_a10_b1_M20_L2_c1_2_train.json,2,1,2,100,50,18.1854,55,182.16,17,155.11
beta_a10_b1_M500_L2_c1_2_train.json,2,1,2,100,50,454.5368,1367,4394.63,436,3364.1
beta_a10_b1_M50_L2_c1_2_train.json,2,1,2,100,50,45.3924,136,450.28,43,360.41
beta_a10_b2_M100_L2_c1_2_train.json,2,1,2,100,50,83.1414,248,1036.25,78,855.77
beta_a10_b2_M200_L2_c1_2_train.json,2,1,2,100,50,166.24,495,2048.9,157,1685.75
beta_a10_b2_M20_L2_c1_2_train.json,2,1,2,100,50,16.6326,50,205.47,16,175.48
beta_a10_b2_M500_L2_c1_2_train.json,2,1,2,100,50,416.0878,1245,5091.69,392,4172.52
beta_a10_b2_M50_L2_c1_2_train.json,2,1,2,100,50,41.5494,124,520.64,39,423.95
beta_a10_b5_M100_L2_c1_2_train.json,2,1,2,100,50,66.5252,197,1072.16,61,896.84
beta_a10_b5_M200_L2_c1_2_train.json,2,1,2,100,50,132.9112,389,2158.11,122,1847.27
beta_a10_b5_M20_L2_c1_2_train.json,2,1,2,100,50,13.273,39,219.19,12,191.17
beta_a10_b5_M500_L2_c1_2_train.json,2,1,2,100,50,333.1118,975,5347.17,306,4607.34
beta_a10_b5_M50_L2_c1_2_train.json,2,1,2,100,50,33.2158,98,550.24,30,482.41
beta_a1_b0p5_M100_L2_c1_2_train.json,2,1,2,100,50,67.1048,196,2509.68,54,2374.99
beta_a1_b0p5_M200_L2_c1_2_train.json,2,1,2,100,50,133.646,386,5040.59,105,4863.86
beta_a1_b0p5_M20_L2_c1_2_train.json,2,1,2,100,50,13.3054,39,504.57,11,482.16
beta_a1_b0p5_M500_L2_c1_2_train.json,2,1,2,100,50,333.5542,978,12421.75,268,11931.23
beta_a1_b0p5_M50_L2_c1_2_train.json,2,1,2,100,50,33.5724,97,1237.14,27,1179.56
beta_a1_b10_M100_L2_c1_2_train.json,2,1,2,100,50,8.9642,20,557.19,5,535.44
beta_a1_b10_M200_L2_c1_2_train.json,2,1,2,100,50,18.299,41,1140.86,11,1076.43
beta_a1_b10_M20_L2_c1_2_train.json,2,1,2,100,50,1.7866,4,114.39,1,109.12
beta_a1_b10_M500_L2_c1_2_train.json,2,1,2,100,50,45.53,101,2842.22,27,2651.43
beta_a1_b10_M50_L2_c1_2_train.json,2,1,2,100,50,4.5342,10,283.01,3,275.82
beta_a1_b1_M100_L2_c1_2_train.json,2,1,2,100,50,49.6906,134,2372.53,37,2183.66
beta_a1_b1_M200_L2_c1_2_train.json,2,1,2,100,50,99.712,268,4654.82,74,4375.98
beta_a1_b1_M20_L2_c1_2_train.json,2,1,2,100,50,9.8064,27,464.84,7,439.12
beta_a1_b1_M500_L2_c1_2_train.json,2,1,2,100,50,250.3078,683,11674.0,186,10876.39
beta_a1_b1_M50_L2_c1_2_train.json,2,1,2,100,50,24.9084,67,1172.09,18,1130.56
beta_a1_b2_M100_L2_c1_2_train.json,2,1,2,100,50,33.2186,84,1792.15,23,1689.89
beta_a1_b2_M200_L2_c1_2_train.json,2,1,2,100,50,65.8808,165,3584.57,44,3428.38
beta_a1_b2_M20_L2_c1_2_train.json,2,1,2,100,50,6.7194,17,367.7,5,357.98
beta_a1_b2_M500_L2_c1_2_train.json,2,1,2,100,50,165.5976,418,9105.52,112,8544.56
beta_a1_b2_M50_L2_c1_2_train.json,2,1,2,100,50,16.7106,42,896.98,11,837.68
beta_a1_b5_M100_L2_c1_2_train.json,2,1,2,100,50,16.8292,38,1024.26,10,980.33
beta_a1_b5_M200_L2_c1_2_train.json,2,1,2,100,50,33.4094,77,1983.82,21,1854.57
beta_a1_b5_M20_L2_c1_2_train.json,2,1,2,100,50,3.2892,8,200.02,2,191.44
beta_a1_b5_M500_L2_c1_2_train.json,2,1,2,100,50,83.6384,195,5003.86,53,4710.03
beta_a1_b5_M50_L2_c1_2_train.json,2,1,2,100,50,8.298,19,501.42,5,477.38
beta_a2_b0p5_M100_L2_c1_2_train.json,2,1,2,100,50,79.9318,240,1844.96,71,1739.02
beta_a2_b0p5_M200_L2_c1_2_train.json,2,1,2,100,50,160.9206,485,3742.22,140,3615.86
beta_a2_b0p5_M20_L2_c1_2_train.json,2,1,2,100,50,16.0944,48,370.43,14,359.84
beta_a2_b0p5_M500_L2_c1_2_train.json,2,1,2,100,50,399.9354,1210,9377.22,347,9338.26
beta_a2_b0p5_M50_L2_c1_2_train.json,2,1,2,100,50,39.924,121,945.72,35,923.1
beta_a2_b10_M100_L2_c1_2_train.json,2,1,2,100,50,16.5962,43,763.79,12,698.1
beta_a2_b10_M200_L2_c1_2_train.json,2,1,2,100,50,33.6072,85,1558.84,24,1468.03
beta_a2_b10_M20_L2_c1_2_train.json,2,1,2,100,50,3.3952,9,161.41,2,163.06
beta_a2_b10_M500_L2_c1_2_train.json,2,1,2,100,50,82.7998,210,3891.04,59,3613.69
beta_a2_b10_M50_L2_c1_2_train.json,2,1,2,100,50,8.2708,21,384.63,6,363.94
beta_a2_b1_M100_L2_c1_2_train.json,2,1,2,100,50,66.6972,195,2011.53,55,1917.12
beta_a2_b1_M200_L2_c1_2_train.json,2,1,2,100,50,133.1292,386,3967.03,112,3709.15
beta_a2_b1_M20_L2_c1_2_train.json,2,1,2,100,50,13.3324,39,397.15,11,370.77
beta_a2_b1_M500_L2_c1_2_train.json,2,1,2,100,50,333.1158,975,10001.17,284,9145.51
beta_a2_b1_M50_L2_c1_2_train.json,2,1,2,100,50,33.3856,97,999.53,28,952.94
beta_a2_b2_M100_L2_c1_2_train.json,2,1,2,100,50,50.1284,141,1815.98,40,1699.82
beta_a2_b2_M200_L2_c1_2_train.json,2,1,2,100,50,100.1858,284,3595.32,80,3356.38
beta_a2_b2_M20_L2_c1_2_train.json,2,1,2,100,50,10.035,28,370.97,8,339.13
beta_a2_b2_M500_L2_c1_2_train.json,2,1,2,100,50,250.3156,698,9092.41,200,8572.27
beta_a2_b2_M50_L2_c1_2_train.json,2,1,2,100,50,25.1126,71,909.01,20,854.68
beta_a2_b5_M100_L2_c1_2_train.json,2,1,2,100,50,28.2558,74,1205.01,21,1131.81
beta_a2_b5_M200_L2_c1_2_train.json,2,1,2,100,50,56.5922,152,2420.19,42,2304.24
beta_a2_b5_M20_L2_c1_2_train.json,2,1,2,100,50,5.5938,15,237.06,4,222.8
beta_a2_b5_M500_L2_c1_2_train.json,2,1,2,100,50,141.5452,377,6108.64,104,5731.4
beta_a2_b5_M50_L2_c1_2_train.json,2,1,2,100,50,14.2664,38,608.84,11,564.98
beta_a5_b0p5_M100_L2_c1_2_train.json,2,1,2,100,50,91.0344,275,1071.38,86,973.0
beta_a5_b0p5_M200_L2_c1_2_train.json,2,1,2,100,50,181.4752,550,2195.98,171,1943.18
beta_a5_b0p5_M20_L2_c1_2_train.json,2,1,2,100,50,18.2246,55,216.21,17,196.17
beta_a5_b0p5_M500_L2_c1_2_train.json,2,1,2,100,50,455.4604,1380,5367.99,429,4856.04
beta_a5_b0p5_M50_L2_c1_2_train.json,2,1,2,100,50,45.4296,137,539.73,43,465.18
beta_a5_b10_M100_L2_c1_2_train.json,2,1,2,100,50,33.379,94,955.39,28,882.86
beta_a5_b10_M200_L2_c1_2_train.json,2,1,2,100,50,67.1104,190,1909.2,57,1681.94
beta_a5_b10_M20_L2_c1_2_train.json,2,1,2,100,50,6.6584,19,189.52,6,193.18
beta_a5_b10_M500_L2_c1_2_train.json,2,1,2,100,50,167.4212,473,4788.81,140,4376.13
beta_a5_b10_M50_L2_c1_2_train.json,2,1,2,100,50,16.8336,48,470.1,14,422.87
beta_a5_b1_M100_L2_c1_2_train.json,2,1,2,100,50,83.1942,247,1295.04,77,1140.43
beta_a5_b1_M200_L2_c1_2_train.json,2,1,2,100,50,166.519,500,2661.69,153,2386.6
beta_a5_b1_M20_L2_c1_2_train.json,2,1,2,100,50,16.7144,50,262.74,15,239.43
beta_a5_b1_M500_L2_c1_2_train.json,2,1,2,100,50,415.1202,1245,6713.34,384,5828.2
beta_a5_b1_M50_L2_c1_2_train.json,2,1,2,100,50,41.765,125,653.14,38,584.16
beta_a5_b2_M100_L2_c1_2_train.json,2,1,2,100,50,71.4402,211,1421.76,64,1263.26
beta_a5_b2_M200_L2_c1_2_train.json,2,1,2,100,50,142.139,419,2889.88,127,2590.39
beta_a5_b2_M20_L2_c1_2_train.json,2,1,2,100,50,14.3776,42,284.58,13,255.86
beta_a5_b2_M500_L2_c1_2_train.json,2,1,2,100,50,358.2778,1053,7258.08,323,6351.14
beta_a5_b2_M50_L2_c1_2_train.json,2,1,2,100,50,35.7778,105,711.78,32,632.53
beta_a5_b5_M100_L2_c1_2_train.json,2,1,2,100,50,50.0824,143,1254.31,43,1129.9
beta_a5_b5_M200_L2_c1_2_train.json,2,1,2,100,50,99.91,286,2575.8,86,2332.51
beta_a5_b5_M20_L2_c1_2_train.json,2,1,2,100,50,10.0272,29,253.2,9,234.7
beta_a5_b5_M500_L2_c1_2_train.json,2,1,2,100,50,251.8128,722,6220.77,216,5568.37
beta_a5_b5_M50_L2_c1_2_train.json,2,1,2,100,50,25.126,72,644.57,22,581.12
binom_n100_p0p05_L2_c1_2_train.json,2,1,2,100,50,5.0184,14,173.04,4,164.68
binom_n100_p0p1_L2_c1_2_train.json,2,1,2,100,50,10.0832,29,249.12,9,228.46
binom_n100_p0p2_L2_c1_2_train.json,2,1,2,100,50,19.9708,58,346.07,18,295.97
binom_n100_p0p3_L2_c1_2_train.json,2,1,2,100,50,30.0926,88,424.46,28,341.92
binom_n100_p0p5_L2_c1_2_train.json,2,1,2,100,50,49.9702,148,519.82,48,372.42
binom_n100_p0p7_L2_c1_2_train.json,2,1,2,100,50,70.0088,208,543.57,68,340.5
binom_n100_p0p95_L2_c1_2_train.json,2,1,2,100,50,94.9798,284,443.72,94,165.81
binom_n100_p0p9_L2_c1_2_train.json,2,1,2,100,50,90.0082,269,491.63,89,243.83
binom_n200_p0p05_L2_c1_2_train.json,2,1,2,100,50,10.0028,29,255.17,9,244.82
binom_n200_p0p1_L2_c1_2_train.json,2,1,2,100,50,19.9676,58,371.91,18,325.06
binom_n200_p0p2_L2_c1_2_train.json,2,1,2,100,50,39.9484,117,544.34,37,437.05
binom_n200_p0p3_L2_c1_2_train.json,2,1,2,100,50,59.9412,177,660.92,57,486.3
binom_n200_p0p5_L2_c1_2_train.json,2,1,2,100,50,99.8332,297,817.84,96,560.36
binom_n200_p0p7_L2_c1_2_train.json,2,1,2,100,50,139.905,417,892.5,137,488.21
binom_n200_p0p95_L2_c1_2_train.json,2,1,2,100,50,189.985,569,803.64,188,258.49
binom_n200_p0p9_L2_c1_2_train.json,2,1,2,100,50,179.8924,538,851.71,178,324.26
binom_n20_p0p05_L2_c1_2_train.json,2,1,2,100,50,1.023,2,71.33,0,102.3
binom_n20_p0p1_L2_c1_2_train.json,2,1,2,100,50,1.995,5,101.77,1,111.94
binom_n20_p0p2_L2_c1_2_train.json,2,1,2,100,50,3.9522,11,138.85,3,130.46
binom_n20_p0p3_L2_c1_2_train.json,2,1,2,100,50,5.9474,17,167.85,5,150.03
binom_n20_p0p5_L2_c1_2_train.json,2,1,2,100,50,10.0068,29,195.05,9,172.98
binom_n20_p0p7_L2_c1_2_train.json,2,1,2,100,50,13.974,41,191.36,13,152.73
binom_n20_p0p95_L2_c1_2_train.json,2,1,2,100,50,18.9842,57,128.8,18,106.47
binom_n20_p0p9_L2_c1_2_train.json,2,1,2,100,50,18.0166,54,152.84,17,121.44
binom_n400_p0p05_L2_c1_2_train.json,2,1,2,100,50,20.011,58,381.89,18,331.84
binom_n400_p0p1_L2_c1_2_train.json,2,1,2,100,50,40.1046,117,564.53,37,462.59
binom_n400_p0p2_L2_c1_2_train.json,2,1,2,100,50,79.9416,236,833.11,76,611.33
binom_n400_p0p3_L2_c1_2_train.json,2,1,2,100,50,119.7038,355,1033.35,116,682.15
binom_n400_p0p5_L2_c1_2_train.json,2,1,2,100,50,199.945,595,1319.41,195,756.59
binom_n400_p0p7_L2_c1_2_train.json,2,1,2,100,50,279.877,836,1509.21,276,697.56
binom_n400_p0p95_L2_c1_2_train.json,2,1,2,100,50,380.0546,1139,1460.52,378,333.06
binom_n400_p0p9_L2_c1_2_train.json,2,1,2,100,50,359.8772,1077,1532.17,357,473.18
binom_n50_p0p05_L2_c1_2_train.json,2,1,2,100,50,2.5086,7,116.87,2,110.25
binom_n50_p0p1_L2_c1_2_train.json,2,1,2,100,50,5.0166,14,165.05,4,151.69
binom_n50_p0p2_L2_c1_2_train.json,2,1,2,100,50,9.9944,28,236.5,9,223.64
binom_n50_p0p3_L2_c1_2_train.json,2,1,2,100,50,15.0024,44,280.45,13,258.21
binom_n50_p0p5_L2_c1_2_train.json,2,1,2,100,50,24.9532,73,331.16,23,264.71
binom_n50_p0p7_L2_c1_2_train.json,2,1,2,100,50,34.925,103,344.07,33,260.11
binom_n50_p0p95_L2_c1_2_train.json,2,1,2,100,50,47.4956,142,255.42,47,126.11
binom_n50_p0p9_L2_c1_2_train.json,2,1,2,100,50,44.9844,134,291.06,44,161.33
binom_n800_p0p05_L2_c1_2_train.json,2,1,2,100,50,39.9986,117,576.22,37,476.52
binom_n800_p0p1_L2_c1_2_train.json,2,1,2,100,50,79.9734,237,852.97,76,634.01
binom_n800_p0p2_L2_c1_2_train.json,2,1,2,100,50,159.776,475,1281.89,155,852.54
binom_n800_p0p3_L2_c1_2_train.json,2,1,2,100,50,240.0886,716,1655.71,234,957.19
binom_n800_p0p5_L2_c1_2_train.json,2,1,2,100,50,400.2372,1195,2232.25,394,1053.39
binom_n800_p0p7_L2_c1_2_train.json,2,1,2,100,50,559.9418,1674,2619.23,554,987.45
binom_n800_p0p95_L2_c1_2_train.json,2,1,2,100,50,760.0512,2278,2730.46,757,477.76
binom_n800_p0p9_L2_c1_2_train.json,2,1,2,100,50,720.1692,2157,2784.75,716,647.15
cunif_a0_b100_L2_c1_2_train.json,2,1,2,100,50,50.0574,136,2368.03,37,2216.85
cunif_a0_b200_L2_c1_2_train.json,2,1,2,100,50,98.8114,268,4657.04,72,4431.56
cunif_a0_b400_L2_c1_2_train.json,2,1,2,100,50,199.814,536,9401.08,146,8843.5
cunif_a0_b50_L2_c1_2_train.json,2,1,2,100,50,25.1552,69,1184.79,19,1122.38
cunif_a0_b800_L2_c1_2_train.json,2,1,2,100,50,400.731,1094,19022.12,292,17903.34
cunif_a10_b100_L2_c1_2_train.json,2,1,2,100,50,54.6906,150,2154.81,42,2069.16
cunif_a10_b200_L2_c1_2_train.json,2,1,2,100,50,105.2446,292,4485.6,81,4225.63
cunif_a10_b400_L2_c1_2_train.json,2,1,2,100,50,205.9482,559,9239.42,151,8883.26
cunif_a10_b50_L2_c1_2_train.json,2,1,2,100,50,30.0218,84,978.06,25,900.58
cunif_a10_b800_L2_c1_2_train.json,2,1,2,100,50,405.9742,1105,18593.29,303,17506.29
cunif_a20_b100_L2_c1_2_train.json,2,1,2,100,50,59.8532,168,1967.73,49,1826.52
cunif_a20_b200_L2_c1_2_train.json,2,1,2,100,50,110.014,307,4295.83,87,3959.06
cunif_a20_b400_L2_c1_2_train.json,2,1,2,100,50,211.646,580,9037.87,160,8565.05
cunif_a20_b50_L2_c1_2_train.json,2,1,2,100,50,35.03,101,759.07,31,661.35
cunif_a20_b800_L2_c1_2_train.json,2,1,2,100,50,409.2962,1120,18298.1,305,17454.05
cunif_a50_b100_L2_c1_2_train.json,2,1,2,100,50,74.7614,216,1316.52,68,1110.65
cunif_a50_b200_L2_c1_2_train.json,2,1,2,100,50,124.97,354,3617.14,106,3278.36
cunif_a50_b400_L2_c1_2_train.json,2,1,2,100,50,224.946,631,8482.66,178,7795.74
cunif_a50_b800_L2_c1_2_train.json,2,1,2,100,50,426.7714,1168,17608.34,326,16591.23
dunif_L0_H100_L2_c1_2_train.json,2,1,2,100,50,50.1412,135,2381.85,36,2288.17
dunif_L0_H200_L2_c1_2_train.json,2,1,2,100,50,99.9846,270,4668.24,73,4410.03
dunif_L0_H20_L2_c1_2_train.json,2,1,2,100,50,10.0448,27,488.38,7,467.8
dunif_L0_H400_L2_c1_2_train.json,2,1,2,100,50,201.6122,562,9170.41,151,8678.12
dunif_L0_H50_L2_c1_2_train.json,2,1,2,100,50,25.0878,68,1187.7,18,1110.1
dunif_L0_H800_L2_c1_2_train.json,2,1,2,100,50,397.1042,1074,18790.65,284,18241.01
dunif_L10_H100_L2_c1_2_train.json,2,1,2,100,50,55.17,155,2125.32,43,1987.77
dunif_L10_H200_L2_c1_2_train.json,2,1,2,100,50,104.1212,283,4624.49,77,4389.15
dunif_L10_H20_L2_c1_2_train.json,2,1,2,100,50,14.9552,43,284.28,13,252.02
dunif_L10_H400_L2_c1_2_train.json,2,1,2,100,50,204.2442,565,9155.2,151,8653.29
dunif_L10_H50_L2_c1_2_train.json,2,1,2,100,50,29.9432,83,1003.97,24,943.98
dunif_L10_H800_L2_c1_2_train.json,2,1,2,100,50,402.2254,1105,18497.59,299,17581.04
dunif_L20_H100_L2_c1_2_train.json,2,1,2,100,50,60.0356,170,1952.41,49,1778.04
dunif_L20_H200_L2_c1_2_train.json,2,1,2,100,50,110.8778,305,4417.23,86,4133.68
dunif_L20_H400_L2_c1_2_train.json,2,1,2,100,50,210.4514,583,9005.3,162,8355.92
dunif_L20_H50_L2_c1_2_train.json,2,1,2,100,50,34.9436,101,784.97,31,696.69
dunif_L20_H800_L2_c1_2_train.json,2,1,2,100,50,411.1726,1118,18503.04,309,17206.98
dunif_L50_H100_L2_c1_2_train.json,2,1,2,100,50,74.8758,217,1345.63,68,1157.35
dunif_L50_H200_L2_c1_2_train.json,2,1,2,100,50,124.3236,353,3701.86,104,3354.25
dunif_L50_H400_L2_c1_2_train.json,2,1,2,100,50,224.6248,624,8426.39,178,7862.29
dunif_L50_H800_L2_c1_2_train.json,2,1,2,100,50,422.9376,1158,18015.22,319,17001.01
dunif_L5_H100_L2_c1_2_train.json,2,1,2,100,50,52.9758,144,2257.92,39,2163.35
dunif_L5_H200_L2_c1_2_train.json,2,1,2,100,50,103.139,286,4629.85,76,4412.04
dunif_L5_H20_L2_c1_2_train.json,2,1,2,100,50,12.529,36,388.29,10,361.42
dunif_L5_H400_L2_c1_2_train.json,2,1,2,100,50,204.476,553,9301.71,151,8836.68
dunif_L5_H50_L2_c1_2_train.json,2,1,2,100,50,27.6726,76,1101.4,21,1029.29
dunif_L5_H800_L2_c1_2_train.json,2,1,2,100,50,403.6396,1097,18937.22,299,17776.06
gamma_k0p8_th10_L2_c1_2_train.json,2,1,2,100,50,8.4528,16,590.78,4,566.62
gamma_k0p8_th20_L2_c1_2_train.json,2,1,2,100,50,15.897,30,1093.79,8,1051.66
gamma_k0p8_th2_L2_c1_2_train.json,2,1,2,100,50,1.5684,3,115.65,1,123.46
gamma_k0p8_th40_L2_c1_2_train.json,2,1,2,100,50,32.5816,65,2268.57,17,2181.35
gamma_k0p8_th5_L2_c1_2_train.json,2,1,2,100,50,3.9424,8,278.29,2,271.18
gamma_k0p8_th80_L2_c1_2_train.json,2,1,2,100,50,63.8964,123,4498.84,34,4268.73
gamma_k10_th10_L2_c1_2_train.json,2,1,2,100,50,99.5118,281,2500.28,86,2236.73
gamma_k10_th20_L2_c1_2_train.json,2,1,2,100,50,199.7748,564,5011.06,172,4452.31
gamma_k10_th2_L2_c1_2_train.json,2,1,2,100,50,19.9044,56,517.11,17,463.11
gamma_k10_th40_L2_c1_2_train.json,2,1,2,100,50,399.257,1126,10124.42,342,9000.58
gamma_k10_th5_L2_c1_2_train.json,2,1,2,100,50,49.9502,140,1307.24,42,1171.33
gamma_k10_th80_L2_c1_2_train.json,2,1,2,100,50,799.0546,2239,20375.86,680,18530.2
gamma_k1_th10_L2_c1_2_train.json,2,1,2,100,50,10.2196,21,670.08,6,651.22
gamma_k1_th20_L2_c1_2_train.json,2,1,2,100,50,20.063,41,1304.03,11,1251.19
gamma_k1_th2_L2_c1_2_train.json,2,1,2,100,50,1.9814,4,130.04,1,125.78
gamma_k1_th40_L2_c1_2_train.json,2,1,2,100,50,40.8128,84,2646.58,23,2525.03
gamma_k1_th5_L2_c1_2_train.json,2,1,2,100,50,4.9608,10,320.8,3,312.74
gamma_k1_th80_L2_c1_2_train.json,2,1,2,100,50,79.6154,165,5154.36,45,4933.67
gamma_k20_th10_L2_c1_2_train.json,2,1,2,100,50,199.6658,573,3806.8,179,3282.96
gamma_k20_th20_L2_c1_2_train.json,2,1,2,100,50,401.1344,1150,7694.8,361,6548.42
gamma_k20_th2_L2_c1_2_train.json,2,1,2,100,50,40.017,115,750.48,36,640.85
gamma_k20_th40_L2_c1_2_train.json,2,1,2,100,50,799.7998,2294,15068.8,722,12975.82
gamma_k20_th5_L2_c1_2_train.json,2,1,2,100,50,99.719,287,1908.14,90,1614.37
gamma_k20_th80_L2_c1_2_train.json,2,1,2,100,50,1601.6924,4615,30397.33,1445,25888.74
gamma_k2_th10_L2_c1_2_train.json,2,1,2,100,50,20.2094,49,1006.34,14,957.87
gamma_k2_th20_L2_c1_2_train.json,2,1,2,100,50,39.7012,98,1971.48,28,1825.28
gamma_k2_th2_L2_c1_2_train.json,2,1,2,100,50,3.987,10,205.01,3,201.44
gamma_k2_th40_L2_c1_2_train.json,2,1,2,100,50,79.0382,195,3893.49,54,3748.71
gamma_k2_th5_L2_c1_2_train.json,2,1,2,100,50,10.0938,25,495.17,7,460.85
gamma_k2_th80_L2_c1_2_train.json,2,1,2,100,50,158.3624,385,7921.27,107,7551.74
gamma_k5_th10_L2_c1_2_train.json,2,1,2,100,50,49.5916,135,1691.66,39,1575.5
gamma_k5_th20_L2_c1_2_train.json,2,1,2,100,50,100.2342,272,3417.72,80,3100.91
gamma_k5_th2_L2_c1_2_train.json,2,1,2,100,50,9.9824,27,340.34,8,315.32
gamma_k5_th40_L2_c1_2_train.json,2,1,2,100,50,201.0626,539,6896.27,160,6391.15
gamma_k5_th5_L2_c1_2_train.json,2,1,2,100,50,24.859,67,846.74,20,760.26
gamma_k5_th80_L2_c1_2_train.json,2,1,2,100,50,395.5232,1067,13438.26,317,12183.7
geom_p0p03_L2_c1_2_train.json,2,1,2,100,50,32.1838,67,2091.9,18,2002.81
geom_p0p05_L2_c1_2_train.json,2,1,2,100,50,19.3064,41,1256.19,11,1194.42
geom_p0p08_L2_c1_2_train.json,2,1,2,100,50,11.3446,24,755.19,6,722.1
geom_p0p15_L2_c1_2_train.json,2,1,2,100,50,5.5918,11,386.77,3,368.61
geom_p0p1_L2_c1_2_train.json,2,1,2,100,50,9.125,18,620.32,5,591.24
geom_p0p2_L2_c1_2_train.json,2,1,2,100,50,3.9754,8,278.13,2,267.99
geom_p0p3_L2_c1_2_train.json,2,1,2,100,50,2.3486,4,178.43,1,173.37
geom_p0p4_L2_c1_2_train.json,2,1,2,100,50,1.5004,3,120.4,1,137.74
geom_p0p6_L2_c1_2_train.json,2,1,2,100,50,0.6656,1,61.47,0,66.56
geom_p0p8_L2_c1_2_train.json,2,1,2,100,50,0.255,0,25.5,0,25.5
logn_mlog1p5_s0p3_L2_c1_2_train.json,2,1,2,100,50,4.732,13,115.11,4,101.59
logn_mlog1p5_s0p5_L2_c1_2_train.json,2,1,2,100,50,5.0898,13,190.18,4,174.65
logn_mlog1p5_s0p7_L2_c1_2_train.json,2,1,2,100,50,5.6858,13,279.85,4,266.36
logn_mlog1p5_s1_L2_c1_2_train.json,2,1,2,100,50,7.4304,13,489.28,4,477.64
