dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a10_b0p5_M50_L4_p6_train.json,beta_a10_b0p5_M50_L6_c1_2_train.json,4,1,6.0,100,50,47.6254,242,855.52,47,490.03
beta_a10_b0p5_M50_L4_p6_test.json,beta_a10_b0p5_M50_L6_c1_2_test.json,4,1,6.0,1000,50,47.63256,242,853.18,47,484.449
beta_a10_b10_M100_L4_p6_train.json,beta_a10_b10_M100_L6_c1_2_train.json,4,1,6.0,100,50,49.8922,257,1970.28,48,1563.44
beta_a10_b10_M100_L4_p6_test.json,beta_a10_b10_M100_L6_c1_2_test.json,4,1,6.0,1000,50,50.03412,257,1958.226,48,1576.968
beta_a10_b10_M200_L4_p6_train.json,beta_a10_b10_M200_L6_c1_2_train.json,4,1,6.0,100,50,99.778,512,3899.08,95,3165.35
beta_a10_b10_M200_L4_p6_test.json,beta_a10_b10_M200_L6_c1_2_test.json,4,1,6.0,1000,50,100.01614,512,3930.02,95,3229.246
beta_a10_b10_M20_L4_p6_train.json,beta_a10_b10_M20_L6_c1_2_train.json,4,1,6.0,100,50,9.9636,51,394.81,9,369.12
beta_a10_b10_M20_L4_p6_test.json,beta_a10_b10_M20_L6_c1_2_test.json,4,1,6.0,1000,50,9.99484,51,393.599,9,370.073
beta_a10_b10_M500_L4_p6_train.json,beta_a10_b10_M500_L6_c1_2_train.json,4,1,6.0,100,50,249.632,1280,9965.71,238,7776.81
beta_a10_b10_M500_L4_p6_test.json,beta_a10_b10_M500_L6_c1_2_test.json,4,1,6.0,1000,50,250.14776,1280,9753.405,238,7859.738
beta_a10_b10_M50_L4_p6_train.json,beta_a10_b10_M50_L6_c1_2_train.json,4,1,6.0,100,50,25.1338,129,974.61,24,764.56
beta_a10_b10_M50_L4_p6_test.json,beta_a10_b10_M50_L6_c1_2_test.json,4,1,6.0,1000,50,25.0015,129,981.575,24,792.228
beta_a10_b1_M100_L4_p6_train.json,beta_a10_b1_M100_L6_c1_2_train.json,4,1,6.0,100,50,91.1946,466,1943.41,89,1227.45
beta_a10_b1_M100_L4_p6_test.json,beta_a10_b1_M100_L6_c1_2_test.json,4,1,6.0,1000,50,90.85036,466,1971.899,89,1259.606
beta_a10_b1_M200_L4_p6_train.json,beta_a10_b1_M200_L6_c1_2_train.json,4,1,6.0,100,50,181.7454,927,3895.88,178,2438.61
beta_a10_b1_M200_L4_p6_test.json,beta_a10_b1_M200_L6_c1_2_test.json,4,1,6.0,1000,50,181.90684,927,3900.93,178,2519.705
beta_a10_b1_M20_L4_p6_train.json,beta_a10_b1_M20_L6_c1_2_train.json,4,1,6.0,100,50,18.1854,93,399.03,18,276.28
beta_a10_b1_M20_L4_p6_test.json,beta_a10_b1_M20_L6_c1_2_test.json,4,1,6.0,1000,50,18.20414,93,396.336,18,266.358
beta_a10_b1_M500_L4_p6_train.json,beta_a10_b1_M500_L6_c1_2_train.json,4,1,6.0,100,50,454.5368,2320,9793.25,445,6080.49
beta_a10_b1_M500_L4_p6_test.json,beta_a10_b1_M500_L6_c1_2_test.json,4,1,6.0,1000,50,454.723,2320,9759.385,445,6245.618
beta_a10_b1_M50_L4_p6_train.json,beta_a10_b1_M50_L6_c1_2_train.json,4,1,6.0,100,50,45.3924,232,1004.17,44,668.64
beta_a10_b1_M50_L4_p6_test.json,beta_a10_b1_M50_L6_c1_2_test.json,4,1,6.0,1000,50,45.44916,232,982.856,44,669.123
beta_a10_b2_M100_L4_p6_train.json,beta_a10_b2_M100_L6_c1_2_train.json,4,1,6.0,100,50,83.1414,427,2209.59,81,1593.38
beta_a10_b2_M100_L4_p6_test.json,beta_a10_b2_M100_L6_c1_2_test.json,4,1,6.0,1000,50,83.29292,427,2184.714,81,1530.182
beta_a10_b2_M200_L4_p6_train.json,beta_a10_b2_M200_L6_c1_2_train.json,4,1,6.0,100,50,166.24,851,4353.42,161,3098.87
beta_a10_b2_M200_L4_p6_test.json,beta_a10_b2_M200_L6_c1_2_test.json,4,1,6.0,1000,50,166.6535,851,4395.002,161,3135.245
beta_a10_b2_M20_L4_p6_train.json,beta_a10_b2_M20_L6_c1_2_train.json,4,1,6.0,100,50,16.6326,85,438.39,16,310.36
beta_a10_b2_M20_L4_p6_test.json,beta_a10_b2_M20_L6_c1_2_test.json,4,1,6.0,1000,50,16.6565,85,437.945,16,319.593
beta_a10_b2_M500_L4_p6_train.json,beta_a10_b2_M500_L6_c1_2_train.json,4,1,6.0,100,50,416.0878,2125,10755.89,405,7632.87
beta_a10_b2_M500_L4_p6_test.json,beta_a10_b2_M500_L6_c1_2_test.json,4,1,6.0,1000,50,416.7256,2125,10881.681,405,7602.466
beta_a10_b2_M50_L4_p6_train.json,beta_a10_b2_M50_L6_c1_2_train.json,4,1,6.0,100,50,41.5494,213,1088.73,40,789.78
beta_a10_b2_M50_L4_p6_test.json,beta_a10_b2_M50_L6_c1_2_test.json,4,1,6.0,1000,50,41.63702,213,1094.397,40,799.35
beta_a10_b5_M100_L4_p6_train.json,beta_a10_b5_M100_L6_c1_2_train.json,4,1,6.0,100,50,66.5252,341,2186.38,64,1674.35
beta_a10_b5_M100_L4_p6_test.json,beta_a10_b5_M100_L6_c1_2_test.json,4,1,6.0,1000,50,66.6799,341,2246.324,64,1723.114
beta_a10_b5_M200_L4_p6_train.json,beta_a10_b5_M200_L6_c1_2_train.json,4,1,6.0,100,50,132.9112,682,4482.33,128,3442.17
beta_a10_b5_M200_L4_p6_test.json,beta_a10_b5_M200_L6_c1_2_test.json,4,1,6.0,1000,50,133.26702,682,4498.062,128,3422.956
beta_a10_b5_M20_L4_p6_train.json,beta_a10_b5_M20_L6_c1_2_train.json,4,1,6.0,100,50,13.273,68,451.17,13,387.46
beta_a10_b5_M20_L4_p6_test.json,beta_a10_b5_M20_L6_c1_2_test.json,4,1,6.0,1000,50,13.32786,68,450.336,13,354.619
beta_a10_b5_M500_L4_p6_train.json,beta_a10_b5_M500_L6_c1_2_train.json,4,1,6.0,100,50,333.1118,1708,11044.67,319,8712.39
beta_a10_b5_M500_L4_p6_test.json,beta_a10_b5_M500_L6_c1_2_test.json,4,1,6.0,1000,50,333.35554,1708,11182.772,319,8617.8
beta_a10_b5_M50_L4_p6_train.json,beta_a10_b5_M50_L6_c1_2_train.json,4,1,6.0,100,50,33.2158,171,1131.24,32,878.91
beta_a10_b5_M50_L4_p6_test.json,beta_a10_b5_M50_L6_c1_2_test.json,4,1,6.0,1000,50,33.35822,171,1120.392,32,866.978
beta_a1_b0p5_M100_L4_p6_train.json,beta_a1_b0p5_M100_L6_c1_2_train.json,4,1,6.0,100,50,67.1048,365,4633.5,61,4297.58
beta_a1_b0p5_M100_L4_p6_test.json,beta_a1_b0p5_M100_L6_c1_2_test.json,4,1,6.0,1000,50,66.80476,365,4672.096,61,4529.507
beta_a1_b0p5_M200_L4_p6_train.json,beta_a1_b0p5_M200_L6_c1_2_train.json,4,1,6.0,100,50,133.646,721,9355.53,120,9123.1
beta_a1_b0p5_M200_L4_p6_test.json,beta_a1_b0p5_M200_L6_c1_2_test.json,4,1,6.0,1000,50,132.9949,721,9406.26,120,8944.498
beta_a1_b0p5_M20_L4_p6_train.json,beta_a1_b0p5_M20_L6_c1_2_train.json,4,1,6.0,100,50,13.3054,73,943.42,12,867.21
beta_a1_b0p5_M20_L4_p6_test.json,beta_a1_b0p5_M20_L6_c1_2_test.json,4,1,6.0,1000,50,13.319,73,939.719,12,912.213
beta_a1_b0p5_M500_L4_p6_train.json,beta_a1_b0p5_M500_L6_c1_2_train.json,4,1,6.0,100,50,333.5542,1807,22978.92,300,21878.16
beta_a1_b0p5_M500_L4_p6_test.json,beta_a1_b0p5_M500_L6_c1_2_test.json,4,1,6.0,1000,50,333.1269,1807,23303.733,300,22189.181
