dataset,L,h,p,N,num_periods,mean_d,opt_capped_S,opt_capped_cap,avg_cost_capped
dunif_L0_H50_L6_c1_2_train.json,6,1.0,2.0,100,50,25.0878,160,20,20.02482142857143
dunif_L0_H800_L6_c1_2_train.json,6,1.0,2.0,100,50,397.1042,2517,295,324.1975
dunif_L10_H100_L6_c1_2_train.json,6,1.0,2.0,100,50,55.17,378,45,35.41428571428571
dunif_L10_H200_L6_c1_2_train.json,6,1.0,2.0,100,50,104.1212,726,80,78.18107142857143
dunif_L10_H20_L6_c1_2_train.json,6,1.0,2.0,100,50,14.9552,100,15,4.5042857142857144
dunif_L10_H400_L6_c1_2_train.json,6,1.0,2.0,100,50,204.2442,1297,160,153.11839285714285
dunif_L10_H50_L6_c1_2_train.json,6,1.0,2.0,100,50,29.9432,196,25,16.579642857142858
dunif_L10_H800_L6_c1_2_train.json,6,1.0,2.0,100,50,402.2254,2949,300,313.5375
dunif_L20_H100_L6_c1_2_train.json,6,1.0,2.0,100,50,60.0356,422,50,31.58
dunif_L20_H200_L6_c1_2_train.json,6,1.0,2.0,100,50,110.8778,738,90,72.33535714285715
dunif_L20_H400_L6_c1_2_train.json,6,1.0,2.0,100,50,210.4514,1411,165,147.95089285714286
dunif_L20_H50_L6_c1_2_train.json,6,1.0,2.0,100,50,34.9436,256,30,12.556607142857143
dunif_L20_H800_L6_c1_2_train.json,6,1.0,2.0,100,50,411.1726,2792,310,306.2603571428571
dunif_L50_H100_L6_c1_2_train.json,6,1.0,2.0,100,50,74.8758,506,70,20.5625
dunif_L50_H200_L6_c1_2_train.json,6,1.0,2.0,100,50,124.3236,830,105,59.62464285714286
dunif_L50_H400_L6_c1_2_train.json,6,1.0,2.0,100,50,224.6248,1546,180,140.00089285714284
dunif_L50_H800_L6_c1_2_train.json,6,1.0,2.0,100,50,422.9376,2908,325,301.2373214285714
dunif_L5_H100_L6_c1_2_train.json,6,1.0,2.0,100,50,52.9758,340,40,37.761607142857144
dunif_L5_H200_L6_c1_2_train.json,6,1.0,2.0,100,50,103.139,683,80,78.11946428571429
dunif_L5_H20_L6_c1_2_train.json,6,1.0,2.0,100,50,12.529,86,10,6.436071428571428
dunif_L5_H400_L6_c1_2_train.json,6,1.0,2.0,100,50,204.476,1385,155,156.67535714285714
dunif_L5_H50_L6_c1_2_train.json,6,1.0,2.0,100,50,27.6726,186,20,18.74892857142857
dunif_L5_H800_L6_c1_2_train.json,6,1.0,2.0,100,50,403.6396,2637,305,314.7275
gamma_k0p8_th10_L6_c1_2_train.json,6,1.0,2.0,100,50,8.4528,52,5,10.158928571428572
gamma_k0p8_th20_L6_c1_2_train.json,6,1.0,2.0,100,50,15.897,74,10,19.082142857142856
gamma_k0p8_th2_L6_c1_2_train.json,6,1.0,2.0,100,50,1.5684,4,5,2.3176785714285715
gamma_k0p8_th40_L6_c1_2_train.json,6,1.0,2.0,100,50,32.5816,210,15,39.409642857142856
gamma_k0p8_th5_L6_c1_2_train.json,6,1.0,2.0,100,50,3.9424,14,5,5.366964285714285
gamma_k0p8_th80_L6_c1_2_train.json,6,1.0,2.0,100,50,63.8964,407,35,76.27446428571429
gamma_k10_th10_L6_c1_2_train.json,6,1.0,2.0,100,50,99.5118,672,85,39.699642857142855
gamma_k10_th20_L6_c1_2_train.json,6,1.0,2.0,100,50,199.7748,1312,175,79.71696428571428
gamma_k10_th2_L6_c1_2_train.json,6,1.0,2.0,100,50,19.9044,126,20,9.044107142857143
gamma_k10_th40_L6_c1_2_train.json,6,1.0,2.0,100,50,399.257,2696,345,159.91714285714286
gamma_k10_th5_L6_c1_2_train.json,6,1.0,2.0,100,50,49.9502,321,45,21.13267857142857
gamma_k10_th80_L6_c1_2_train.json,6,1.0,2.0,100,50,799.0546,5577,680,330.2423214285714
gamma_k1_th10_L6_c1_2_train.json,6,1.0,2.0,100,50,10.2196,50,5,11.609464285714285
gamma_k1_th20_L6_c1_2_train.json,6,1.0,2.0,100,50,20.063,100,10,22.588214285714287
gamma_k1_th2_L6_c1_2_train.json,6,1.0,2.0,100,50,1.9814,8,5,2.639464285714286
gamma_k1_th40_L6_c1_2_train.json,6,1.0,2.0,100,50,40.8128,228,25,45.25375
gamma_k1_th5_L6_c1_2_train.json,6,1.0,2.0,100,50,4.9608,22,5,5.973571428571429
gamma_k1_th80_L6_c1_2_train.json,6,1.0,2.0,100,50,79.6154,511,45,88.04464285714286
gamma_k20_th10_L6_c1_2_train.json,6,1.0,2.0,100,50,199.6658,1387,180,57.91517857142857
gamma_k20_th20_L6_c1_2_train.json,6,1.0,2.0,100,50,401.1344,2761,360,116.64517857142857
gamma_k20_th2_L6_c1_2_train.json,6,1.0,2.0,100,50,40.017,288,35,11.867142857142857
gamma_k20_th40_L6_c1_2_train.json,6,1.0,2.0,100,50,799.7998,5418,725,230.22142857142856
gamma_k20_th5_L6_c1_2_train.json,6,1.0,2.0,100,50,99.719,686,90,28.584642857142857
gamma_k20_th80_L6_c1_2_train.json,6,1.0,2.0,100,50,1601.6924,10871,1465,456.3082142857143
gamma_k2_th10_L6_c1_2_train.json,6,1.0,2.0,100,50,20.2094,110,15,17.19214285714286
gamma_k2_th20_L6_c1_2_train.json,6,1.0,2.0,100,50,39.7012,242,30,32.98285714285714
gamma_k2_th2_L6_c1_2_train.json,6,1.0,2.0,100,50,3.987,20,5,4.023928571428572
gamma_k2_th40_L6_c1_2_train.json,6,1.0,2.0,100,50,79.0382,457,55,66.54107142857143
gamma_k2_th5_L6_c1_2_train.json,6,1.0,2.0,100,50,10.0938,56,10,9.031785714285714
gamma_k2_th80_L6_c1_2_train.json,6,1.0,2.0,100,50,158.3624,1008,110,134.39714285714285
gamma_k5_th10_L6_c1_2_train.json,6,1.0,2.0,100,50,49.5916,341,40,27.965
gamma_k5_th20_L6_c1_2_train.json,6,1.0,2.0,100,50,100.2342,639,80,55.113571428571426
gamma_k5_th2_L6_c1_2_train.json,6,1.0,2.0,100,50,9.9824,62,10,6.070714285714286
gamma_k5_th40_L6_c1_2_train.json,6,1.0,2.0,100,50,201.0626,1347,160,113.91660714285715
gamma_k5_th5_L6_c1_2_train.json,6,1.0,2.0,100,50,24.859,172,20,13.566071428571428
gamma_k5_th80_L6_c1_2_train.json,6,1.0,2.0,100,50,395.5232,2580,325,216.0805357142857
