LLM,problem,dist,demand_mean,n_train,external_opt,iter_opt,param_loc,repeat,n_pop,mode,data_summary,algo_performance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,4,train,yes,no,1667.12,1667.41,1668.57,1668.57,1668.62,1670.42,1672.21,1675.01,1677.00,1677.41,1698.40,1705.50,1710.28,1710.34,1710.92,1711.01,1715.30,1715.34,1715.68,1717.10,1719.02,1720.25,1739.98,1741.29,1744.70,1750.38,1760.87,1760.88,1761.51,1762.38
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,4,test,yes,no,1514.60,1531.12,1514.14,1514.16,1513.02,1499.56,1503.15,1509.85,1509.32,1506.89,1557.97,1566.80,1560.33,1560.36,1560.60,1562.24,1575.26,1575.17,1574.62,1572.48,1572.90,1572.66,1556.40,1586.20,1608.55,1603.20,1624.31,1624.18,1620.78,1625.90
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,5,train,yes,no,1666.17,1667.12,1667.21,1667.32,1667.32,1667.41,1667.91,1668.42,1668.56,1668.57,1668.57,1668.57,1668.57,1668.57,1668.58,1668.58,1668.59,1668.62,1668.62,1668.68,1668.69,1668.69,1670.09,1670.29,1670.42,1670.43,1670.58,1670.71,1670.89,1671.00
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,5,test,yes,no,1504.37,1514.60,1502.29,1502.08,1502.09,1531.12,1506.75,1501.42,1513.18,1514.16,1514.15,1514.14,1514.16,1514.08,1513.43,1514.45,1514.38,1514.70,1513.02,1514.14,1513.93,1513.84,1502.44,1502.28,1499.56,1496.82,1500.54,1502.66,1521.78,1501.19
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,6,train,yes,no,1664.66,1664.89,1665.66,1666.13,1666.13,1666.17,1666.17,1666.24,1666.27,1666.27,1666.27,1666.49,1667.12,1667.21,1667.32,1667.32,1667.37,1667.41,1667.70,1667.91,1668.17,1668.42,1668.56,1668.57,1668.57,1668.57,1668.57,1668.57,1668.57,1668.57
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,6,test,yes,no,1514.59,1503.41,1514.84,1499.48,1499.45,1504.38,1504.37,1503.28,1501.89,1501.89,1501.96,1505.30,1514.60,1502.29,1502.08,1502.09,1503.34,1531.12,1501.34,1506.75,1506.67,1501.42,1513.18,1514.16,1514.15,1514.15,1514.14,1514.14,1514.16,1514.08
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,7,train,yes,no,1663.92,1664.21,1664.35,1664.66,1664.77,1664.89,1665.66,1666.09,1666.13,1666.13,1666.17,1666.17,1666.24,1666.27,1666.27,1666.27,1666.27,1666.27,1666.27,1666.27,1666.27,1666.49,1667.12,1667.21,1667.32,1667.32,1667.37,1667.41,1667.70,1667.91
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,7,test,yes,no,1503.32,1503.17,1503.44,1514.59,1506.81,1503.41,1514.84,1504.44,1499.48,1499.45,1504.38,1504.37,1503.28,1501.92,1501.89,1501.89,1501.92,1501.96,1501.99,1502.03,1501.82,1505.30,1514.60,1502.29,1502.08,1502.09,1503.34,1531.12,1501.34,1506.75
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,8,train,yes,no,1663.92,1664.21,1664.35,1664.66,1664.77,1664.89,1665.66,1666.09,1666.13,1666.13,1666.17,1666.17,1666.24,1666.27,1666.27,1666.27,1666.27,1666.27,1666.27,1666.27,1666.27,1666.49,1667.12,1667.21,1667.32,1667.32,1667.37,1667.41,1667.70,1667.91
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,8,test,yes,no,1503.32,1503.17,1503.44,1514.59,1506.81,1503.41,1514.84,1504.44,1499.48,1499.45,1504.38,1504.37,1503.28,1501.92,1501.89,1501.89,1501.92,1501.96,1501.99,1502.03,1501.82,1505.30,1514.60,1502.29,1502.08,1502.09,1503.34,1531.12,1501.34,1506.75
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,9,train,yes,no,1661.91,1661.91,1661.94,1661.96,1661.97,1662.44,1662.82,1662.82,1663.04,1663.17,1663.58,1663.74,1663.92,1664.10,1664.21,1664.25,1664.32,1664.35,1664.35,1664.35,1664.35,1664.35,1664.35,1664.56,1664.66,1664.66,1664.77,1664.86,1664.89,1665.00
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,9,test,yes,no,1507.65,1507.51,1510.57,1506.76,1510.08,1510.15,1512.67,1512.23,1510.27,1515.14,1505.60,1505.74,1503.32,1505.62,1503.17,1501.27,1504.44,1502.77,1503.43,1503.44,1503.45,1503.41,1503.36,1506.68,1502.66,1514.59,1506.81,1505.12,1503.41,1506.16
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,10,train,yes,no,1661.82,1661.85,1661.91,1661.91,1661.92,1661.92,1661.93,1661.93,1661.94,1661.94,1661.94,1661.95,1661.96,1661.96,1661.96,1661.96,1661.96,1661.96,1661.96,1661.96,1661.97,1661.97,1661.99,1661.99,1662.13,1662.14,1662.15,1662.30,1662.36,1662.44
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,10,test,yes,no,1508.99,1509.17,1507.65,1507.51,1507.25,1506.84,1508.16,1510.38,1510.56,1507.02,1510.57,1506.79,1506.76,1510.07,1506.77,1506.25,1507.48,1510.21,1510.04,1507.77,1510.08,1510.33,1509.33,1509.44,1509.25,1509.03,1509.33,1512.23,1507.51,1510.15
