dataset,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a10_b10_M500_L4_c1_2_train.json,4,1,2,100,50,249.632,1147,6619.01,225,4126.97
beta_a10_b10_M50_L4_c1_2_train.json,4,1,2,100,50,25.1338,116,663.48,23,408.68
beta_a10_b1_M100_L4_c1_2_train.json,4,1,2,100,50,91.1946,446,1571.29,88,684.04
beta_a10_b1_M200_L4_c1_2_train.json,4,1,2,100,50,181.7454,887,3125.07,174,1356.24
beta_a10_b1_M20_L4_c1_2_train.json,4,1,2,100,50,18.1854,89,317.85,17,155.11
beta_a10_b1_M500_L4_c1_2_train.json,4,1,2,100,50,454.5368,2216,7865.07,436,3364.1
beta_a10_b1_M50_L4_c1_2_train.json,4,1,2,100,50,45.3924,221,796.34,43,360.41
beta_a10_b2_M100_L4_c1_2_train.json,4,1,2,100,50,83.1414,400,1670.68,78,855.77
beta_a10_b2_M200_L4_c1_2_train.json,4,1,2,100,50,166.24,802,3283.89,157,1685.75
beta_a10_b2_M20_L4_c1_2_train.json,4,1,2,100,50,16.6326,80,331.73,16,175.48
beta_a10_b2_M500_L4_c1_2_train.json,4,1,2,100,50,416.0878,2002,8150.48,392,4172.52
beta_a10_b2_M50_L4_c1_2_train.json,4,1,2,100,50,41.5494,200,829.04,39,423.95
beta_a10_b5_M100_L4_c1_2_train.json,4,1,2,100,50,66.5252,313,1555.98,61,896.84
beta_a10_b5_M200_L4_c1_2_train.json,4,1,2,100,50,132.9112,624,3151.6,122,1847.27
beta_a10_b5_M20_L4_c1_2_train.json,4,1,2,100,50,13.273,63,318.9,12,191.17
beta_a10_b5_M500_L4_c1_2_train.json,4,1,2,100,50,333.1118,1560,7799.77,306,4607.34
beta_a10_b5_M50_L4_c1_2_train.json,4,1,2,100,50,33.2158,156,803.44,30,482.41
beta_a1_b0p5_M100_L4_c1_2_train.json,4,1,2,100,50,67.1048,282,3054.19,54,2374.99
beta_a1_b0p5_M200_L4_c1_2_train.json,4,1,2,100,50,133.646,569,6126.44,105,4863.86
beta_a1_b0p5_M20_L4_c1_2_train.json,4,1,2,100,50,13.3054,56,617.25,11,482.16
beta_a1_b0p5_M500_L4_c1_2_train.json,4,1,2,100,50,333.5542,1428,15180.62,268,11931.23
beta_a1_b0p5_M50_L4_c1_2_train.json,4,1,2,100,50,33.5724,144,1515.49,27,1179.56
beta_a1_b10_M100_L4_c1_2_train.json,4,1,2,100,50,8.9642,27,601.57,5,535.44
beta_a1_b10_M200_L4_c1_2_train.json,4,1,2,100,50,18.299,56,1229.93,11,1076.43
beta_a1_b10_M20_L4_c1_2_train.json,4,1,2,100,50,1.7866,6,125.13,1,109.12
beta_a1_b10_M500_L4_c1_2_train.json,4,1,2,100,50,45.53,142,3028.02,27,2651.43
beta_a1_b10_M50_L4_c1_2_train.json,4,1,2,100,50,4.5342,13,310.01,3,275.82
beta_a1_b1_M100_L4_c1_2_train.json,4,1,2,100,50,49.6906,194,2688.86,37,2183.66
beta_a1_b1_M200_L4_c1_2_train.json,4,1,2,100,50,99.712,399,5221.39,74,4375.98
beta_a1_b1_M20_L4_c1_2_train.json,4,1,2,100,50,9.8064,37,533.96,7,439.12
beta_a1_b1_M500_L4_c1_2_train.json,4,1,2,100,50,250.3078,977,13451.34,186,10876.39
beta_a1_b1_M50_L4_c1_2_train.json,4,1,2,100,50,24.9084,96,1372.7,18,1130.56
beta_a1_b2_M100_L4_c1_2_train.json,4,1,2,100,50,33.2186,118,1990.94,23,1689.89
beta_a1_b2_M200_L4_c1_2_train.json,4,1,2,100,50,65.8808,228,4021.97,44,3428.38
beta_a1_b2_M20_L4_c1_2_train.json,4,1,2,100,50,6.7194,24,405.64,5,357.98
beta_a1_b2_M500_L4_c1_2_train.json,4,1,2,100,50,165.5976,590,10014.13,112,8544.56
beta_a1_b2_M50_L4_c1_2_train.json,4,1,2,100,50,16.7106,59,1008.59,11,837.68
beta_a1_b5_M100_L4_c1_2_train.json,4,1,2,100,50,16.8292,52,1116.67,10,980.33
beta_a1_b5_M200_L4_c1_2_train.json,4,1,2,100,50,33.4094,109,2171.6,21,1854.57
beta_a1_b5_M20_L4_c1_2_train.json,4,1,2,100,50,3.2892,11,217.86,2,191.44
beta_a1_b5_M500_L4_c1_2_train.json,4,1,2,100,50,83.6384,278,5453.74,53,4710.03
beta_a1_b5_M50_L4_c1_2_train.json,4,1,2,100,50,8.298,26,547.33,5,477.38
beta_a2_b0p5_M100_L4_c1_2_train.json,4,1,2,100,50,79.9318,370,2523.33,71,1739.02
beta_a2_b0p5_M200_L4_c1_2_train.json,4,1,2,100,50,160.9206,746,5065.97,140,3615.86
beta_a2_b0p5_M20_L4_c1_2_train.json,4,1,2,100,50,16.0944,74,511.22,14,359.84
beta_a2_b0p5_M500_L4_c1_2_train.json,4,1,2,100,50,399.9354,1856,12896.16,347,9338.26
beta_a2_b0p5_M50_L4_c1_2_train.json,4,1,2,100,50,39.924,184,1288.12,35,923.1
beta_a2_b10_M100_L4_c1_2_train.json,4,1,2,100,50,16.5962,63,872.72,12,698.1
beta_a2_b10_M200_L4_c1_2_train.json,4,1,2,100,50,33.6072,125,1783.01,24,1468.03
beta_a2_b10_M20_L4_c1_2_train.json,4,1,2,100,50,3.3952,13,181.48,2,163.06
beta_a2_b10_M500_L4_c1_2_train.json,4,1,2,100,50,82.7998,309,4409.76,59,3613.69
beta_a2_b10_M50_L4_c1_2_train.json,4,1,2,100,50,8.2708,31,438.31,6,363.94
beta_a2_b1_M100_L4_c1_2_train.json,4,1,2,100,50,66.6972,295,2511.28,55,1917.12
beta_a2_b1_M200_L4_c1_2_train.json,4,1,2,100,50,133.1292,589,5054.71,112,3709.15
beta_a2_b1_M20_L4_c1_2_train.json,4,1,2,100,50,13.3324,59,495.29,11,370.77
beta_a2_b1_M500_L4_c1_2_train.json,4,1,2,100,50,333.1158,1482,12621.25,284,9145.51
beta_a2_b1_M50_L4_c1_2_train.json,4,1,2,100,50,33.3856,147,1267.37,28,952.94
beta_a2_b2_M100_L4_c1_2_train.json,4,1,2,100,50,50.1284,213,2162.49,40,1699.82
beta_a2_b2_M200_L4_c1_2_train.json,4,1,2,100,50,100.1858,420,4308.44,80,3356.38
beta_a2_b2_M20_L4_c1_2_train.json,4,1,2,100,50,10.035,41,446.96,8,339.13
beta_a2_b2_M500_L4_c1_2_train.json,4,1,2,100,50,250.3156,1044,10965.03,200,8572.27
beta_a2_b2_M50_L4_c1_2_train.json,4,1,2,100,50,25.1126,105,1097.57,20,854.68
beta_a2_b5_M100_L4_c1_2_train.json,4,1,2,100,50,28.2558,109,1402.25,21,1131.81
beta_a2_b5_M200_L4_c1_2_train.json,4,1,2,100,50,56.5922,222,2860.73,42,2304.24
beta_a2_b5_M20_L4_c1_2_train.json,4,1,2,100,50,5.5938,22,276.76,4,222.8
beta_a2_b5_M500_L4_c1_2_train.json,4,1,2,100,50,141.5452,555,7066.26,104,5731.4
beta_a2_b5_M50_L4_c1_2_train.json,4,1,2,100,50,14.2664,56,707.23,11,564.98
beta_a5_b0p5_M100_L4_c1_2_train.json,4,1,2,100,50,91.0344,444,1807.37,86,973.0
beta_a5_b0p5_M200_L4_c1_2_train.json,4,1,2,100,50,181.4752,880,3623.45,171,1943.18
beta_a5_b0p5_M20_L4_c1_2_train.json,4,1,2,100,50,18.2246,89,362.93,17,196.17
beta_a5_b0p5_M500_L4_c1_2_train.json,4,1,2,100,50,455.4604,2218,9072.2,429,4856.04
beta_a5_b0p5_M50_L4_c1_2_train.json,4,1,2,100,50,45.4296,220,908.73,43,465.18
beta_a5_b10_M100_L4_c1_2_train.json,4,1,2,100,50,33.379,143,1199.91,28,882.86
beta_a5_b10_M200_L4_c1_2_train.json,4,1,2,100,50,67.1104,291,2382.29,57,1681.94
beta_a5_b10_M20_L4_c1_2_train.json,4,1,2,100,50,6.6584,29,240.25,6,193.18
beta_a5_b10_M500_L4_c1_2_train.json,4,1,2,100,50,167.4212,724,6019.36,140,4376.13
beta_a5_b10_M50_L4_c1_2_train.json,4,1,2,100,50,16.8336,73,589.54,14,422.87
beta_a5_b1_M100_L4_c1_2_train.json,4,1,2,100,50,83.1942,395,1959.19,77,1140.43
beta_a5_b1_M200_L4_c1_2_train.json,4,1,2,100,50,166.519,792,3957.51,153,2386.6
beta_a5_b1_M20_L4_c1_2_train.json,4,1,2,100,50,16.7144,79,391.15,15,239.43
beta_a5_b1_M500_L4_c1_2_train.json,4,1,2,100,50,415.1202,1975,9901.72,384,5828.2
beta_a5_b1_M50_L4_c1_2_train.json,4,1,2,100,50,41.765,199,986.19,38,584.16
beta_a5_b2_M100_L4_c1_2_train.json,4,1,2,100,50,71.4402,330,1947.19,64,1263.26
beta_a5_b2_M200_L4_c1_2_train.json,4,1,2,100,50,142.139,654,3981.64,127,2590.39
beta_a5_b2_M20_L4_c1_2_train.json,4,1,2,100,50,14.3776,66,393.84,13,255.86
beta_a5_b2_M500_L4_c1_2_train.json,4,1,2,100,50,358.2778,1658,9966.2,323,6351.14
beta_a5_b2_M50_L4_c1_2_train.json,4,1,2,100,50,35.7778,165,989.98,32,632.53
beta_a5_b5_M100_L4_c1_2_train.json,4,1,2,100,50,50.0824,222,1642.81,43,1129.9
beta_a5_b5_M200_L4_c1_2_train.json,4,1,2,100,50,99.91,445,3293.41,86,2332.51
beta_a5_b5_M20_L4_c1_2_train.json,4,1,2,100,50,10.0272,45,327.6,9,234.7
beta_a5_b5_M500_L4_c1_2_train.json,4,1,2,100,50,251.8128,1123,8097.64,216,5568.37
beta_a5_b5_M50_L4_c1_2_train.json,4,1,2,100,50,25.126,112,830.72,22,581.12
binom_n100_p0p05_L4_c1_2_train.json,4,1,2,100,50,5.0184,21,210.12,4,164.68
binom_n100_p0p1_L4_c1_2_train.json,4,1,2,100,50,10.0832,45,324.16,9,228.46
binom_n100_p0p2_L4_c1_2_train.json,4,1,2,100,50,19.9708,93,491.1,18,295.97
binom_n100_p0p3_L4_c1_2_train.json,4,1,2,100,50,30.0926,142,643.92,28,341.92
binom_n100_p0p5_L4_c1_2_train.json,4,1,2,100,50,49.9702,241,871.94,48,372.42
binom_n100_p0p7_L4_c1_2_train.json,4,1,2,100,50,70.0088,342,1049.32,68,340.5
binom_n100_p0p95_L4_c1_2_train.json,4,1,2,100,50,94.9798,471,1113.22,94,165.81
binom_n100_p0p9_L4_c1_2_train.json,4,1,2,100,50,90.0082,445,1132.6,89,243.83
binom_n200_p0p05_L4_c1_2_train.json,4,1,2,100,50,10.0028,44,329.87,9,244.82
binom_n200_p0p1_L4_c1_2_train.json,4,1,2,100,50,19.9676,92,520.51,18,325.06
binom_n200_p0p2_L4_c1_2_train.json,4,1,2,100,50,39.9484,189,839.31,37,437.05
binom_n200_p0p3_L4_c1_2_train.json,4,1,2,100,50,59.9412,288,1084.37,57,486.3
binom_n200_p0p5_L4_c1_2_train.json,4,1,2,100,50,99.8332,487,1532.81,96,560.36
binom_n200_p0p7_L4_c1_2_train.json,4,1,2,100,50,139.905,687,1883.33,137,488.21
binom_n200_p0p95_L4_c1_2_train.json,4,1,2,100,50,189.985,944,2140.6,188,258.49
binom_n200_p0p9_L4_c1_2_train.json,4,1,2,100,50,179.8924,892,2121.39,178,324.26
binom_n20_p0p05_L4_c1_2_train.json,4,1,2,100,50,1.023,3,77.07,0,102.3
binom_n20_p0p1_L4_c1_2_train.json,4,1,2,100,50,1.995,7,116.04,1,111.94
binom_n20_p0p2_L4_c1_2_train.json,4,1,2,100,50,3.9522,16,167.96,3,130.46
binom_n20_p0p3_L4_c1_2_train.json,4,1,2,100,50,5.9474,26,209.78,5,150.03
binom_n20_p0p5_L4_c1_2_train.json,4,1,2,100,50,10.0068,46,270.33,9,172.98
binom_n20_p0p7_L4_c1_2_train.json,4,1,2,100,50,13.974,66,294.94,13,152.73
binom_n20_p0p95_L4_c1_2_train.json,4,1,2,100,50,18.9842,93,267.44,18,106.47
binom_n20_p0p9_L4_c1_2_train.json,4,1,2,100,50,18.0166,88,282.53,17,121.44
binom_n400_p0p05_L4_c1_2_train.json,4,1,2,100,50,20.011,92,525.02,18,331.84
binom_n400_p0p1_L4_c1_2_train.json,4,1,2,100,50,40.1046,189,846.71,37,462.59
binom_n400_p0p2_L4_c1_2_train.json,4,1,2,100,50,79.9416,385,1400.21,76,611.33
binom_n400_p0p3_L4_c1_2_train.json,4,1,2,100,50,119.7038,582,1880.2,116,682.15
binom_n400_p0p5_L4_c1_2_train.json,4,1,2,100,50,199.945,980,2748.11,195,756.59
binom_n400_p0p7_L4_c1_2_train.json,4,1,2,100,50,279.877,1383,3480.55,276,697.56
binom_n400_p0p95_L4_c1_2_train.json,4,1,2,100,50,380.0546,1893,4131.85,378,333.06
binom_n400_p0p9_L4_c1_2_train.json,4,1,2,100,50,359.8772,1788,4065.94,357,473.18
binom_n50_p0p05_L4_c1_2_train.json,4,1,2,100,50,2.5086,10,134.08,2,110.25
binom_n50_p0p1_L4_c1_2_train.json,4,1,2,100,50,5.0166,21,204.13,4,151.69
binom_n50_p0p2_L4_c1_2_train.json,4,1,2,100,50,9.9944,44,307.8,9,223.64
binom_n50_p0p3_L4_c1_2_train.json,4,1,2,100,50,15.0024,69,392.63,13,258.21
binom_n50_p0p5_L4_c1_2_train.json,4,1,2,100,50,24.9532,119,509.67,23,264.71
binom_n50_p0p7_L4_c1_2_train.json,4,1,2,100,50,34.925,169,599.85,33,260.11
binom_n50_p0p95_L4_c1_2_train.json,4,1,2,100,50,47.4956,235,594.63,47,126.11
binom_n50_p0p9_L4_c1_2_train.json,4,1,2,100,50,44.9844,221,611.55,44,161.33
binom_n800_p0p05_L4_c1_2_train.json,4,1,2,100,50,39.9986,188,865.17,37,476.52
binom_n800_p0p1_L4_c1_2_train.json,4,1,2,100,50,79.9734,385,1428.45,76,634.01
binom_n800_p0p2_L4_c1_2_train.json,4,1,2,100,50,159.776,780,2423.7,155,852.54
binom_n800_p0p3_L4_c1_2_train.json,4,1,2,100,50,240.0886,1179,3354.53,234,957.19
binom_n800_p0p5_L4_c1_2_train.json,4,1,2,100,50,400.2372,1976,5056.53,394,1053.39
binom_n800_p0p7_L4_c1_2_train.json,4,1,2,100,50,559.9418,2778,6578.05,554,987.45
binom_n800_p0p95_L4_c1_2_train.json,4,1,2,100,50,760.0512,3791,8069.58,757,477.76
binom_n800_p0p9_L4_c1_2_train.json,4,1,2,100,50,720.1692,3587,7840.69,716,647.15
cunif_a0_b100_L4_c1_2_train.json,4,1,2,100,50,50.0574,192,2740.72,37,2216.85
cunif_a0_b200_L4_c1_2_train.json,4,1,2,100,50,98.8114,382,5419.09,72,4431.56
cunif_a0_b400_L4_c1_2_train.json,4,1,2,100,50,199.814,754,10946.22,146,8843.5
cunif_a0_b50_L4_c1_2_train.json,4,1,2,100,50,25.1552,96,1390.02,19,1122.38
cunif_a0_b800_L4_c1_2_train.json,4,1,2,100,50,400.731,1703,21978.87,292,17903.34
cunif_a10_b100_L4_c1_2_train.json,4,1,2,100,50,54.6906,222,2525.98,42,2069.16
cunif_a10_b200_L4_c1_2_train.json,4,1,2,100,50,105.2446,425,5232.23,81,4225.63
cunif_a10_b400_L4_c1_2_train.json,4,1,2,100,50,205.9482,804,10678.49,151,8883.26
cunif_a10_b50_L4_c1_2_train.json,4,1,2,100,50,30.0218,126,1181.72,25,900.58
cunif_a10_b800_L4_c1_2_train.json,4,1,2,100,50,405.9742,1729,21178.06,303,17506.29
cunif_a20_b100_L4_c1_2_train.json,4,1,2,100,50,59.8532,254,2393.81,49,1826.52
cunif_a20_b200_L4_c1_2_train.json,4,1,2,100,50,110.014,451,5015.26,87,3959.06
cunif_a20_b400_L4_c1_2_train.json,4,1,2,100,50,211.646,849,10377.16,160,8565.05
cunif_a20_b50_L4_c1_2_train.json,4,1,2,100,50,35.03,159,1005.82,31,661.35
cunif_a20_b800_L4_c1_2_train.json,4,1,2,100,50,409.2962,1746,21754.76,305,17454.05
cunif_a50_b100_L4_c1_2_train.json,4,1,2,100,50,74.7614,344,1853.91,68,1110.65
cunif_a50_b200_L4_c1_2_train.json,4,1,2,100,50,124.97,541,4566.79,106,3278.36
cunif_a50_b400_L4_c1_2_train.json,4,1,2,100,50,224.946,914,9921.46,178,7795.74
cunif_a50_b800_L4_c1_2_train.json,4,1,2,100,50,426.7714,1833,20762.36,326,16591.23
dunif_L0_H100_L4_c1_2_train.json,4,1,2,100,50,50.1412,196,2745.4,36,2288.17
dunif_L0_H200_L4_c1_2_train.json,4,1,2,100,50,99.9846,388,5371.14,73,4410.03
dunif_L0_H20_L4_c1_2_train.json,4,1,2,100,50,10.0448,38,557.68,7,467.8
dunif_L0_H400_L4_c1_2_train.json,4,1,2,100,50,201.6122,792,10690.25,151,8678.12
dunif_L0_H50_L4_c1_2_train.json,4,1,2,100,50,25.0878,99,1353.09,18,1110.1
dunif_L0_H800_L4_c1_2_train.json,4,1,2,100,50,397.1042,1685,22009.44,284,18241.01
dunif_L10_H100_L4_c1_2_train.json,4,1,2,100,50,55.17,226,2538.39,43,1987.77
dunif_L10_H200_L4_c1_2_train.json,4,1,2,100,50,104.1212,405,5377.55,77,4389.15
dunif_L10_H20_L4_c1_2_train.json,4,1,2,100,50,14.9552,69,385.16,13,252.02
dunif_L10_H400_L4_c1_2_train.json,4,1,2,100,50,204.2442,806,10815.22,151,8653.29
dunif_L10_H50_L4_c1_2_train.json,4,1,2,100,50,29.9432,126,1220.41,24,943.98
dunif_L10_H800_L4_c1_2_train.json,4,1,2,100,50,402.2254,1711,21666.68,299,17581.04
dunif_L20_H100_L4_c1_2_train.json,4,1,2,100,50,60.0356,256,2375.03,49,1778.04
dunif_L20_H200_L4_c1_2_train.json,4,1,2,100,50,110.8778,448,5151.04,86,4133.68
dunif_L20_H400_L4_c1_2_train.json,4,1,2,100,50,210.4514,837,10580.17,162,8355.92
dunif_L20_H50_L4_c1_2_train.json,4,1,2,100,50,34.9436,156,1034.2,31,696.69
dunif_L20_H800_L4_c1_2_train.json,4,1,2,100,50,411.1726,1755,21422.32,309,17206.98
dunif_L50_H100_L4_c1_2_train.json,4,1,2,100,50,74.8758,347,1863.07,68,1157.35
dunif_L50_H200_L4_c1_2_train.json,4,1,2,100,50,124.3236,539,4569.32,104,3354.25
dunif_L50_H400_L4_c1_2_train.json,4,1,2,100,50,224.6248,927,9989.95,178,7862.29
dunif_L50_H800_L4_c1_2_train.json,4,1,2,100,50,422.9376,1814,21127.3,319,17001.01
dunif_L5_H100_L4_c1_2_train.json,4,1,2,100,50,52.9758,209,2666.54,39,2163.35
dunif_L5_H200_L4_c1_2_train.json,4,1,2,100,50,103.139,401,5374.58,76,4412.04
dunif_L5_H20_L4_c1_2_train.json,4,1,2,100,50,12.529,54,472.83,10,361.42
dunif_L5_H400_L4_c1_2_train.json,4,1,2,100,50,204.476,815,10791.4,151,8836.68
dunif_L5_H50_L4_c1_2_train.json,4,1,2,100,50,27.6726,113,1288.08,21,1029.29
dunif_L5_H800_L4_c1_2_train.json,4,1,2,100,50,403.6396,1718,22192.34,299,17776.06
gamma_k0p8_th10_L4_c1_2_train.json,4,1,2,100,50,8.4528,22,627.03,4,566.62
gamma_k0p8_th20_L4_c1_2_train.json,4,1,2,100,50,15.897,43,1163.81,8,1051.66
gamma_k0p8_th2_L4_c1_2_train.json,4,1,2,100,50,1.5684,4,123.87,1,123.46
gamma_k0p8_th40_L4_c1_2_train.json,4,1,2,100,50,32.5816,86,2426.62,17,2181.35
gamma_k0p8_th5_L4_c1_2_train.json,4,1,2,100,50,3.9424,10,295.51,2,271.18
gamma_k0p8_th80_L4_c1_2_train.json,4,1,2,100,50,63.8964,173,4714.66,34,4268.73
gamma_k10_th10_L4_c1_2_train.json,4,1,2,100,50,99.5118,436,3188.62,86,2236.73
gamma_k10_th20_L4_c1_2_train.json,4,1,2,100,50,199.7748,879,6393.41,172,4452.31
gamma_k10_th2_L4_c1_2_train.json,4,1,2,100,50,19.9044,87,655.36,17,463.11
gamma_k10_th40_L4_c1_2_train.json,4,1,2,100,50,399.257,1762,12953.8,342,9000.58
gamma_k10_th5_L4_c1_2_train.json,4,1,2,100,50,49.9502,219,1632.25,42,1171.33
gamma_k10_th80_L4_c1_2_train.json,4,1,2,100,50,799.0546,3695,26667.13,680,18530.2
gamma_k1_th10_L4_c1_2_train.json,4,1,2,100,50,10.2196,29,711.98,6,651.22
gamma_k1_th20_L4_c1_2_train.json,4,1,2,100,50,20.063,57,1412.97,11,1251.19
gamma_k1_th2_L4_c1_2_train.json,4,1,2,100,50,1.9814,6,140.41,1,125.78
gamma_k1_th40_L4_c1_2_train.json,4,1,2,100,50,40.8128,116,2859.77,23,2525.03
gamma_k1_th5_L4_c1_2_train.json,4,1,2,100,50,4.9608,14,350.94,3,312.74
gamma_k1_th80_L4_c1_2_train.json,4,1,2,100,50,79.6154,229,5582.38,45,4933.67
gamma_k20_th10_L4_c1_2_train.json,4,1,2,100,50,199.6658,914,5260.39,179,3282.96
gamma_k20_th20_L4_c1_2_train.json,4,1,2,100,50,401.1344,1840,10522.91,361,6548.42
gamma_k20_th2_L4_c1_2_train.json,4,1,2,100,50,40.017,184,1053.04,36,640.85
gamma_k20_th40_L4_c1_2_train.json,4,1,2,100,50,799.7998,3698,20787.66,722,12975.82
gamma_k20_th5_L4_c1_2_train.json,4,1,2,100,50,99.719,458,2624.23,90,1614.37
gamma_k20_th80_L4_c1_2_train.json,4,1,2,100,50,1601.6924,7708,42805.39,1445,25888.74
gamma_k2_th10_L4_c1_2_train.json,4,1,2,100,50,20.2094,71,1124.18,14,957.87
gamma_k2_th20_L4_c1_2_train.json,4,1,2,100,50,39.7012,147,2203.53,28,1825.28
gamma_k2_th2_L4_c1_2_train.json,4,1,2,100,50,3.987,14,230.54,3,201.44
gamma_k2_th40_L4_c1_2_train.json,4,1,2,100,50,79.0382,279,4388.33,54,3748.71
gamma_k2_th5_L4_c1_2_train.json,4,1,2,100,50,10.0938,36,562.51,7,460.85
gamma_k2_th80_L4_c1_2_train.json,4,1,2,100,50,158.3624,568,8903.4,107,7551.74
gamma_k5_th10_L4_c1_2_train.json,4,1,2,100,50,49.5916,203,2031.02,39,1575.5
gamma_k5_th20_L4_c1_2_train.json,4,1,2,100,50,100.2342,412,4096.99,80,3100.91
gamma_k5_th2_L4_c1_2_train.json,4,1,2,100,50,9.9824,42,404.27,8,315.32
gamma_k5_th40_L4_c1_2_train.json,4,1,2,100,50,201.0626,824,8353.39,160,6391.15
gamma_k5_th5_L4_c1_2_train.json,4,1,2,100,50,24.859,104,1007.72,20,760.26
gamma_k5_th80_L4_c1_2_train.json,4,1,2,100,50,395.5232,1677,16061.81,317,12183.7
geom_p0p03_L4_c1_2_train.json,4,1,2,100,50,32.1838,94,2254.44,18,2002.81
geom_p0p05_L4_c1_2_train.json,4,1,2,100,50,19.3064,58,1361.13,11,1194.42
geom_p0p08_L4_c1_2_train.json,4,1,2,100,50,11.3446,32,816.72,6,722.1
geom_p0p15_L4_c1_2_train.json,4,1,2,100,50,5.5918,15,414.3,3,368.61
geom_p0p1_L4_c1_2_train.json,4,1,2,100,50,9.125,26,663.65,5,591.24
geom_p0p2_L4_c1_2_train.json,4,1,2,100,50,3.9754,11,298.57,2,267.99
geom_p0p3_L4_c1_2_train.json,4,1,2,100,50,2.3486,5,187.7,1,173.37
geom_p0p4_L4_c1_2_train.json,4,1,2,100,50,1.5004,3,125.69,1,137.74
geom_p0p6_L4_c1_2_train.json,4,1,2,100,50,0.6656,1,62.63,0,66.56
geom_p0p8_L4_c1_2_train.json,4,1,2,100,50,0.255,0,25.5,0,25.5
logn_mlog1p5_s0p3_L4_c1_2_train.json,4,1,2,100,50,4.732,21,149.88,4,101.59
logn_mlog1p5_s0p5_L4_c1_2_train.json,4,1,2,100,50,5.0898,20,222.73,4,174.65
logn_mlog1p5_s0p7_L4_c1_2_train.json,4,1,2,100,50,5.6858,20,312.19,4,266.36
logn_mlog1p5_s1_L4_c1_2_train.json,4,1,2,100,50,7.4304,18,527.94,4,477.64
