dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a10_b10_M500_L4_p4_train.json,beta_a10_b10_M500_L6_c1_2_train.json,4,1,4.0,100,50,249.632,1231,8655.09,233,6219.93
beta_a10_b10_M500_L4_p4_test.json,beta_a10_b10_M500_L6_c1_2_test.json,4,1,4.0,1000,50,250.14776,1231,8544.69,233,6250.206
beta_a10_b10_M50_L4_p4_train.json,beta_a10_b10_M50_L6_c1_2_train.json,4,1,4.0,100,50,25.1338,125,854.51,23,631.72
beta_a10_b10_M50_L4_p4_test.json,beta_a10_b10_M50_L6_c1_2_test.json,4,1,4.0,1000,50,25.0015,125,860.104,23,634.148
beta_a10_b1_M100_L4_p4_train.json,beta_a10_b1_M100_L6_c1_2_train.json,4,1,4.0,100,50,91.1946,459,1812.47,89,982.37
beta_a10_b1_M100_L4_p4_test.json,beta_a10_b1_M100_L6_c1_2_test.json,4,1,4.0,1000,50,90.85036,459,1827.55,89,1045.208
beta_a10_b1_M200_L4_p4_train.json,beta_a10_b1_M200_L6_c1_2_train.json,4,1,4.0,100,50,181.7454,914,3621.7,177,1972.28
beta_a10_b1_M200_L4_p4_test.json,beta_a10_b1_M200_L6_c1_2_test.json,4,1,4.0,1000,50,181.90684,914,3629.527,177,2039.761
beta_a10_b1_M20_L4_p4_train.json,beta_a10_b1_M20_L6_c1_2_train.json,4,1,4.0,100,50,18.1854,91,369.62,18,247.24
beta_a10_b1_M20_L4_p4_test.json,beta_a10_b1_M20_L6_c1_2_test.json,4,1,4.0,1000,50,18.20414,91,368.893,18,236.032
beta_a10_b1_M500_L4_p4_train.json,beta_a10_b1_M500_L6_c1_2_train.json,4,1,4.0,100,50,454.5368,2288,9120.54,443,4894.12
beta_a10_b1_M500_L4_p4_test.json,beta_a10_b1_M500_L6_c1_2_test.json,4,1,4.0,1000,50,454.723,2288,9072.387,443,5062.547
beta_a10_b1_M50_L4_p4_train.json,beta_a10_b1_M50_L6_c1_2_train.json,4,1,4.0,100,50,45.3924,228,933.1,44,519.9
beta_a10_b1_M50_L4_p4_test.json,beta_a10_b1_M50_L6_c1_2_test.json,4,1,4.0,1000,50,45.44916,228,912.974,44,515.093
beta_a10_b2_M100_L4_p4_train.json,beta_a10_b2_M100_L6_c1_2_train.json,4,1,4.0,100,50,83.1414,417,2013.92,80,1271.77
beta_a10_b2_M100_L4_p4_test.json,beta_a10_b2_M100_L6_c1_2_test.json,4,1,4.0,1000,50,83.29292,417,1988.132,80,1238.579
beta_a10_b2_M200_L4_p4_train.json,beta_a10_b2_M200_L6_c1_2_train.json,4,1,4.0,100,50,166.24,834,3953.3,160,2491.96
beta_a10_b2_M200_L4_p4_test.json,beta_a10_b2_M200_L6_c1_2_test.json,4,1,4.0,1000,50,166.6535,834,3994.828,160,2502.015
beta_a10_b2_M20_L4_p4_train.json,beta_a10_b2_M20_L6_c1_2_train.json,4,1,4.0,100,50,16.6326,84,398.94,16,242.92
beta_a10_b2_M20_L4_p4_test.json,beta_a10_b2_M20_L6_c1_2_test.json,4,1,4.0,1000,50,16.6565,84,398.289,16,249.147
beta_a10_b2_M500_L4_p4_train.json,beta_a10_b2_M500_L6_c1_2_train.json,4,1,4.0,100,50,416.0878,2091,9771.59,401,6165.98
beta_a10_b2_M500_L4_p4_test.json,beta_a10_b2_M500_L6_c1_2_test.json,4,1,4.0,1000,50,416.7256,2091,9895.286,401,6140.823
beta_a10_b2_M50_L4_p4_train.json,beta_a10_b2_M50_L6_c1_2_train.json,4,1,4.0,100,50,41.5494,209,994.15,40,623.8
beta_a10_b2_M50_L4_p4_test.json,beta_a10_b2_M50_L6_c1_2_test.json,4,1,4.0,1000,50,41.63702,209,996.345,40,622.648
beta_a10_b5_M100_L4_p4_train.json,beta_a10_b5_M100_L6_c1_2_train.json,4,1,4.0,100,50,66.5252,333,1947.44,63,1339.74
beta_a10_b5_M100_L4_p4_test.json,beta_a10_b5_M100_L6_c1_2_test.json,4,1,4.0,1000,50,66.6799,333,1991.959,63,1379.034
beta_a10_b5_M200_L4_p4_train.json,beta_a10_b5_M200_L6_c1_2_train.json,4,1,4.0,100,50,132.9112,663,3974.53,126,2762.14
beta_a10_b5_M200_L4_p4_test.json,beta_a10_b5_M200_L6_c1_2_test.json,4,1,4.0,1000,50,133.26702,663,3992.603,126,2746.539
beta_a10_b5_M20_L4_p4_train.json,beta_a10_b5_M20_L6_c1_2_train.json,4,1,4.0,100,50,13.273,66,401.5,12,321.11
beta_a10_b5_M20_L4_p4_test.json,beta_a10_b5_M20_L6_c1_2_test.json,4,1,4.0,1000,50,13.32786,66,400.132,12,322.757
beta_a10_b5_M500_L4_p4_train.json,beta_a10_b5_M500_L6_c1_2_train.json,4,1,4.0,100,50,333.1118,1664,9832.34,314,6943.17
beta_a10_b5_M500_L4_p4_test.json,beta_a10_b5_M500_L6_c1_2_test.json,4,1,4.0,1000,50,333.35554,1664,9926.487,314,6873.092
beta_a10_b5_M50_L4_p4_train.json,beta_a10_b5_M50_L6_c1_2_train.json,4,1,4.0,100,50,33.2158,166,1007.43,31,717.03
beta_a10_b5_M50_L4_p4_test.json,beta_a10_b5_M50_L6_c1_2_test.json,4,1,4.0,1000,50,33.35822,166,994.129,31,708.5
beta_a1_b0p5_M100_L4_p4_train.json,beta_a1_b0p5_M100_L6_c1_2_train.json,4,1,4.0,100,50,67.1048,341,4070.3,59,3484.71
beta_a1_b0p5_M100_L4_p4_test.json,beta_a1_b0p5_M100_L6_c1_2_test.json,4,1,4.0,1000,50,66.80476,341,4075.549,59,3648.425
beta_a1_b0p5_M200_L4_p4_train.json,beta_a1_b0p5_M200_L6_c1_2_train.json,4,1,4.0,100,50,133.646,677,8139.43,115,7307.8
beta_a1_b0p5_M200_L4_p4_test.json,beta_a1_b0p5_M200_L6_c1_2_test.json,4,1,4.0,1000,50,132.9949,677,8213.417,115,7215.826
beta_a1_b0p5_M20_L4_p4_train.json,beta_a1_b0p5_M20_L6_c1_2_train.json,4,1,4.0,100,50,13.3054,68,826.2,12,716.29
beta_a1_b0p5_M20_L4_p4_test.json,beta_a1_b0p5_M20_L6_c1_2_test.json,4,1,4.0,1000,50,13.319,68,821.473,12,759.147
beta_a1_b0p5_M500_L4_p4_train.json,beta_a1_b0p5_M500_L6_c1_2_train.json,4,1,4.0,100,50,333.5542,1693,20080.79,290,17542.75
beta_a1_b0p5_M500_L4_p4_test.json,beta_a1_b0p5_M500_L6_c1_2_test.json,4,1,4.0,1000,50,333.1269,1693,20333.497,290,17850.047
beta_a1_b0p5_M50_L4_p4_train.json,beta_a1_b0p5_M50_L6_c1_2_train.json,4,1,4.0,100,50,33.5724,170,2000.08,29,1765.2
beta_a1_b0p5_M50_L4_p4_test.json,beta_a1_b0p5_M50_L6_c1_2_test.json,4,1,4.0,1000,50,33.3417,170,2037.014,29,1792.517
beta_a1_b10_M100_L4_p4_train.json,beta_a1_b10_M100_L6_c1_2_train.json,4,1,4.0,100,50,8.9642,38,919.93,6,859.52
beta_a1_b10_M100_L4_p4_test.json,beta_a1_b10_M100_L6_c1_2_test.json,4,1,4.0,1000,50,9.07166,38,947.184,6,870.562
beta_a1_b10_M200_L4_p4_train.json,beta_a1_b10_M200_L6_c1_2_train.json,4,1,4.0,100,50,18.299,79,1881.16,13,1696.16
beta_a1_b10_M200_L4_p4_test.json,beta_a1_b10_M200_L6_c1_2_test.json,4,1,4.0,1000,50,18.18628,79,1885.922,13,1732.901
beta_a1_b10_M20_L4_p4_train.json,beta_a1_b10_M20_L6_c1_2_train.json,4,1,4.0,100,50,1.7866,8,188.41,1,189.02
beta_a1_b10_M20_L4_p4_test.json,beta_a1_b10_M20_L6_c1_2_test.json,4,1,4.0,1000,50,1.80464,8,193.588,1,192.014
beta_a1_b10_M500_L4_p4_train.json,beta_a1_b10_M500_L6_c1_2_train.json,4,1,4.0,100,50,45.53,193,4665.59,32,4235.39
beta_a1_b10_M500_L4_p4_test.json,beta_a1_b10_M500_L6_c1_2_test.json,4,1,4.0,1000,50,45.44424,193,4684.177,32,4285.954
beta_a1_b10_M50_L4_p4_train.json,beta_a1_b10_M50_L6_c1_2_train.json,4,1,4.0,100,50,4.5342,20,474.42,3,434.4
beta_a1_b10_M50_L4_p4_test.json,beta_a1_b10_M50_L6_c1_2_test.json,4,1,4.0,1000,50,4.5312,20,471.884,3,433.876
beta_a1_b1_M100_L4_p4_train.json,beta_a1_b1_M100_L6_c1_2_train.json,4,1,4.0,100,50,49.6906,246,3730.28,41,3255.68
beta_a1_b1_M100_L4_p4_test.json,beta_a1_b1_M100_L6_c1_2_test.json,4,1,4.0,1000,50,50.10542,246,3773.197,41,3374.455
beta_a1_b1_M200_L4_p4_train.json,beta_a1_b1_M200_L6_c1_2_train.json,4,1,4.0,100,50,99.712,487,7236.9,83,6571.64
beta_a1_b1_M200_L4_p4_test.json,beta_a1_b1_M200_L6_c1_2_test.json,4,1,4.0,1000,50,99.77646,487,7585.289,83,6756.657
beta_a1_b1_M20_L4_p4_train.json,beta_a1_b1_M20_L6_c1_2_train.json,4,1,4.0,100,50,9.8064,48,757.49,8,665.4
beta_a1_b1_M20_L4_p4_test.json,beta_a1_b1_M20_L6_c1_2_test.json,4,1,4.0,1000,50,10.02222,48,759.321,8,680.783
beta_a1_b1_M500_L4_p4_train.json,beta_a1_b1_M500_L6_c1_2_train.json,4,1,4.0,100,50,250.3078,1227,18695.86,212,16167.1
beta_a1_b1_M500_L4_p4_test.json,beta_a1_b1_M500_L6_c1_2_test.json,4,1,4.0,1000,50,250.6825,1227,18957.722,212,17062.691
beta_a1_b1_M50_L4_p4_train.json,beta_a1_b1_M50_L6_c1_2_train.json,4,1,4.0,100,50,24.9084,121,1928.11,20,1714.41
beta_a1_b1_M50_L4_p4_test.json,beta_a1_b1_M50_L6_c1_2_test.json,4,1,4.0,1000,50,25.05904,121,1883.534,20,1693.108
beta_a1_b2_M100_L4_p4_train.json,beta_a1_b2_M100_L6_c1_2_train.json,4,1,4.0,100,50,33.2186,157,2909.1,26,2598.44
beta_a1_b2_M100_L4_p4_test.json,beta_a1_b2_M100_L6_c1_2_test.json,4,1,4.0,1000,50,33.1917,157,2917.564,26,2604.116
beta_a1_b2_M200_L4_p4_train.json,beta_a1_b2_M200_L6_c1_2_train.json,4,1,4.0,100,50,65.8808,307,5908.85,50,5323.63
beta_a1_b2_M200_L4_p4_test.json,beta_a1_b2_M200_L6_c1_2_test.json,4,1,4.0,1000,50,66.49072,307,5812.037,50,5290.861
beta_a1_b2_M20_L4_p4_train.json,beta_a1_b2_M20_L6_c1_2_train.json,4,1,4.0,100,50,6.7194,32,588.41,5,539.8
beta_a1_b2_M20_L4_p4_test.json,beta_a1_b2_M20_L6_c1_2_test.json,4,1,4.0,1000,50,6.68766,32,586.597,5,527.875
beta_a1_b2_M500_L4_p4_train.json,beta_a1_b2_M500_L6_c1_2_train.json,4,1,4.0,100,50,165.5976,776,14550.59,129,13028.76
beta_a1_b2_M500_L4_p4_test.json,beta_a1_b2_M500_L6_c1_2_test.json,4,1,4.0,1000,50,166.23712,776,14744.534,129,13145.883
beta_a1_b2_M50_L4_p4_train.json,beta_a1_b2_M50_L6_c1_2_train.json,4,1,4.0,100,50,16.7106,78,1476.57,13,1291.48
beta_a1_b2_M50_L4_p4_test.json,beta_a1_b2_M50_L6_c1_2_test.json,4,1,4.0,1000,50,16.68798,78,1469.889,13,1309.71
beta_a1_b5_M100_L4_p4_train.json,beta_a1_b5_M100_L6_c1_2_train.json,4,1,4.0,100,50,16.8292,73,1704.69,12,1534.42
beta_a1_b5_M100_L4_p4_test.json,beta_a1_b5_M100_L6_c1_2_test.json,4,1,4.0,1000,50,16.68682,73,1659.059,12,1504.224
beta_a1_b5_M200_L4_p4_train.json,beta_a1_b5_M200_L6_c1_2_train.json,4,1,4.0,100,50,33.4094,151,3274.57,25,2892.41
beta_a1_b5_M200_L4_p4_test.json,beta_a1_b5_M200_L6_c1_2_test.json,4,1,4.0,1000,50,33.31976,151,3308.913,25,2997.556
