dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a2_b10_M200_L6_p4_train,2249.01,2242.61,2241.48
beta_a2_b10_M200_L6_p4_test,2198.899,2202.014,2194.045
beta_a2_b10_M20_L6_p4_train,231.37,231.91,232.05
beta_a2_b10_M20_L6_p4_test,220.818,221.417,221.721
beta_a2_b10_M500_L6_p4_train,5583.48,5503.89,5498.86
beta_a2_b10_M500_L6_p4_test,5544.677,5481.307,5457.805
beta_a2_b10_M50_L6_p4_train,553.95,553.42,553.93
beta_a2_b10_M50_L6_p4_test,549.093,548.526,549.13
beta_a2_b1_M100_L6_p4_train,2685.17,2662.02,2712.18
beta_a2_b1_M100_L6_p4_test,2704.526,2710.159,2699.557
beta_a2_b1_M200_L6_p4_train,5368.46,5369.16,5374.22
beta_a2_b1_M200_L6_p4_test,5457.197,5426.291,5436.364
beta_a2_b1_M20_L6_p4_train,548.85,530.21,533.72
beta_a2_b1_M20_L6_p4_test,561.258,543.731,541.135
beta_a2_b1_M500_L6_p4_train,13074.45,13092.37,12943.84
beta_a2_b1_M500_L6_p4_test,13683.929,13657.344,13470.185
beta_a2_b1_M50_L6_p4_train,1379.18,1370.05,1342.48
beta_a2_b1_M50_L6_p4_test,1369.852,1362.125,1347.64
beta_a2_b2_M100_L6_p4_train,2529.35,2515.84,2514.52
beta_a2_b2_M100_L6_p4_test,2508.719,2502.375,2482.047
beta_a2_b2_M200_L6_p4_train,4880.39,4879.02,4917.45
beta_a2_b2_M200_L6_p4_test,5052.323,4989.848,5010.894
beta_a2_b2_M20_L6_p4_train,495.14,493.07,497.15
beta_a2_b2_M20_L6_p4_test,502.736,502.763,502.405
beta_a2_b2_M500_L6_p4_train,12446.27,12424.06,12483.48
beta_a2_b2_M500_L6_p4_test,12708.668,12706.032,12717.875
beta_a2_b2_M50_L6_p4_train,1258.12,1251.61,1253.55
beta_a2_b2_M50_L6_p4_test,1260.956,1262.979,1260.636
beta_a2_b5_M100_L6_p4_train,1716.74,1714.06,1705.82
beta_a2_b5_M100_L6_p4_test,1745.728,1743.485,1748.256
beta_a2_b5_M200_L6_p4_train,3466.33,3451.14,3423.52
beta_a2_b5_M200_L6_p4_test,3484.425,3486.368,3485.511
